apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
haano 	K- 		rp 		haano K- rp . Iri izwi rinoshandiswa pakutaridza zvinhu zvomupanda 6 zviri pedo neanotaura. Haano maheu mumwe.
hwato 	DK 	14 	z 		hwato bwato DK z 14 . Hwato igwa rakavezwa kubva pahunde yomuti. mwadiya 3 .
jereso 	D- 	5 	z 		jereso D- z 5 . Jereso idanda kana simbi yakatesva kumuromo kwayo inoshandiswa kuchera makomba. nhoti 9 .
jero 	D- 	5 	z 		jero D- z 5 . Jero zvidyiwa zvese zvinobva kumichero, midzi kana hohwa, zvinowanikwa musango. Jero kamuti kanomera musango, kanotsondwa-tsondwa kokandwa mumvura kuti hove dzife, vanhu vozodzibata.
hwendedzo 	D- 	14 	z 		hwendedzo bwendedzo D- z 14 . Hwendedzo urongwa hunokwanisa kukusvitsa pachinangwa chako.
jombo 	KD 	5 	z 		jombo KD z 5 . Jombo rudzi rweshangu refu inokwira kuda kusvika kumabvi.
jorochoro 	D- 	5 	z 		jorochoro D- z 5 . muchochororo 3 .
hakani waro 	KDK DD 		kanu 		hakani waro KDK DD kanu . hekani waro .
hakisoo 	KDKD 	9>10 	z 		hakisoo KDKD z 9>10 . Uyu mudziyo une tumazino twakapinza, unoshandiswa kucheka mapuranga kana kuwisa miti.
handuro 	KDD 	9>10 	z 		handuro KDD z 9>10 . Handuro isimbi dzinobatwa namaoko pakufambisa nekururamisa bhasikoro kana mudhudhudhu. mibato 4 .
hwiranondo 	KKKD 	9 	z 		hwiranondo KKKD z 9 . Iyi imhuka yomusango ine nyanga dzakakombamira mukati, inofamba iri muboka nedzimwe ichidya uswa, mashizha nemimwe michero. nondo shava 9 .
hwiro 	D- 	5 	z 		hwiro bwiro D- z 5 . Hwiro inzvimbo inocherwa kuviga munhu anenge afa. guva 5, rinda 5, .
hapano 	KDD 		rp 		hapano hepano KDD rp . Izwi iri rinoshandiswa munhoroondo kutaridza zvakazoitika pasure pechimwe chiitiko. Hapano pakufirwa nevabereki, mwana akatambura zvaisiririsa.
ichocho 	DDK 		rk 		ichocho DDK rk . Ichi chiratidzakure chetsinhiro chinoshandiswa mumupanda 7. Chibage ichocho hachina kunyatsoibva.
kadodo 	D- 	12 	z 		kadodo D- z 12 . Kadodo kapoto kokubikira muriwo. chikadyana 7, hadyana 9 .
kadonzvo 	DKD 	12 	z 		kadonzvo DKD z 12 . Kadonzvo kako mudikani wako wepamwoyo, kudai ari mukomana kana musikana. mudiwa 1, dhiya 1a .
haro 	K- 	9>10 	z 		haro K- z 9>10 . Haro inzvimbo inosara pakati pezvinhu zviviri zvakagarisana. hanu 9 . Haro inzvimbo yakadzikira inoganhura makomo maviri ari pedo napedo. mupata 3 .
idyo 	DK 	9 	z 		idyo DK z 9 . Idyo kugara munhu achingodya. Baba ava vane madyo. Havabudi mukicheni. mukaha 3, nhafu 9 .
idzo 	KD 				idzo KD . Ichi chiratidzakure chomumupanda 10. Mombe dziri kubani idzo ndedzani?
igo 	D- 	5>6 	z 		igo D- z 5>6 . Aka kabhururukwa kakada kufanana nenyuchi, kanoruma nokundurira nemborera, asi igo kasingaiti uchi. Kana ukaguma nhundu yemago anokuruma.
ihwo 	KD 		saz 		ihwo ibwo KD saz . Ichi chisazita chinogona kutora nzvimbo yezita mumupanda 14. Ihwo hwahwa hwamuri kunwa uhu mambohutenga kupiko?
ikoko 	KDD 		rk 		ikoko KDD rk . Ichi chiratidzakure chetsinhiro chomumupanda 17. Ndichauya ikoko kuchikoro kwako.
hebo 	KD 		kanu 		hebo KD kanu . Izwi iri rinoshandiswa kuregerera munhu anenge akutadzira, akakumbira ruregerero kana kungobvumirana nezvataurwa.
hevo 	DK 		kanu 		hevo DK kanu . Izwi iri rinoshandiswa kutaridza kubvuma zvawanzwa kana zvawanzi uite. evo . ANTONYMS nyangwe.
imomo 	KDD 		rk 		imomo KDD rk . Ichi chiratidzakure chokutsinhira chinoshandiswa mumupanda 18 kuratidza zvinhu zviri mukati. Imomo mumunda ndino maakarima chibage.
indyo 	D- 	9 	z 		indyo D- z 9 . idyo 9 .
ho-o 	K- 		kanu 		ho-o K- kanu . Tinoshandisa ho-o kumisa n'ombe dzakasungwa pajoko. Izwi iri rinoshandiswa kutaridza kuti munhu arangarira zvaambenge akanganwa.
ipapo 	KDK 		rk 		ipapo KDK rk . Ichi chiratidzakure chetsinhiro yomumupanda 16. Ramba wakabata paburi ipapo, ini ndimbovhara kuno uku. ipopo .
ipo 	KD 		saz 		ipo KD saz . Ichi chisazita chomupanda 16. Ipo pamba paye ndipo paanogara.
hohoho 	DKD 	9 	z 		hohoho DKD z 9 . Hohoho ruzha runoitwa nevanhu vakawanda vanenge vakaungana vari pamusangano, mubhawa kana pamutambo. Hohoho kutaurira pamusoro kwevanhu vatsamwisana, kana kuti ruzha runozoitika kana vorwa. bongozozo 5 .
hoko 	DK 	9 	z 		hoko DK z 9 . Hoko chimuti chakatesvera rimwe, divi chinoroverwa pasi kana kumadziro kwemba. Vakarovera hoko muvhu kutara muganhu womunda. mbambo 9 .
hokuno 	K- 		kanu 		hokuno K- kanu . Tinoshandisa hokuno kutaridza zvinhu zviri pedo kana chiitiko chine mbiri. Hokuno kuroya chaiko. Amai ava kana wavatuka haasweri. hekuno .
iro 	D- 		rk 		iro D- rk . Ichi chiratidzakure chinoshandiswa mumipanda 5 ne21. Bhazi iro riri kutoenda kuGuruve izvozvi.
irwo 	KD 		sak 		irwo KD sak . Ichi chisazita chinoshandiswa mumupanda 11. Irwo rudzi urwu rwagara rwuchingonetsawo harwo.
irworwo 	KDK 		rk 		irworwo KDK rk . Ichi chiratidzakure chetsinhiro yomumupanda 11. Rwizi irworwo ndirwo rwamunoti kana mangobira mhiri mapinda munyika yaShe Muringani.
isvo 	D- 		rk 		isvo D- rk . Ichi chiratidzakure chemupanda 19. Isvo svana sviya svava koko.
hombodo 	D- 	9 	z 		hombodo D- z 9 . Hombodo kabhegi kakagadzirwa nedehwe remhuka. Hombodo ihomwe inowanikwa pahembe kana bhurugwa. mbudu 9 .
homekedzo 	KKKD 	9>10 	z 		homekedzo KKKD z 9>10 . Iyi irayiro inopiwa mumwe apo vaviri vanenge vava kuparadzana. Vatete vanopa muzukuru homekedzo yokubata murume zvakanaka kana ondoroorwa. zanhi 5 . Aya mashoko anopiwa munhu senzira yokumuyeuchidza kuzoita kana kusazoita chimwe chinhu.
homondo 	KKD 	9 	z 		homondo KKD z 9 . Homondo muchero muhombe. Homondo izanhi hombe refodya. Homondo makoko etsvina anoonekwa pamuviri wemunhu.
hondo 	K- 	9>10 	z 		hondo K- z 9>10 . Hondo kurwisana nezvombo kana nemashoko kunoitika pakati penyika dzakasiyana, kana pakati pamarudzi. Hondo pakati pemarudzi akasiyana chinhu chakangogara chiripo nekare.
hono 	KK 	9 	z 		hono KK z 9 . Hono imhukarume inoberekesa hadzi.
itsvo 	DK 	9 	z 		itsvo DK z 9 . Itsvo inhengo yomukati momuviri womunhu kana mhuka, inotsaura mvura nomunyu zvinenge zvisingadiwi kushandiswa nemuviri, ichizviendesa kudundira.
ivavo 	KDK 		rk 		ivavo KDK rk . Ichi chiradzatikure chetsinhiro chinoshndiswa mumipanda 2, 2a ne2b. Vana vakasiyiwapo ivavo vakazokurira munhamo isingabviri.
ivo 	KD 		saz 		ivo KD saz . Ichi chisazita chemipanda 2, 2a ne2b inomirira vanhu savananyakutaurwa. Ivo vatete vanga vava kutouyawo kuno, ndokubva tangobatana. Kuzoti ivo vana vacho, hakusi kudya ikoko.
iwo 	KD 		saz 		iwo KD saz . Ichi chisazita chinoshandiswa mumipanda 3 ne6. Iwo mushonga wemusoro unombodhura here? Iwo mabasa haachawanikwiwo mazuvano.
horikotyo 	DKDD 	9 	z 		horikotyo DKDD z 9 . Uyu mutambo wavakomana wokukanda tsvimbo imwe mudenga, vamwe vachiedza kuitema isati yagunzva pasi.
horo 	K- 	9>10 	z 		horo K- z 9>10 . Horo mwena wokuzasi komunhu, paanobusisa napo tsvina. mhata 9, mukosho 3 .
horo 	KD 	9>6 	z 		horo KD z 9>6 . Horo imba huru inosanganirana vanhu vemisangano, vechechi kana makonzati.
hosho 	DK 	9 	z 		hosho DK z 9 . Hosho idende rine mubato, rinoboorwa roiswa tumabwe mukati, rinoridzwa pamwe chete nembira nengoma.
iyo 	KD 		saz 		iyo KD saz . Ichi chisazita chinoshandiswa mumipanda 4 ne9. Iyo miti yacho inombobereka kwazvo here? Iyo mari ndiyowo yava kutonga muupenyu mazuvano.
iyoyo 	KDD 		rk 		iyoyo KDD rk . Ichi chiratidzakure chetsinhiro chinoshandiswa mumipanda 4 ne9. Iyoyo miti ndiyo yavakazosimawo. Tsamba iyoyo yakauya kare kare chaizzvo.
izvo 	D- 		rk 		izvo D- rk . Ichi chiratidzakure chemupanda 8. Izvo zvidhina zvakatengwa nababa.
gumbatidzo 	KKKD 	5 	z 		gumbatidzo KKKD z 5 . Ichi chimuti chinoiswa pamusuwo, chinotsikwa nevanhu pakupinda nokubuda. chikumbaridzo 7 .
gumbiramoto 	KKKDK 	5 	z 		gumbiramoto KKKDK z 5 . mbuyamuderere 9 .
humbidziro 	D- 	9>10 	z 		humbidziro D- z 9>10 . Aka kapfuko kadiki kokutakurira doro kubva naro pariri kunwirwa, uchienda naro kumba. Aka kamudziyo kadiki kokucheresa zvinhu kuisa mumudziyo muhombe.
jamukoko 	DDKK 	1a 	z 		jamukoko DDKK z 1a . Uyu munhu ane usimbe, anongoda kuitirwa zvinhu nguva dzose. mudyandirere 1a .
jangano 	D- 	5 	z 		jangano D- z 5 . Jangano kuungana pamwe muchiita jana rekubatsira vakambokubatisiraiwo akambokubatsiraiwo. Majangano ekusakura anobatsira chaizvo kana munhu uchigara wega, nekuti musi wamunosakura mumunda mako ndima inombofamba.
gumiso 	KKD 	5 	z 		gumiso KKD z 5 . Gumiso kupera kwechinhu. Gumiso rezvauri kuita rufu. gumo 5 .
huro 	D- 	9>10 	z 		huro D- z 9>10 . Huro mwena unoshandiswa kumedzesa zvekudya kubva mumukanwa kuenda kudumbu.
jekeramuchiuno 	K- 	5 	z 		jekeramuchiuno K- z 5 . zemo 5 .
ndoro 	D- 	9>10 	z 		ndoro D- z 9>10 . Ndoro tunhu twakatenderera tunosonerwa mberi kana kumashure kwehembe, tunokonoperwa kuitira kuti ivharike. bhatanisi 5, ngopero 5 .
nhando 	DK 	9 	z 		nhando DK z 9 . Nhando chinhu chisingakoshi kana kuti chisingapi mubairo. Ndaroverwa nhando nomudzidzisi, paandiona ndichiseka akafunga kuti ndanga ndichiseka iye.
nhango 	D- 	9>10 	z 		nhango nhengo D- z 9>10 . Nhango chidimbu chidiki chenyama yakabikwa. Ndapihwa nhango mbiri chete dzenyama dzekudyisa sadza. nhindi 9 . Nhango mashoko okuraya nokurayira asi usingatuki munhu. Nhango rudzi rwenhetembo dzokurayira kana kudzidzisa nekutsoropodza, asi dzinotaurwa senyaya. Pasichigare nhango dzaitaurwa pamatare.
nyaradzo 	KKD 	9 	z 		nyaradzo KKD z 9 . Nyaradzo Munamato kana gungano rinoitwa nevanhu pamba pevafirwi, mushure menguva ingangoita masvondo kana kudarika munhu ashaya.
mweredzo 	D- 	3 	z 		mweredzo D- z 3 . Mweredzo idoro rezvirango zvevadzimu rinozonwiwa mushure mekuurayiwa kwemombe kana kuvigwa kwemufi.
mwero 	D- 	3 	z 		mwero D- z 3 . Mwero uwandu hwakaenzerana, husina kuwandisa kana kushomekesa. Manwiro ake doro haana mwero. mupimo 3 .
ndwiyo 	DK 	10 	z 		ndwiyo DK z 10 . nziyo 10 .
ninyo 	D- 	9 	z 		ninyo ninyn'o D- z 9 . beche 5 .
nharidzano 	D- 	9 	z 		nharidzano D- z 9 . Iyi inzvimbo yekusanganirana inenge yakabvumiranwa.
mwiro 	KD 		ny 		mwiro KD ny . Kuti mwiro kunyarara zviya zvekusambotaura kana kuita karuzha kanonzikwa. mwi-i .
mwoko 	D- 	3 	z 		mwoko D- z 3 . Mwoko murwi wezviyo zvisati zvapurwa.
mwoyo 	D- 	3 	z 		mwoyo moyo D- z 3 . Mwoyo inhengo yemuviri iri mukati mechipfuva, inopomba ropa kuti rikwanise kufamba nemuviri wese. Pa mwoyo pechinhu pakati pacho. Kana chinhu chichinzi chiri pa mwoyo , zvinoreva kuti chinenge chichidiwa zvakanyanya. Kana munhu achinzi ane mwoyo anenge achida tunhutunhu twevamwe twunonaka.
ndyaringo 	D- 	9>10 	z 		ndyaringo D- z 9>10 . Ndyaringo inyaya kana mashoko anotaurwa anosekesa vanhu. Ndyaringo rudzi rwenhetembo dzinosekesa, asi dziine dzidziso mukati.
njandayiso 	D- 	9 	z 		njandayiso D- z 9 . dambudziko 5 .
nhaurirano 	D- 	9>10 	z 		nhaurirano D- z 9>10 . Iyi ihurukuro inoitwa nevanhu vachipindurana kana kukurukurirana.
nheketero 	KKKD 	9 	z 		nheketero teketero KKKD z 9 . Uku kuwirirana kunoita mazwi kokupedzisira kwemutsara munhetembo.
nekuno 	DKK 		kanu 		nekuno DKK kanu . Nekuno izwi rinoshandiswa kureva kuti tisvikewo kana pakumhoresa vanhu.
nembo 	K- 	9>10 	z 		nembo K- z 9>10 . Nembo inyora dzinoiswa pamunhu, dzisingadzimiki nhando. Vanhu vakare vaifarira kuiswa nembo pamatama. Nembo zvidavado zvenyora zvinoiswa pahari, kuri kuishongedza.
nenedzero 	KKKD 	9 	z 		nenedzero KKKD z 9 . Nenedzero kupomerwa kunenge kuchiitwa mumwe munhu mhosva.
nhemo 	K- 	5/9>6 	z 		nhemo K- z 5/9>6 . Nhemo mudziyo unoshandiswa kugadzirisa mapuranga. chezero 9 .
nhendo 	D- 	9>10 	z 		nhendo D- z 9>10 . Nhendo mupiro wekutenda, unoitirwa vadzimu kazhinji.
n'onono 	D- 	9>10 	z 		n'onono D- z 9>10 . ngonono 9 .
n'wiro 	KD 				n'wiro KD . mwiro .
nepo 	DK 		bat 		nepo napo DK bat . Nepo chibatanidzamazwi chinoratidza kuti zvimwe zvinhu zvakaitika, asi zvisingafaniri kuitika. Akatozonyanya kurohwa iye nepo akanga ari murandutsuri chete.
nezuro 	DKD 	1a 	z 		nezuro DKD z 1a . Nezuro izuva rakapfuura richizoteverwa nezuva ranhasi. zuro 1a .
nhetembedzo 	KKKD 	9>10 	z 		nhetembedzo KKKD z 9>10 . nhetembo 9 .
nhetsameso 	K- 	9 	z 		nhetsameso K- z 9 . Uyu munhu, kunyanya mwana mudiki, anenge achiramba akatarisa munhu mukuru, asi kutarisa uku kusina ruremekedzo mukati.
nhevedzamutundo 	D- 	9>10 	z 		nhevedzamutundo D- z 9>10 . Uwu tumitaro tunowanikwa pazvidya kana tsapfu dzemunhukadzi.
naizvozvo 	DKDK 		bat 		naizvozvo DKDK bat . Iri ishoko rinoshandiswa pakubatanidza zvinhu mumutsara. Ndichaenda mangwana, naizvozvo ndichambondorongedza.
nezvo 	DK 		bat 		nezvo DK bat . Iri izwi rinoshandiswa kupa chikonzero chakaita kuti munhu aite kana chinoita kuti aite chimwe chinhu. naizvozvo, nekudaro, saka .
ngano 	D- 	9>10 	z 		ngano D- z 9>10 . Ngano inyaya inorondedzera zvakaitika kare, zvingave zvechokwadi kana zvisingakwanisi kuitika. rungano 11 . Ngano inyaya isingabvumwi nemunhu anenge achiiudzwa.
njodogo 	KKD 		ny 		njodogo KKD ny . Kuti njodogo kurova munhu nechibhakera kumeso, pachifuva kana pambabvi.
njoko 	D- 	5 	z 		njoko D- z 5 . mangai 6 .
njokoto 	D- 		ny 		njokoto D- ny . Kuti midziyo njokoto kuikanda pasi zvisina hanya, yosara yakangopararira pasi. Ndiro nezvipunu zvakanzi njokoto mumba yokubikira.
njongamupopoto 	DKDKKK 	9 	z 		njongamupopoto DKDKKK z 9 . Uku kukakavadzana kunenge kuchiitwa nevanhu vakawanda uye kune ruzha mukati. mvongamupopoto9, bopoto 5 .
nhevedzo 	D- 	9 	z 		nhevedzo D- z 9 . Nhevedzo imombe inourayiwa parufu rwemunhu mukuru.
nhimburo 	KKD 	9>10 	z 		nhimburo KKD z 9>10 . Nhimburo chitutu chezvitanda kana matombo chinenge chiri padivi penzira, chinoti apfuura anokanda kabwe kana kamuti, kuti asawirwa nenjodzi parwendo rwake. chihambakwe 7, hambakwe 9 .
njonjoro 	DKD 	5 	z 		njonjoro jonjoro DKD z 5 . Njonjoro iziso rakafa risingaoni.
njororo 	K- 		ny 		njororo K- ny . Kuti njororo kuchururuka zvishoma zvishoma kunoita mvura kana muto. Mvura yaiti njororo kubva mugaba nepaburi rakaboorwa nengura.
nho-o 	D- 		ny 		nho-o D- ny . Kuti nho-o kudzima kwemoto.
nango 	D- 	9>10 	z 		nango D- z 9>10 . Nango munhu kana chinhu chinenge chakanaka pamoyo kana pakutarisa.
nokudaro 	KDKD 		bat 		nokudaro KDKD bat . Iri izwi rinoshandiswa nemunhu kuratidza kuti sei chimwe chinhu chakaitika mushure mezvimwe. Ndakasara nechitima, nokudaro ndakarara pachiteshi ndisina chokufuga.
nomazvo 	KDK 		dc 		nomazvo nemazvo KDK dc . Kana zvinhu zvaitwa nomazvo zvinenge zvaitwa nenzira kwayo yazvinenge zvakafanira kuitwa nayo. Doro rikabikwa nomazvo, vanhu vanodhakwa vakafara chose.
nhodo 	KD 	9>10 	z 		nhodo KD z 9>10 . Nhodo mutambo wavana vadiki, wokukanda kadombo mudenga, woburitsa kana kudzosera tumwe tunenge turi mugomba usati wagamha kawakanda mudenga. Tiri kutamba nhodo dzamhamu teni nhasi. Nhodo tumatombo kana tumhodzi tunoshandiswa kutamba mutambo wevana unonziwo nhodo. Kana uchitamba nhodo dombo raunokanda mudenga rinonzi mudodo, asi matombo anenge ari mugomba anonzi nhodo.
nhombo 	DK 	9>10 	z 		nhombo DK z 9>10 . Nhombo chitombo chidiki chakatenderera, chinoshandiswa pamabasa akaita sokukuya fodya, kutsvenenzvera hari dzevhu, nokugadzira pasi pemba kuti patsetseke. Nhombo munhu asina chaainacho, anongogara upenyu hwokutambudzika. murombo 1 .
nhondo 	D- 	9>10 	z 		nhondo D- z 9>10 . Nhondo| imbeu yemuriwo kana miti, inotanga yamera yakawanda, yozoti yosimwa. nesi 10 . Nhondo kurova maoko kunoitwa nevarume semucherechedzo wekuremekedza mambo. manja 6 .
ngoko 	D- 	9>10 	z 		ngoko D- z 9>10 . Ngoko kapuka kanobhururuka, kanokungurutsa ndove koisa mumwena mako. nyamututa 1a, chituta 7 .
ngondo 	D- 		ny 		ngondo D- ny . Kuti ngondo kudonha kwechinhu chakakura chichienda kumawere kana kuti, chichibva pakakwirira.
noro 	D- 	9>10 	z 		noro D- z 9>10 . Noro idombo rinoshandiswa kurodza matemo nemapanga.
nhonhamuto 	DKKD 	9 	z 		nhonhamuto DKKD z 9 . Iyi imvura inoiswa munyu inoseveswa sadza. mutowejongwe .
nhonho-o 	KD 		ny 		nhonho-o KD ny . Kuti nhonho-o kutonhora kwechikafu kana kutonhorera kwemamirire ekunze.
nhoo 	K- 	9>10 	z 		nhoo nhovo K- z 9>10 . Nhoo idehwe rinowaridzwa pasi sorukukwe, rogarirwa kana kurarirwa. Nhoo mudziyo kana chombo chaishandiswa kare muhondo kudzivirira mapfumo.
ngoro 	DK 	9>10 	z 		ngoro DK z 9>10 . Ngoro mudziyo une mavhiri unogadzirwa nesimbi kana nemapuranga unokwevewa nemombe, madhongi kana tarakita, unoshandiswa kutakurisa zvinhu zvinorema. chikochikari 7 .
ngoto 	K- 	9 	z 		ngoto K- z 9 . Ngoto hwahwa hunobikwa nevanhu mudzimba, hunotora mazuva anokwana vhiki kuti huibve.
nyadzayo 	D- 	9 	z 		nyadzayo D- z 9 . rovambira 5 .
nyahoko 	DDK 	1a 	z 		nyahoko DDK z 1a . Nyahoko munhu abva zera, zvikuru wechirume.
nhorido 	KKD 	9>10 	z 		nhorido KKD z 9>10 . Nhorido ndezvekudya zvakaita semamengo, tsenza nezvimwewo zvisingadyirwi kuguta, asi zvinodyiwa chero nguva ipi zvayo.
nhoro 	DK 	9>10 	z 		nhoro DK z 9>10 . Nhoro rudzi rwemhuka inogara musango ine mukono unoita nyanga dzakareba, dzakamonyoroka, asi hadzi yacho isingaite nyanga. nzirawa 9, mukwende 3 .
nhosvo 	DK 	9>10 	z 		nhosvo DK z 9>10 . Nhosvo mwenje inoteya maziso, kana kuti ruvheneko rwezuva runoteya maziso. Kana munhu aine nhosvo anenge asingagone kunanga, achipotsa kana pane chaanenge achida kutema. Ukaita nhosvo mubhora, unobudiswa mutimu.
nhototo 	D- 				nhototo D- . Nhototo muto unobikwa, wotadza kunyatsoibva zvakanaka. pfanha 9 . Nhototo ibota dete kana rakakora, risina kubikwa zvakanaka. pfanha 9 .
ndarauko 	KKKD 	9 	z 		ndarauko KKKD z 9 . Iyi inzvimbo isina kuvakirwa chinhu, yokuti vanhu vangarima kana kuitira rimwe basa.
ndaudzo 	KKD 	9 	z 		ndaudzo KKD z 9 . Ndaudzo uwandu hwenhamba hunenge hwadarikidza uwandu hunenge huchidiwa. Ndakazopiwa madhora maviri, namai paita ndaudzo pahembe yandanga ndichitenga. muraudzo 3 .
ndedzekero 	KKKD 	9 	z 		ndedzekero ndadzekerwa KKKD z 9 . Uyu mudziyo mudiki unenge une chinwiwa kana mvura yokuzadzisa mudziyo mukuru.
nguo 	D- 	9>10 	z 		nguo D- z 9>10 . Nguo ihembe kana kuti chipfeko.
nyakoko 	DKK 	9>10 	z 		nyakoko DKK z 9>10 . garwe 5 .
nhumburamafeso 	D- 	9 	z 		nhumburamafeso D- z 9 . Uyu muripo unopiwa tezvara vanenge vatevera mwanasikana wavo kuvakwasha, kwaanenge atizira mukumbo.
nhumburiro 	D- 	9>10 	z 		nhumburiro D- z 9>10 . Iyi inzvimbo inosarudzwa nevavhiyi vemhuka kuti vaicheke, vagoburitsa nayo matumbu.
nhungo 	K- 	9>10 	z 		nhungo K- z 9>10 . Nhungo mapango anobatanidzwa nembariro kuita denga remba yeuswa. Nhungo chibage chinotanga kubuda muvhu mushure mekukavirwa.
ndevo 	K- 	9 	z 		ndevo K- z 9 . Ndevo chinhu chakaipa chinenge chichipomerwa munhu kuti achiita. mhosva 9 .
ndo ndo ndo 	D- 		ny 		ndo ndo ndo D- ny . Uku kunyura kunoita chinhu mumadhaka kana mumvura.
ndo-o 	D- 		ny 		ndo-o D- ny . Kuti ndo-o kusviba kweganda kana chimwe chinhu kwakanyanya. Musikana uya wekushandisa mishonga yekutsvukisa ganda makore aya mazuvaano asviba kuti ndo-o. Kuti ndo-o kunyura kana kuparara kwechinhu. Saka wati hembe yangu yongorova zvayo kuti ndo-o here?
ngwitsvo 	KD 	5>6 	z 		ngwitsvo KD z 5>6 . Ngwitsvo ishiri ine mapapiro matsvuku, nevara dzvuku padyo nomutsipa wayo, inodya tupuka nemichero. husvu 9, sviho 5, hosviro 9 .
mvuviro 	D- 	9>10 	z 		mvuviro D- z 9>10 . Mvuviro chinhu chakaita semamera chinoshandiswa pakuvidza zvinhu zvakaita sechingwa kana doro.
mwangato 	D- 	3 	z 		mwangato D- z 3 . Mwangato muti wakavezwa, unogona kuiswa chifananidzo cheshumba kana mbada, unowanzotakurwa nemasvikiro.
ndondo 	D- 	9 	z 		ndondo D- z 9 . Ndondo idombo rekugadzirisa guyo.
ndondo 	K- 	9>10 	z 		ndondo K- z 9>10 . Ndondo idambudziko rinoonekwa nemunhu muupenyu. nhamo 9 .
ndondondo 	K- 	9 	z 		ndondondo K- z 9 . Kuti ndondondo kunyura-nyura kunoita chitube kana hove ichidyira. ndoi ndoi .
nhambo 	D- 	9>10 	z 		nhambo D- z 9>10 . Nhambo inguva yezuva sekuti nguva yegumi. Inhamboiko nhai? Nhambo mukana unenge wapihwa munhu kuti aite zvaanenge achida panguva iyoyo. nhambwe 9 nguva 9 . Nhambo kamufambo kadiki. nhambwe 9 .
mutambo 	DKK 	3 	z 		mutambo DKK z 3 . Mutambo zviitiko zvakasiyana-siyana zvinoitwa nechinangwa chekufadza vazhinji. Mutambo mabiko anoitwa kufarira kukunda kana zvimwewo, zvakaita sezuva rekuzvarwa kwemunhu. Mutambo chiitiko chinoitwa, chichibva mubhuku, vamwe vakatarisa. Pandakaona mutambo waMungoshi, "Inongova Njakenjake", ndakabvuma kuti murume uya une chipo chekunyora. Mutambo makwikwi, akaita sebhora, anoitwa mapoka akasiyana-siyana. Mutambo inyaya kana maitiro anoshaisa vanhu zano. Mukomana uya wekuba nekugura mota yechipatara, akatiitira mutambo wakaoma.
mutandariko 	DKKKD 	3 	z 		mutandariko DKKKD z 3 . Iri idanda rinoshandiswa kuvhara padanga, kana pagedhe, kana musuwo.
mutando 	D- 	3 	z 		mutando D- z 3 . Mutando itsambo inogadzirwa nemhangwa nezvuma.
mutanho 	D- 	3 	z 		mutanho D- z 3 . Mutanho inzvimbo inovakwa nematanda, inoyanikirwa zvirimwa zvakaita senzungu kana chibage. Mutanho ibhiriji rematanda. Mutanho mufambo unosvika maira imwe.
menduro 	KDD 	9<10 	z 		menduro menduru KDD z 9 <10 . medhari 9 .
muchiso 	DKK 	3 	z 		muchiso DKK z 3 . Muchiso kamutsetse kanosara pajira rinenge raainwa. Muchiso ukaenda nepadivi pehanzu, inonyadzisa kupfeka. mupono 3, mupani 3 . Muchiso mucherechedzo unoiswa pamombe nesimbi inopisa. chidhindo 7 .
muchochororo 	D- 	3 	z 		muchochororo muchochorondo D- z 3 . Ichi chinyama chitsvuku chiri pamusoro wehuku chakati swatu.
muchokoto 	D- 	3 	z 		muchokoto D- z 3 . Iyi imheremhere inoitika panenge pava kuda kurwiwa. Zirume riya rekushusha rakasvikomutsa muchokoto, parakawana mukadzi asina kurisiira musoro wehove. musindo 3 .
mupendero 	D- 	3 	z 		mupendero D- z 3 . Uku kumucheto kwehembe kunenge kwakapfunyirwa mukati. mukombero 3 .
mhako 	D- 	9>10 	z 		mhako D- z 9>10 . Mhako inzvimbo yakadzivirirwa nemabwe yakaita buri, munogara nyuchi dzichiberekera vana vadzo nekuita uchi kwemakore akawanda. gonera 5 .
mudhorodhoro 	D- 	3 	z 		mudhorodhoro D- z 3 . Iyi imotokari yasakara, inotinhira ichiputika-putika. muchovha 3, sikorokoro 9 .
mudonzvo 	DKK 	3 	z 		mudonzvo DKK z 3 . Mudonzvo muti unoshandiswa pakufamba navanhu vanenge vakwegura, kana kuti nemunhu anenge akuvara gumbo. Mutana akatorerwa mudonzvo, haakwanise kufamba. mubhadha 3 .
mupfumbo 	D- 	3 	z 		mupfumbo D- z 3 . Mupfumbo mushonga unoshandiswa nevaroyi kuti vakwanise kupinda mumba, muridzi wemba akakotsira.
mupimo 	D- 	3 	z 		mupimo D- z 3 . Mupimo chigaba kana chimwewo chinoshandiswa kuratidza kuwanda kwezvinhu. Pataitenga chibage, taishandisa mupimo wegogogo.
mhango 	D- 	9>10 	z 		mhango D- z 9>10 . Mhango mwena unoita pahunde yemuti. mwazi 3 . Mhango mwena unoita pazino.
mharadzo 	D- 	9 	z 		mharadzo D- z 9 . mharadzamusasa 9 .
mudungiro 	DKKD 	3 	z 		mudungiro DKKD z 3 . Iyi itambo kana tsanga inopakirwa hove, majenya kana hwiza dzinenge dzabatwa, kuti zvirambe zviri pamwe pazvinenge zvakachengeterwa.
mupiro 	DKK 	3 	z 		mupiro DKK z 3 . Uyu munamato unopirwa kuna Mwari.
