Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
mutikiti 	DKKK 	3 	z 		mutikiti DKKK z 3 . muboora 3 .
mhesvi 	KKDKK 	9>10 	z 		mhesvi KKDKK z 9>10 . mhesvamukono 9 . Mhesvi inhunzi inowanikwa munzvimbo dzinopisa, inopa zvirwere kuvanhu nemhuka painodzisveta ropa.
muenzi 	DDK 	1 	z 		muenzi mueni, mweni DDK z 1 . mueni 3 .
mufakaviri 	DKKDK 	3 	z 		mufakaviri DKKDK z 3 . Uku kuita chinhu uchifunga kuti wapedza, wozoona kuti unenge uchifanira kuchidzokorora zvakare, nokuti chinenge chisina kubuda sezvaunoda. Mukadzi akaita mufakaviri apo akapedza kutsvaira pachivanzi mhepo ichibva yauya ichiisa marara akachizotangazve.
mufemberi 	DKKD 	1 	z 		mufemberi DKKD z 1 . Uyu munhu anoudza vamwe zvinhu zvichaitika panguva inotevera.
muremani 	DKDD 	3 	z 		muremani DKDD z 3 . mundimu 3 .
mhezi 	DK 	9>10 	z 		mhezi DK z 9>10 . Mhezi mapundu kana maronda anoita pamuviri, anosiya mavara matema kana apora. Mhezi dzegwembe dzakambonetsa chaizvo makore apfuura, vanhu vachikwaturwa makanda kusara angove madzvanga madzvanga.
mhi 	K 		ny 		mhi K ny . Kuti mhi kusimudza chinhu. bidzu, mhidzu . Kuti mhi kungonakura chinhu chichibva pasi zvine simba.
mufevi 	D- 	1 	z 		mufevi D- z 1 . Mufevi munhu anoita zvoupfambi nemamwe, basa ese akaipa. chifeve 7 .
mufirwi 	DKK 	1 	z 		mufirwi DKK z 1 . Uyu munhu anenge ashayikirwa nehama.
mufoyi 	DDK 	3 	z 		mufoyi mufoi DDK z 3 . Mufoyi ijira rinoiswa pakati pemakumbo nevanhu vechikadzi kuti vasapindwe nemhepo kana kuti vari kumwedzi. mugwada 3 .
mufudzi 	D- 	1 	z 		mufudzi D- z 1 . Mufudzi munhu anoendesa zvipfuyo kumafuro nekuzvichengetedza. murisi 1 .
mufundi 	DKK 	1 	z 		mufundi DKK z 1 . mudzidzi 1 .
mufundisi 	DKKD 	1 	z 		mufundisi DKKD z 1 . mudzidzisi 1 . Uyu munhu anoparidzira vanhu zvechitendero kana kuti vhangeri raMwari. muvhangeri 1 .
muridzi 	DKK\D- 	z 	z 		muridzi DKK\D- z z . Muridzi wechinhu ndiye anenge ari mwene wacho.
murindi 	DDK 	3 	z 		murindi DDK z 3 . Murindi igomba guru rinochengeterwa mbambaira kana dzakohwewa. pfimbi 9 .
mutsamvi 	DDK 	3 	z 		mutsamvi mushavhi, mutsamvu DDK z 3 . Mutsamvi muti unowanzomera pazvuru nomuzvikomo, unobereka muchero mudikidiki, unodyiwa neshiri kunyanya.
mutsetsenuri 	D- 	3 	z 		mutsetsenuri D- z 3 . Uyu munhu anogona kukuya zviyo, zvichisara zvanyatsotsetseka. Uyu munhu anokwanisa kunyatsotsanangura zvaanenge aona.
mhiripiri 	D- 	9 	z 		mhiripiri D- z 9 . Ichi chirimwa chakasvibira kana kutsvuka, chinoshandiswa kurunga muriwo kuti uvavire.
mhiti 	D- 	9>10 	z 		mhiti D- z 9>10 . Mhiti imhuka yemusango inofamba usiku, kazhinji inowanzogara yega munzvimbo ine miti yakawanda. deke 5, timba 9 .
mhodzi 	DK 	9>10 	z 		mhodzi mhonzi, mhunzi DK z 9>10 . Mhodzi itsanga inomera kana yaiswa muvhu, kana kuti inoonekwa mukati memuchero.
mugari 	D- 	1 	z 		mugari D- z 1 . Mugari munhu anenge ari chidza chenzvimbo iyoyo. Mugari wemudhorobha anonzwika nekusanganisa mitauro.
mugodhi 	DDK 	3 	z 		mugodhi DDK z 3 . Mugodhi itsime rakadzika rakavakirirwa mukati nezvitinha. Mugodhi igomba rinocherwa matombo anokosha, akafanana negoridhe, mhangura, marasha nezvimwewo. KuHwange kune mughodhi wemarasha.
mugoni 	D- 	1 	z 		mugoni D- z 1 . Mugoni munhu anoziva zvimwe zvinhu zvinenge zvichitaurwa pamusoro pazvo. muzivi 1 . Mugoni munhu waunoyemura, ane mhanza yakanaka. Mugoni zvake Shuvai, akahwina mabhiza.
muronzi 	D- 	1 	z 		muronzi D- z 1 . Muronzi munhu anopa zvinhu zvake kune vamwe kuti vamuchengetere kwenguva yakareba.
murori 	DDK 	3 	z 		murori DDK z 3 . Murori muromo wepfuti.
muroyi 	D- 	1 	z 		muroyi D- z 1 . Muroyi munhu anoshandisa mishonga nezvidhoma kukuvadza nekuuraya vamwe.
mutsivi 	D- 	1 	z 		mutsivi D- z 1 . Mutsivi munhu anotora chinzvimbo cheanenge abva.
mutsombori 	DDDK 	3 	z 		mutsombori mushombori DDDK z 3 . Urwu rudzi rwekamuti kanoita midzi inodyiwa ichiri midiki.
mutswi 	D- 	3 	z 		mutswi mutwi D- z 3 . Mutswi idanda rakavezwa, rinoshandiswa pakudzvura zvakaita sezviyo. muhwi 3 . Mutswi kutsemuka kunoita zvakaita semidhuri yedzimba, matombo kana hari.
mhoni 	D- 	9>10 	z 		mhoni D- z 9>10 . Mhoni kapundu kanenge kane mvura, kanorwadza, kanoita muruoko kana munhu aita basa rinorwadza, rakaita sekusakura kana mutsoka kana munhu afamba zvikuru.
mhoti 	KD 		dc 		mhoti KD dc . Iri izwi rinoshandiswa nomunhu asina chokwadi chakazara nezvaari kutaura nezvazvo. Mhoti aenda kuHarare? mukati .
muguri 	D- 	3 	z 		muguri D- z 3 . Muguri chibage chizere tsanga chisati chatokonyorwa. hupi 5 . Muguri chimai chichena chinosaririra panenge patokonyorwa chibage, chinogona kushandiswa kubvirisa moto.
muhacha pasi 	DDD DK 	3 	z 		muhacha pasi DDD DK z 3 . Aka kamuchakata kanomerera pasi kasingarebi kuenzana neimwe yakawanda-wanda panzvimbo imwe chete. muchakatapasi 3 .
muhedheni 	DKDD 	3>6 	z 		muhedheni DKDD z 3>6 . Muhedheni munhu asingatendi kuti kuna Mwari. Vanhu vanotendera Mwari vanoti, kana muhedheni akafa, anoenda kugomba remoto.
mururi 	D- 	1 	z 		mururi D- z 1 . Mururi ndiye anoita kuti mutambo uchitanga.
muruti 	D- 	1 	z 		muruti D- z 1 . Muruti munhu anofarira nyama zvakanyanya.
muruvisi 	D- 	1 	z 		muruvisi D- z 1 . Uyu munhu anofamba achitora mitero.
murwanapasi 	DKKDK 	1 	z 		murwanapasi DKKDK z 1 . Uyu munhu anoita zvinokanganisa mumwe, asi asingamubudiri pachena kuti haamufarire.
murwiri 	D- 	1 	z 		murwiri D- z 1 . Murwiri munhu anokudzivirira kubva munjodzi.
murwisanisi 	D- 	1 	z 		murwisanisi D- z 1 . Uyu munhu anofurira vamwe, achivakusvudzira kuti varwe.
murwiti 	DKK 	3 	z 		murwiti DKK z 3 . Murwiti muti une minzwa, unokura munzvimbo dzinonaya mvura yakawanda. munhohwe 3, mumhingwe 3 .
mutungamiri 	DKKKD 	1 	z 		mutungamiri mutungamiriri DKKKD z 1 . Uyu munhu ane chinzvimbo chikuru pabasa. Uyu munhu ane simba rekufambisa nyaya mumba kana pamusha. Uyu munhu anofamba mberi achiratidza vanhu nzvimbo kana nzira.
mutwi 	D- 	3 	z 		mutwi D- z 3 . mutswi 3 .
mhumhi 	DK 	9>10 	z 		mhumhi bumhi DK z 9>10 . Mhumhi imhuka yemusango yakafanana nembwa, inoruma dzimwe mhuka, ine muswe une mvere dzakawanda.
mhuri 	D- 	9>10 	z 		mhuri D- z 9>10 . Mhuri yakaumbwa nevanhu vemba imwe vanoti amai, baba nevana vavo. Mhuri inoumbwa nevanhu vemusha mumwe chete vane mutupo mumwe chete.
mujoni 	DDK 	1a>6 	z 		mujoni DDK z 1a>6 . Mujoni izita raipihwa mupurisa wechirungu, zvikuru munguva iyo Zimbabwe yaive isati yasununguka.
mukadzi 	DKK 	1 	z 		mukadzi DKK z 1 . Mukadzi munhu anogona kukwanisa kuumba mwana mudumbu make, uye ane mazamu anogona kuyamwisa mwana uyu. Mukadzi wemunhu ndiye anenge akaroorwa, ari amai vemba yake yaanochengeta zvese nemhuri.
musambasi 	DDKK 	3 	z 		musambasi DDKK z 3 . mutsambatsi 3 .
musemi 	DKK 	3 	z 		musemi DKK z 3 . mhandu 9 .
mutwi 	DK 	1 	z 		mutwi mushwi DK z 1 . Mutwi munhu asina chaakapfeka pamuviri pake. mushutu 1 .
mutyambi 	DDK 	3 	z 		mutyambi DDK z 3 . Mutyambi vanhu kana mombe dzakawanda.
muumbapasi 	DKKDK 	1 	z 		muumbapasi DKKDK z 1 . musikavanhu 1 .
muunji 	DDK 	3 	z 		muunji DDK z 3 . muururo 3 .
muvakidzani 	DKKKD 	1 	z 		muvakidzani DKKKD z 1 . Uyu munhu waunogara pedyo naye munharaunda. Tinokumbidzana munyu nemuvakidzani wangu. mubanzi 1 .
muvaraidzi 	DKKKD 	1 	z 		muvaraidzi DKKKD z 1 . Uyu munhu anonyaradza vari mumatambudziko, kana kuti munhu anoita kuti vanhu ava vasasurukirwe nekutaura nyambo.
muvavariri 	DKKKD 	1 	z 		muvavariri DKKKD z 1 . Uyu munhu anoshingirira kuita chinhu chake, nyangwe zviri kunetsa sei kuti achiite.
minzi 	KD 	9<10 	z 		minzi KD z 9 <10 . Minzi inyama yakagayiwa-gaiwa kuita twuubvururira.
mukandiri 	D- 	1 	z 		mukandiri D- z 1 . Uyu munhu anotaurira vanhu zvinenge zvichivanetsa, achishandisa hakata. mushoperi 3 .
mukarati 	DKKD 	3 	z 		mukarati DKKD z 3 . Iyi imhando yemuti unonyanya kukura munzvimbo dzinevhu rakaita jechajecha, unowanzoberekera harati dzinodyiwa.
mukati 	DDK 	18 	z 		mukati DDK z 18 . Mukati inzvimbo inenge yakakomberedzwa kana kuvhariwa. Kazhinji usiku vanhu vanorara mukati memba.
mukokeri 	D- 	1 	z 		mukokeri D- z 1 . Uyu munhu anotungamira mombe dzinenge dzakabopwa. Uyu munhu anoshanda mubhazi kubhadharisa vafambi mari achivapa matikiti nekukwidza nhumbi pakeriya.
mushamarari 	DKKKD 	1 	z 		mushamarari DKKKD z 1 . Uyu munhu ane basa rekutepfenyura zvirongwa zvinobva kuimba yemhepo zvichibuda nemuwairesi kana mutiivhii. mushevedzeri 1 .
muvengi 	DKK 	1 	z 		muvengi DKK z 1 . Muvengi munhu waunenge wakatadzirana naye, zvekuti unenge usingatombodi kumbomuona zvako. musemi 1, mhandu 9 .
muvezi 	D- 	1 	z 		muvezi D- z 1 . Muvezi munhu anoshandisa mbezo kana chimwewo chinhu kugadzira zvinhu zvakaita sematafura nezvigaro.
muviri 	D- 	3 	z 		muviri D- z 3 . Muviri wemunhu mutumbi wake wese, kubva kumusoro kusvika kutsoka. Munhu akanzi ane muviri zvinoreva kuti anenge ari mukobvu. Mwana uyu anenge akakarotodza baba vake kuita muviri.
muwani 	D- 	1 	z 		muwani D- z 1 . Muwani munhurume anenge achichata. musvitsa 1 .
misheni 	KDD 	9>10\6 	z 		misheni mishoni KDD z 9>10\6 . Misheni chikoro chakavambwa nokutungamiririrwa nemafata kana vafundisi vechechi.
mochari 	KDD 	9>10 	z 		mochari KDD z 9>10 . Mochari imba inochengeterwa zvitunha zvevanhu zvisati zvavigwa.
mukomonisiti 	DKKKDD 	1 	z 		mukomonisiti mukomunisiti DKKKDD z 1 . Uyu munhu anotendera mugwara rematongerwo enyika rinoti upfumi hunofanirwa kugovanwa zvakada kungoenzerana kuvanhu vose munyika.
mukonikoni 	D- 	3 	z 		mukonikoni D- z 3 . Aka kabhururukwa kada kuita sendege, kakareba kari katete, kanonyanyoonekwa muuswa huri pedyo nemvura.
mukoti 	DKK 	1 	z 		mukoti DKK z 1 . Mukoti munhu akadzidzira basa rekuchengeta nekurapa varwere muzvipatara.
mukumbidzani 	D- 	3 	z 		mukumbidzani D- z 3 . Uyu munhu waunenge wakavakidzana naye, kana waunoshamwaridzana naye zvekuti munogona kupota muchipanana zvinhu.
mushanyi 	DKK 	1 	z 		mushanyi DKK z 1 . Mushanyi munhu anobva kune imwe, nzvimbo achienda kune imwe nechinangwa chekuona vanhu kana kugadzirisa zvimwe zvinhu.
musharapanzi 	DKKKD 	3 	z 		musharapanzi DKKKD z 3 . Iri ibasa rakareruka kuita. Ichi chinhu chaunowana usina kuchishandira iwe pachako.
mushauri 	DKKD 	1 	z 		mushauri DKKD z 1 . Mushauri munhu anotungamirira vamwe pakuimba, anotanga iye kuimba.
mushereketi 	D- 	1 	z 		mushereketi D- z 1 . Uyu munhu akangwara-ngwara, anofarira kuita twunhu twechitsotsitsotsi.
mushevedzeri 	DKKKD 	1 	z 		mushevedzeri DKKKD z 1 . mushamarari 2 .
muzarabani 	DKDKD 	3 	z 		muzarabani DKDKD z 3 . Uku kurwa kuya kunoita vanhu vachiuya vakawanda kuita mhomho chaiyo.
muzhumwi 	DDK 	3 	z 		muzhumwi muzhumu DDK z 3 . Muzhumwi imhando yemuti wemutamba, une mapazi netsotso zvine minzwa yakakombama, unoita matamba anotapira chaizvo.
mukuzi 	DKK 	1 	z 		mukuzi DKK z 1 . Mukuzi munhu anenge achikurudzira mombe dzakabopwa kuti dzifambise.
mushoperi 	D- 	1 	z 		mushoperi D- z 1 . Uyu munhu anogona kuona nekutaura nevari kumhepo, nekuudza vanhu zvinenge zvichivanetsa zvemidzimu, nezvavangaite kuti nhamo yavo ipere. Uyu munhu anoenda kunobvunza zvamunetsa kumunhu ane chipo chekuziva zvakavandika.
mushorikani 	D- 	1 	z 		mushorikani D- z 1 . Uyu munhu wenhando.
mushumiri 	DKKD 	1 	z 		mushumiri DKKD z 1 . Uyu munhu anoita zvinodiwa naMwari kana kuti remidzimu.
mushunasiri 	DDKDK 	3 	z 		mushunasiri DDKDK z 3 . munyepfu 3 .
musi 	DK 	3 	z 		musi DK z 3 . Musi inguva inobvira mangwanini vanhu vachimuka kusvika vanhu vachienda kunorara usiku. Musi weSvondo takaswera kubhora. zuva 5 .
Musikarudzi 	D- 	1a 	z 		Musikarudzi D- z 1a . Uyu munhu wakarekare anonzi ndiye akazvara marudzi nemarudzi ari pasi pano. Musikavanhu 1a .
Musiki 	D- 	1a 	z 		Musiki D- z 1a . Mwari 1a .
mbirimi 	KKD 	9<10 	z 		mbirimi KKD z 9 <10 . Mbirimi munhu anoshanda zvikuru uye achiziva basa racho. Sekuru vangu imbirimi pakuveza mipinyi. mazvikokota 6, nyanzvi 9 .
mbishi 	K- 		pr 		mbishi K- pr . Zvinhu zvi mbishi ndezvinenge zvisina kuibva. Kana munhu achinzi mu mbishi anenge ane maitiro asingaenderane nepaanenge ari zviya zvekushaya kunyatsodzikama kana rukudzo. Mukaka mu mbishi unenge usina kukora.
mbizi 	DK 	9<10 	z 		mbizi DK z 9 <10 . Mbizi imhuka yemusango yakafanana nedhongi asi iyo ine mitsetse michena nemitema. Mbizi uswa urefu hwakapfumburuka kana kuti rwunotanda.
mbombi 	DK 	9<10 	z 		mbombi pombi DK z 9 <10 . Mbombi isimbi ine mwena pakati, inofambisa mvura kana mafuta.
motokari 	KDDD 	9>10 	z 		motokari KDDD z 9>10 . mota 9 .
mubanzi 	DKD 	1 	z 		mubanzi DKD z 1 . Mubanzi munhu waunogara pedyo naye. muvakidzani 1 .
mubari 	DKK 	1 	z 		mubari DKK z 1 . mubereki 3 .
mubati 	DKK 	1 	z 		mubati DKK z 1 . Mubati munhu anosevenza pamwe panhu. mushandi 1, musevenzi 1 .
mumiririri 	DKKKD 	1 	z 		mumiririri DKKKD z 1 . Uyu munhu anoti, kana pane chinenge chichiitwa, ndiye anosarudzwa kana kuzvipira kuenda pamberi kana kutaura zvirongwa zvechikwata. Uyu munhu anofanoita basa kana kufanotora chinzvimbo cheanenge asipo, achirwara, kana kuti ane zvimwewo zvinenge zvichimutadzisa kuuya kubasa, kusvika azodzoka.
mumwauki 	D- 	1 	z 		mumwauki D- z 1 . Mumwauki munhu asingakwanisi kuchengetedza mashoko muhana make.
munanzi 	DKK 	1 	z 		munanzi DKK z 1 . Munanzi chipito chinogadzirwa netsanga, chinoridzwa.
musingwi 	DKK 	3 	z 		musingwi DKK z 3 . Musingwi igomba guru rakadzika zvikuru. singwi 5 .
musipiti 	DKKK 	3 	z 		musipiti DKKK z 3 . Musipiti muti wakareba chaizvo. Musipiti kumira wakangoti twi, kunge une zvawafambira kana kuti zvawatumwa.
musiyaidhii 	DKDKK 	1>6 	z 		musiyaidhii museidhi DKDKK z 1>6 . Uyu mupurisa anoshanda asina yunifomu ari mukati mevanhu, zvekuti ivo vanenge vasingazive kuti ndozvaari.
mboni 	K- 	9<10 	z 		mboni K- z 9 <10 . Mboni kanhengo kari pakati peziso, kanoita kuti ziso rione. Mboni yemagetsi kawaya kanopa mwenje.
mbudzi 	K- 	9<10 	z 		mbudzi K- z 9 <10 . Mbudzi chipfuyo chakakura kuita semhembwe, chine nyanga chinochema chichiti me-e. Mbudzi mwedzi wechigumi nemumwe pagore.
mubinyi 	D- 	1 	z 		mubinyi D- z 1 . Mubinyi munhu anoba panzvimbo yaanoshanda. dzvotsvo 9, nhosi 9 .
mubozhi 	D- 	1 	z 		mubozhi D- z 1 . Mubozhi munhu ane rombo rakanaka.
mungai 	DKD 	3>6 	z 		mungai DKD z 3>6 . Mungai chibage chakaoma chakafashaidzwa kuti chidyiwe.
munhukadzi 	D- 	1 	z 		munhukadzi D- z 1 . mukadzi 1 .
munhukwi 	DDK 	3 	z 		munhukwi munhikwi DDK z 3 . Munhukwi kumira kunoita kufema munhu achigwinwa muchipfuva zvinokonzerwa nekusanyatsovharika nekuvhurika kunenge kuchiita mukana wekufema nawo.
musosoti 	DKKD 	3 	z 		musosoti DKKD z 3 . Uyu muti unowanzomera pachuru sechikwenzi, unobereka muzhizha vana vanoibva vachiita vachena, vadiki. muchokochiyana 3, muchakakuhwe 3 .
mburuchusi 	DKDD 	9<10 	z 		mburuchusi DKDD z 9 <10 . Uyu mudhebhe unosvika pamabvi. Vakomana vamazuvano vanofarira kupfeka mburuchusi.
mubvumbi 	DDK 	3 	z 		mubvumbi DDK z 3 . Mubvumbi imvura nhete inenge yakawanda, inonaya kwenguva refu.
mubvuvi 	D- 	1 	z 		mubvuvi mubvuwi D- z 1 . Mubvuvi munhu anoredza achishandisa mambure. Mubvuvi munhu anoparidzira vamwe shoko raMwari.
muchapi 	D- 	1 	z 		muchapi D- z 1 . Muchapi munhu anokwasva mvura achichaira igwa.
muchecheni 	DKKD 	3 	z 		muchecheni DKKD z 3 . Uyu muti mudiki une minzwa, unobereka vana vanonzi checheni, vanodyiwa, vakada kufanana nemasau.
mununuri 	D- 	1 	z 		mununuri D- z 1 . Uyu munhu anobatsira vamwe kuti vakunde nhamo inenge yavasvikira.
munwi 	DK 	1 	z 		munwi DK z 1 . Munwi munhu anoputa doro zvemazvirokwazvo.
munyai 	D- 	1 	z 		munyai D- z 1 . Munyai munhu anotumwa nemuroori kuti anosvitsa shoko rekuroora kuvabereki vemukadzi, zvese nekuendesa pfuma yacho, nekuzofambira zvimwewo zvinenge zvazonetsa mukugara kwevaroorani.
munyaradzi 	DKKD 	1 	z 		munyaradzi DKKD z 1 . Uyu munhu anoita kuti ukanganwe nhamo dzako.
munyengedzi 	DKKD 	1 	z 		munyengedzi DKKD z 1 . Uyu munhu asingataure zvinhu zvakatwasanuka, anonyepera vamwe achiita kuti ivo vafunge kuti iye munhu kwaye.
munyeveri 	D- 	1 	z 		munyeveri D- z 1 . Uyu munhu anozivisa mumwe kuti agare akangwarira pane zvanoziva zvichauya.
munyeyi 	DKK 	1 	z 		munyeyi DKK z 1 . Munyeyi ishamwari yemhuri inonzi inokwanisa kuviga vanhu vemhuri iyi kana vachinge vafa. sahwira 9, vaganda 2a .
musunzi 	DKK 	1 	z 		musunzi mushuzhi DKK z 1 . Musunzi munhu anofamba achitsvaka upfu, chibage kana zvimwewo zvingamuraramise. mupemhi 1 .
musvi 	DK 	3 	z 		musvi DK z 3 . Musvi kunwa kunenge kwabviswa magufu kana masese, kwasara nhapitapi yega. Musvi muto unotapira unowanikwa kubva kumichero zvirimwa kana uchi. musvisvi 3 .
mbwandi 	KD 		ny 		mbwandi KD ny . Kana munhukadzi achinzi ati mbwandi hembe kana achigara anenge achinzi anyatsoivharidzira kuti asaonekwe zviri mukati.
mechisi 	D- 	6 	z 		mechisi mechisa, muchisa D- z 6 . Mechisi tutanda tune misoro mitsvuku tunogadzirwa kuti twugoshandiswa kukwenywa kuti tubvirise moto.
medhari 	KDD 	9<10 	z 		medhari medhoro KDD z 9 <10 . Medhari mucherechedzo unenge wakagadzirwa, kazhinji nechicherwa chinokosha segoridhe kana sirivha, unopihwa kumunhu anenge akunda vamwe pamakwikwi. menduro 9 .
muchedzi 	D- 	1 	z 		muchedzi D- z 1 . Muchedzi munhu anochengeta zvipfuyo. mufudzi 1 .
muchekesani 	DDDKD 	3 	z 		muchekesani DDDKD z 3 . Uyu muti une hunde nhete netumapazi tune tsarapu dzakawanda netumashizha tudiki, unobereka tuvana twakawanda, tunoibva twuri tutema.
muchenjeri 	DKKD 	1 	z 		muchenjeri DKKD z 1 . Uyu munhu anoshandisa pfungwa dzake munzira dzinovaka, uye anoziva zvaanoita nezvaanotaura. mungwaru 1 .
mucheri 	D- 	1 	z 		mucheri D- z 1 . Mucheri munhu anotengesa vamwe, achiburitsa zvavanenge vasingadi kuti zvizivikanwe.
muchindwi 	DKK 	3 	z 		muchindwi muchingwi DKK z 3 . Muchindwi rudzi rwemuti unomera pane mvura kana mugure, une mashizha anoshandiswa paPasika nemaKristu kurangarira rufu rwaJesu. murara 3 .
munyori 	DKK 	1 	z 		munyori DKK z 1 . Munyori munhu anonyora nyaya kana zvimwewo zvinozobuda zvava mumabhuku kana mumapepanhau. Munyori munhu anonyora pasi zvinenge zvichitaurwa nevanhu pamusangano.
munzvi 	DK 	3 	z 		munzvi DK z 3 . Munzvi ndepakatesva pechinhu chakaita semuseve.
mupambari 	D- 	1 	z 		mupambari D- z 1 . Uyu munhu anofamba achitsvaga zvekudya kana zvimwewo zvingamubatsire kuti ararame.
mutadzi 	DKK 	1 	z 		mutadzi DKK z 1 . Mutadzi munhu anoita zvakaipa kana kuti zvivi.
mutambi 	DKK 	1 	z 		mutambi DKK z 1 . Mutambi munhu anoita zvidavado zvakasiyana-siyana, zvakaita senhabvu, kuti afadze vanhu, sebasa rake kana kuti achivaraidza nguva. Mutambi munhu anogona kushandisa muviri wake, achizunguzira achitevedzera mumhanzi. Mutambi munhu atinosangana naye achiita zvakasiyana-siyana munganonyorwa. Mutambi munhu anotevedzera, mungava mumifananidzo kana zvimwewo, zvinoitwa nemunhu anenge ari murungano.
sendibhokisi 	KDKDD 				sendibhokisi KDKDD . sendebhokisi 9 .
sendiraini 	KDKD 	5 	z 		sendiraini KDKD z 5 . Uyu mukoto uri pakati pedzimba, wakasiirwa kuti vanochenesa zvivanze vakwanise kufamba.
sipakisheni 	DKDDD 	9>10 	z 		sipakisheni DKDDD z 9>10 . Kana vanhu vachiita sipakisheni imba yomunhu, vanenge vachipindamo vane zvavanoda kuongorora.
rumhandi 	DKD 	11>10 	z 		rumhandi DKD z 11>10 . mhanda 9 .
seri 	KD 	17a 	z 		seri KD z 17a . Seri idivi rakapesana nerauri, raunoita zvokusvika kwariri kazhinji wambopoterera kana kutendeuka.
sipiringi 	DKDD 	9>10 	z 		sipiringi DKDD z 9>10 . Uyu mudziyo unogadzira nesimbi kana waya, unogona kudhefa kana kutasanuka, unoshandiswa pakugadzira mibhedha nezvimwewo.
svutukesi 	KDDD 	9>10 	z 		svutukesi KDDD z 9>10 . sutukesi 9 .
rungani 	DKK 		bvunz 		rungani DKK bvunz . Rungani izwi rinoshandiswa kubvunza mubvunzo, kana munhu achida kuziva kawandiro kekuitwa kwechinhu. Kuti uzadze dhiramu nemvura unoteka rungani?
runyanhiriri 	D- 	11 	z 		runyanhiriri D- z 11 . Iyi inguva yamangwanani zuva risati rabuda.
sezvinei 	KDKD 		bat 		sezvinei KDKD bat . Iri izwi rinoshandiswa kuratidza zvimwewo zvazongoitika mushure, kazhinji zviri zvakanaka. Takasiyiwa nebhazi. Sezvinei imwewo mota ndokubva yasvika nepo.
shabhini 	DKD 	9>6 	z 		shabhini DKD z 9>6 . Shabhini pamba pomunhu panotengeserwa nokunwirwa doro zvisiri pamutemo.
swi-i 	K 		ny 		swi-i K ny . Kuti swi-i kuchema kunoita mbeva kana makonzo.
switi 	KD 		ny 		switi KD ny . Kuti switi kuwira pasi kunoita nhopi kana bota.
siri 	DK 		pr 		siri DK pr . Siri imhuka kana mbeu yerudzi rudiki, kana kuti isingakuri. Mai vakarasa mbeu yavo yenyimo siri.
siriri 	K- 	5 	z 		siriri K- z 5 . Masiriri mate matete, anoita kunge tambo yesirivha achibva mumuromo. Imbwa payakaona mabhonzo, yakatanga kubuda masiriri.
sisipenzi 	KDKD 	9>10 	z 		sisipenzi KDKD z 9>10 . Iyi imari ine mapeni mashanu. susupenzi 9, zukwa 5 .
sisitenzi 	KDDD 	1a 	z 		sisitenzi KDDD z 1a . kondakita 1a .
sitandati 	DKDD 	9 	z 		sitandati sitandadhi DKDD z 9 . Ichi chidanho chaitorwa kare navana vechikoro vepuraimari. Vanhu vazhinji vaisasvika sitandati 6 mumazuva ekare.
sitepisi 	DKDD 	5 	z 		sitepisi DKDD z 5 . Ichi chivakwa chinotsikwa navanhu vachipinda mumba kana kuti vachikwira mudenga.
shamwari 	K- 	9>10 	z 		shamwari K- z 9>10 . Shamwari munhu waunowirirana nokutamba naye.
sitichi 	DKD 	9/5>6 	z 		sitichi DKD z 9/5>6 . Sitichi inhanho imwe chete inofambiwa netsono kana uchisona.
siwiti 	DKD 	9 	z 		siwiti DKD z 9 . Siwiti kudya kunotapira kunogadzirwa neshuga yakatsindirwa kuita kagodo.
siyisiyi 	K- 	9>10 	z 		siyisiyi K- z 9>10 . Aka kashiri kadikidiki, kane pamusana pakada kuita papfumbu. chidhiidhii 9, chisiisii 7 .
sochisi 	KDD 	9>10 	z 		sochisi KDD z 9>10 . Sochisi inyama yakagaiwa inenge yaiswa zvirungwa, inopakirwa muchihomwe chakareburuka, kuita seura. soseji 9 .
sokisi 	KDD 	5 	z 		sokisi KDD z 5 . sitokononzi 5 .
rurimi 	DKK 	11 	z 		rurimi DKK z 11 . Rurimi inhengo yemuviri iri mumuromo, inogonesa munhu kuravira, kudya nekutaura. Rurimi mutauro wemunhu. Anotaura rurimi rweChiShona here kana ChiRungu.
sokorodzi 	KKKD 	5 	z 		sokorodzi KKKD z 5 . humbu 9 .
sonzi 	DK 	5 	z 		sonzi DK z 5 . svosve 5 .
sharotsi 	KDD 	9>10 	z 		sharotsi KDD z 9>10 . Sharosti rudzi rwetuhanyanisi tudiki tusingaiti mabhora makuru pasi.
shavani 	DDK 	9>10 	z 		shavani DDK z 9>10 . tsamvi 9 .
sosoori 	K- 	5 	z 		sosoori K- z 5 . Iri ibundo rinoreba, rinoita maruva akanaka, asi rine mhonzvora inoita zvinobaya.
sukunasai 	D- 	9 	z 		sukunasai D- z 9 . Uku kuita zvinhu usina hanya namabudiro azvo.
ruti 	DK 	11 	z 		ruti DK z 11 . Ruti ruruferenyurwa rwemechisi rwakavezwa rwune kamusoro kokukwenyesa moto. rumuti 11, rutanda 11 .
rutsvitsvi 	DDK 	11 	z 		rutsvitsvi DDK z 11 . Rutsvitsvi kuungana kungaita zvinhu panhu pamwe, zvakabatana. Munda une rutsvitsvi rwebundo, unonetsa kusakura.
shedhi 	KD 	9>10 	z 		shedhi KD z 9>10 . Shedhi chivakwa chinodzivirira zviri pazasi pacho kuzuva kana mvura.
