ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
kabu 	KD 		ny 		kabu KD ny . Kuti kabu kuruma nyama. Bere rakati mombe kabu pachidya. Kuti kabu kurara panze kana kuti usina chawakafuka. Kuti kabu kurara kwemunhu kana mhuka yakafa. kungunya . Kuti kabu kuzara kana kuzarisa komudziyo kana rukova. nde .
kabvau 	KKD 		ny 		kabvau KKD ny . Kuti kabvau kudambura kana kumwaura chinhu panzvimbo huru. bvaru . Kuti chinhu kabvau kuchicheka nechimwezve chinhu chakapinza. randau .
kabwada 	D- 		ny 		kabwada D- ny . Kana dumbu kana kuti saga rakati kabwada rinenge rakawira mukati, kuratidza kuti mukati hamuchina chinhu. Kuti kabwada kurara kwemunhu ashaya zano, anopisa tsitsi.
kacha 	D- 		ny 		kacha D- ny . Kuti kacha kubvuta chinhu chokudya. Kuti kacha kudya kwemunhu ane nzara, anenge achikurumidza. Kuti kacha kushamisika nezvinhu zvisingawanzoitika. Kuti kacha kukwira bhazi kana motokari. kata . Kuti kacha kutora nechisimba.
kachi 	KD 		ny 		kachi KD ny . Kuti kachi kudzipwa nemate kana chokudya chinenge chamira pahuro. Kuti kachi kubvuta chinhu chokudya. kacha . Kuti kachi kupindira munyaya yawawana ichitaurwa.
gutsu 	KD 		ny 		gutsu KD ny . Kuti gutsu kukwidza musoro kudenga nokuudzikisa kuratidza kuti uri kubvumirana nezvinotaurwa. Paitaura baba vake, mwanakomana aingoti gutsu musoro kuratidza kuti aifarira zvavaitaura.
-i 	K 		nan' 		-i K nan' . Iri idzinde rechinan'anuri chinoratidza chaicho chiri kutaurwa kana kubvunzwa. Vanhuiko ivava vanoita zvinhu zvakadai?
kachu 	DK 		ny 		kachu DK ny . Kana ukati chinhu kachu nebwe unenge wachitswanya.
kadabu 	KKD 		ny 		kadabu KKD ny . Kuti kadabu kubvisa chipandi nokuruma kana kucheka. Kuti kadabu kuchera zvine simba.
kadya 	DK 		ny 		kadya DK ny . Kuti kadya kunwa uchimedza zvinoita ruzha runotonzikwa. gadya .
gwa 	D 		ny 		gwa D ny . Kuti gwa kutema nedombo kana chimwewo chinhu. gwe .
gwa gwa gwa 	D- 		ny 		gwa gwa gwa D- ny . Kuti gwa gwa gwa kufamba zvokutsika pasi pachitinhira.
gwaba gwaba 	KD+ 		ny 		gwaba gwaba KD+ ny . Kuti gwaba gwaba kufamba zvishoma zvishoma komunhu kana mhuka isina simba mumabvi. Murwere aifamba achiti gwaba gwaba sooda kudonha.
hata hata 	KD+ 		ny 		hata hata KD+ ny . Kuti hata hata kufema uchizarirwa pamusana pokushatirwa.
hatu 	KD 		ny 		hatu KD ny . Kuti hatu kubata noruoko chinhu chiri, kana kuti choda, kutiza kana kudonha. katu . Kuti hatu kubata chinhu chinenge chakandwa mumhepo. katu .
hava 	D- 		ny 		hava D- ny . Kuti hava kupararira kwemarimi emoto uchipisa nzvimbo huru. tupwi-i .
kaha 	KD 		ny 		kaha KD ny . Kuti kaha kutaridza kushamisika nechinhu.
kahanana 	K- 		ny 		kahanana K- ny . Kuti kahanana kugangaidzika nechinhu. Kuti kahanana kuramba wakatarisisa chinhu. tsviriri .
kakaaka 	D- 		ny 		kakaaka D- ny . Kuti kakaaka kuzamura wakamira. zazanu . Kuti kakaaka kuzara kusvika kumusoro kwechinhu chakaita somugomo. Kana vanhu vakamira vakawanda mumutsetse vanenge vakati kakaaka . Madzimai anga akati kakaaka mudungwe achienda kutsime.
kakai kakai 	KKD+ 		ny 		kakai kakai KKD+ ny . Kana uchinwa uchiti kakai kakai unenge uchikurumidza, uye uchimedza zvakawanda panguva imwe chete.
gwabada gwabada 	D- 		ny 		gwabada gwabada D- ny . Kuti gwabada gwabada kufamba munhu achiita ruzha, sekwemunhu ane shangu dzakakurisa. Harahwa yaiti gwabada gwabada ichimema munda wayo.
gwabhu 	KD 		ny 		gwabhu KD ny . Kuti gwabhu kubvisa chivharo kana chigamba pachakanamatira kana kuti kupedza zvawanga uchiita. Chivharo chebhodhoro chakanzi gwabvu, shasha ndokutanga kunwa doro raive mukati. kwetsu .
gwachara 	D- 		ny 		gwachara D- ny . Kana mudziyo ukati gwachara unenge wadonha zvokuita ruzha. Akasaidzira svinga rehuni rikandoti gwachara pasi. Kuti gwachara kudonha kwemunhu kwekuneta kana kushaya simba.
gwada 	KD 		ny 		gwada KD ny . Kuti gwada kupfugama nokukasika.
gwadabu 	KKD 		ny 		gwadabu KKD ny . Kuti gwadabu kubvisa chidziviro chinorema chinenge chakadzivira pamudziyo kana pane imwe nzvimbo.
gwadara gwadara 	D- 		ny 		gwadara gwadara D- ny . Kuti gwadara gwadara kurwisana nokumuka kunoita mhuka yanga yakarara pasi.
kakanya kakanya 	KKD+ 		ny 		kakanya kakanya KKD+ ny . Kuti kakanya kakanya kufamba uchizvuva nyama dzako, sezvinoita munhu ane makumbo anorwadza kana anozvida.
kakanyu 	D- 		ny 		kakanyu D- ny . Kuti kakanyu kutwasanudza waya nokuikweva.
kakanyu 	KKD 		ny 		kakanyu KKD ny . Kuti kakanyu kudambura chinhu nemazino, sezvaungaita uchidya runda pabvupa.
kakasha 	D- 		ny 		kakasha kakasha D- ny . Kana uchibata chinhu chisina kutsetseka kana kuti tsveremete, unonzwa kuti kakasha . kwakwasha .
kakasha kakasha 	D- 		ny 		kakasha kakasha D- ny . Kuti kakasha kakasha kufamba kwemunhu kana mhuka yakaita sekamba, ichikwenga pasi zvinonzwika.
gwajata 	D- 		ny 		gwajata D- ny . Kuti gwajata kudonha kwechinhu zvine ruzha, sezvinoita svinga rehuni rajatwa pasi.
hi hi hi 	K- 		ny 		hi hi hi K- ny . Kuti hi hi hi ruzha uye kuita sokufenda kunoitwa nemunhu kana oda kumukirwa neshavi kana kubudirwa.
kakata 	D- 		ny 		kakata D- ny . Kuti kakata kuita nharo dzisingadzoreki. Kuti kakata kukwira mumuti kana chikomo. kata kata .
kakaya kakaya 	DDK+ 		ny 		kakaya kakaya DDK+ ny . Kuti kakaya kakaya kunetseka pakufamba kunoratidza kuti munhu ari kurwadziwa.
gwamu 	DK 		ny 		gwamu DK ny . Kana munhu akanzi gwamu anenge arohwa mbama yakasimba.
gwanan'wana 	KDDD 		ny 		gwanan'wana gwenen'wene KDDD ny . Kana munhu kana mhuka ichinzi yakati gwanan'wana inenge yakamuka. Unofunga kuti akakotsira iye akati gwanan'wana uyu.
gwangu 	KD 		ny 		gwangu kwangu KD ny . Kuti gwangu kuchera sezvakaita mukaka mumudziyo, uchishandisa gwaku.
hoihoi 	DDKK 		ny 		hoihoi DDKK ny . Kuti hoihoi kuunganidza n'ombe kana vanhu vazhinji panhu pamwe.
kamanya kamanya 	D- 		ny 		kamanya kamanya D- ny . Kuti kamanya kamanya kufamba nokukurumidza.
kambai kambai 	KKD+ 		ny 		kambai kambai KKD+ ny . Kuti kambai kambai kufamba nemaoko nemakumbo sezvinoita mwana mudiki.
gwanhu 	DK 		ny 		gwanhu DK ny . Kuti gwanhu kutanhaura kana kudambura, sezvakaita shizha romuriwo. Akati gwanhu shizha romuriwo ndokuripa mbudzi.
gwanzu 	DK 		ny 		gwanzu DK ny . Kana danda rikanzi gwanzu rinenge rapamurwa napakati. Kuti gwanzu kurova nembama zvakasimba. Akainzi gwanzu yamatsenganzungu mbama, mukomana akaona nyenyedzi masikati machena.
gwarada 	D- 		ny 		gwarada D- ny . kwanyanu . Kuti gwarada kurira kunoita dehwe rakaomarara.
gwaragwada 	D 		ny 		gwaragwada D ny . Kuti gwaragwada kusumuka kwemhuka inenge iri kuita dambudziko rokumuka nokuneta kana nechimwevo chikonzero.
gwaranu 	DDK 		ny 		gwaranu DDK ny . Kuti gwaranu karuzha kanoitika pakuvhura kana kuvhara mukova unenge uchigumha pasi.
iya 	KD 		nan' 		iya iye KD nan' . Ichi chinan'anuri chemipanda 9 ne10 chinoratidza kuti chinhu chiri kutaurwa chacho chakapfuura, kana kuti hachisi kuonekwa asi chinozikanwa nevatauri. Mombe iya yokutungwa kudhibha takazoiuraya.
gudu 	KD 		ny 		gudu KD ny . Kuti gudu kuvhunika kwechinhu nepakati. Akati chibage gudu, akapa mukoma wake chimwe.
gudubu gudubu 	DDK+ 		ny 		gudubu gudubu DDK+ ny . Kana munhu achiti gudubu gudubu anenge achingorovanisa midziyo inenge isina zvinhu yakaita semigomo.
gudya 	DK 		ny 		gudya gadya DK ny . Kuti gudya kumedza chinhu zvine ruzha.
gudyu 	DK 		ny 		gudyu DK ny . Kuti gudyu kumedza mvura kana chimwe chinonwiwa zvine ruzha. gadya, gatya .
gwashu 	KD 		ny 		gwashu KD ny . gwishu .
gwava 	KD 		ny 		gwava KD ny . Kuti gwava kumira uri chinhambwe kubva pamunhu waunoda kupa chikumbiro. Mushandi anogwava kana achikumbira zororo kuna sapurazi. Kuti gwava kubva panzvimbo kuenda pane imwe asi wakagara.
gwavava 	D- 		ny 		gwavava D- ny . Kuti gwavava kurara nedumbu sezvinoita dzvinyu.
j 	DK 		nzv 		j DK nzv . Iyi inzvanyira inodaidzwa ichinzi jeyi inowanikwa pakati pa i-i na keyi mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
ja 	K 		ny 		ja K ny . Kuti ja kutema uchibva wadimbura kana kusiya gomba rakadzika.
ja ja ja 	D- 		ny 		ja ja ja D- ny . Kuti ja ja ja kuvhinza kunoita mvura mumudziyo wakabooka, kana kuti denga remba risina kupfirirwa zvakanaka.
jabu jabu 	D- 		ny 		jabu jabu D- ny . Kana munhu kana mhuka ichifamba ichiti jabu jabu inenge ichifamba ichitomhuka-tomhuka.
jadu 	KD 		ny 		jadu KD ny . Kuti jadu kutema chinhu uchibva watochidimura. Kuti jadu kudonha nerutivi.
guju 	DK 		ny 		guju DK ny . Kuti guju kutomuka-tomuka mudenga, sezvinoitika kana chinhu chichifamba panzira isina kugadzirwa zvakanaka.
gwe 	K 		ny 		gwe K ny . Kuti gwe kungokaruka vanhu vasangana pasina kufungidzira. Kuti gwe kugara pamusoro pechimwe chinhu. Gudo rakanga raguta zvaro kudya chibage rikabva rati gwe kugara pamusoro pedombo raiva mumunda. Kuti gwe kutema munhu, mhuka kana mudziyo uchishandisa dombo kana chimwe chinhu.
gwebu 	KD 		ny 		gwebu KD ny . Kuti gwebu kukwatura chivharo kana dombo rakaita gwandefa kuti uone zviri pasi. Akati gwebu gwandefa ndokubva aona chinyavada.
gwede 	D- 		ny 		gwede gweje D- ny . Kuti gwede kunyatsopindana kwezvinhu zvinenge zvichibatanidzwa kunyanya simbi.
gwede 	DK 		ny 		gwede DK ny . Kuti gwede kuisa misoro pamwe chete sezvinoita hando dzava kurwa. Hando mbiri dzakandosvikoti nyanga dzadzo gwede, ndokutanga kusundana.
gwedeba gwedeba 	DDK+ 		ny 		gwedeba gwedeba DDK+ ny . gweba gweba. .
gwedebu 	KKD 		ny 		gwedebu KKD ny . Kuti gwedebu kubvisa chivharo chinenge chakavhara chimwe chinhu. Ndakati chivharo gwedebu, ndokuona mupoto muzere nyimo.
hu-un'wi 	DK 		ny 		hu-un'wi DK ny . Kuti hu-un'wi kurira kwebere.
jakawaya 	D- 		ny 		jakawaya D- ny . Kuti jakawaya kurasa-rasa midziyo kana zvimwewo zvinhu pese pese. Kana zvokudya kana zvimwewo zvinhu zvakati jakawaya zvinenge zvakawanda kwazvo. Tasiya nyama nedoro zvakangoti jakawaya kumba.
gumbu 	DK 		ny 		gumbu DK ny . Kuti gumbu kupingwa nechinhu chisingabvi pachiri.
gwedzvede gwedzvede 	DDK+ 		ny 		gwedzvede gwedzvede DDK+ ny . Kuti gwedzvede gwedzvede kufamba kwekukweva makumbo nepamusana pekuneta.
gwegwedu 	KKD 		ny 		gwegwedu gegedu KKD ny . Kuti gwegwedu kuruma pfupa kana chingwa chakaoma, sezvinoita imbwa ichidya bhonzo renyama. Kasikana kaiti gwegwedu gwegwedu masiwiti. babandu .
gwegwendere 	K- 		ny 		gwegwendere K- ny . Kuti gwengwendere kurira kunoita mudziyo wesimbi ukadonhera pasi pakaomarara. Amai vakanzwa ndiro kuti gwengwendere vakamhanyira padzaisukwa.
gweje gweje 	DK+ 		ny 		gweje gweje DK+ ny . Kuti gweje gweje ruzha runoita ngoro kana motokari inenge yasakara, kunyanya kana ichifamba pane matombo.
jandu 	DK 		ny 		jandu DK ny . Kuti jandu kutsenga chekudya chakanyorovera zvikuru.
janhi 	DK 		ny 		janhi DK ny . Kuti janhi kusvetuka uchibva pane imwe nzvimbo uchinomhara pane imwe. tomu .
gumhi 	DK 		ny 		gumhi DK ny . Kuti gumhi kufamba kunoita munhu anenge akakuvara rimwe gumbo kana kuremara.
gumu 	KD 		ny 		gumu KD ny . Kuti gumu kurovera pachinhu zvinyoronyoro. Kuti gumu kukonzera kuti zvinhu zviteuke mushure mokunge wagumha chinhu chazvinenge zviri. Kuti gumu kutanga kuita chinhu.
gwendere gwendere 	KKK DDD 		ny 		gwendere gwendere KKK DDD ny . Kuti gwendere gwendere ruzha runoitwa nemidziyo ichibonderana-bonderana.
je 	K 		ny 		je K ny . Kuti je kuvhura maziso wakatarisa chimwe chinhu.
je je je 	K- 		ny 		je je je K- ny . Kuti je je je kurira kunoita shiri kana zvimwewo zvipukanana. Kana doro kana mvura ichiti je je je inenge ichitonhora chaizvo. Kana chigero chichiti je je je chinenge chichicheka mucheka kana bepa.
ndu ndu ndu 	K- 		ny 		ndu ndu ndu K- ny . Kuti ndu ndu ndu kugara usingatauri nemunhu nekuda kwekusurikirwa.
ndugu 	KD 		ny 		ndugu KD ny . Kuti ndugu ruzha runoitika panenge pachitsemurwa dombo, pachibuda utsi.
nyapu 	KD 		ny 		nyapu KD ny . Kuti nyapu kurova zvishomanana nekashamhu kaduku katete. Kana mwana mudiki achirangwa, anongonzi nyapu zvisingarwadzi.
mwaru 	KD 		ny 		mwaru KD ny . Kuti mwaru kutsemura chinhu chakaita sebepa kana jira. bvaru .
mwau 	DK 		ny 		mwau DK ny . Kuti mwau kubvarura chinhu chakaita sehembe, wakabata nemaoko maviri.
mwe mwe mwe 	D- 		ny 		mwe mwe mwe D- ny . Uku kusekerera munhu asingaratidze mazino. mweku mweku .
mwechu 	KD 		ny 		mwechu mwachu KD ny . Kuti mwechu kubvaruka kwehembe kana jira rinongoerekana ratsemuka. Paakandidhonza zvine simba, hembe yangu yakabva yati mwechu. Kuti mwechu kunyemwerera kuya kunotyora, kunoburitsa kunaka kwese kwemunhu.
ndure ndure 	DK+ 		ny 		ndure ndure DK+ ny . Kuti ndure ndure kubuda kunoita vanhu mumba vakaita mudungwe.
nyare 	KD 		ny 		nyare KD ny . Kuti nyare kunzwa, kunetsekana mupfungwa kunoita munhu achinge aita zvisina kukodzera. Mukuwasha akati nyare ataura shoko rinonyadzisira pana ambuya.
nyasa 	D- 		ny 		nyasa D- ny . Kuti nyasa kupfava kungaita chinhu changa chakaomarara, kana kuti change chiine ukasha.
mwengu 	KD 		ny 		mwengu KD ny . Kuti mwengu kunyemwerera zvisingaende kure. Kuti mwengu kutaura manyepo.
mwenyu 	KD 		ny 		mwenyu KD ny . Kuti mwenyu kusekerera kunoita vana vacheche kana vaakurezveka.
ndwi 	D- 		ny 		ndwi D- ny . Kuti ndwi kubatanidzwa kunenge kwakaitwa zvinhu zvakaita sembesa pakurima, yozotadza kunyatsokura.
ndyandya ndyandya 	DK+ 		ny 		ndyandya ndyandya DK+ ny . Kuti ndyandya ndyandya kumhanya kunoita mhuka ine mahwanda makuru, ichiita mutsindo.
ndyarara 	K- 		ny 		ndyarara K- ny . Kuti ndyarara kufamba kwevanhu vakaita mudungwe.
njadagu 	KKD 		ny 		njadagu KKD ny . Kuti njadagu kudonha nemanhede, wobva warovera nomusoro nomusana. gaga .
njanda 	D- 		ny 		njanda D- ny itik . Kuti njanda kudonha kwemunhu anenge asina simba. mvucha .
mweu 	DK 		ny 		mweu DK ny . Kana hembe ikati mweu inenge yabvaruka sezvainoita kana ikabatwa newaya. Pandaibuda muchovhamubaiwa iya, bhurukwa rangu rakakakatwa nechipikiri pamusuo, rikabva rati mweu.
mwi-i 	K 		ny 		mwi-i K ny . mwiro .
mwiro 	KD 		ny 		mwiro KD ny . Kuti mwiro kunyarara zviya zvekusambotaura kana kuita karuzha kanonzikwa. mwi-i .
ndyu ndyu ndyu 	K- 		ny 		ndyu ndyu ndyu K- ny . Kuti ndyu ndyu ndyu mamhanyiro anoita bhiza richiita mutsindo.
neka neka 	KD KD 		ny 		neka neka KD KD ny . Kuti neka neka kuita bishi rokuita chimwe chinhu vanu vachishandira pamwe. nekai .
nekeshe 	D- 		ny 		nekeshe D- ny . Kuti nekeshe kuneta kungaite munhu ashanda zvikuru uyezve achinzwa nzara.
nekete 	D- 		ny 		nekete D- ny . Kuti nekete kunzwa usisina simba mumuviri mako musure mokunge wamboshanda zvine simba.
njanjandara 	K- 		ny 		njanjandara K- ny it . Kuti njanjandara kudonha kwemunhu achizoita senge afa. Kuti njanjandara kurambisisa kuita zvaunenge uchitaurirwa. kan'a .
n 	KD 		nzv 		n KD nzv . Iyi inzvanyira inodaidzwa ichinzi eni , inowanikwa pakati pa emu na o-o mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
n'a 	K 		ny 		n'a K ny . Kuti n'a kuruma kwekungoti danzurei kana kuti rumei padikidiki.
n'abu 	KD 		ny 		n'abu KD ny . Kuti n'abu kuruma chidimbu chechinhu chakaita senyama. n'abvu .
n'au 	KD 		ny 		n'au KD ny . Kuti n'au kuruma kunoita mhuka nyama.
neku neku 	KD+ 		ny 		neku neku KD+ ny . Kuti neku neku kufamba uchiti ukaenda uko wodzoka zvisina kana nechinangwa chose.
nenga 	KD 		ny 		nenga KD ny . Kuti nenga kuva pamusorosoro pechimwe chinhu. Gondo rakanga rakati nenga pamusoro pebazi rakaoma.
nengeshu 	KKD 		ny 		nengeshu KKD ny . Kuti nengeshu kupwanya chinhu chakaita sehari, kusvika chaita mabandi mabandi.
nje 	K 		ny 		nje K ny . Kuti nje kurova paunenge uchida chaipo, uchishandisa chibhakera kana chombo.
nje nje nje 	D- 		ny 		nje nje nje D- ny . Kuti nje nje nje kuva nemavara akawanda, sezvakaita mbada. Kuti nje nje nje kubvunda nechando kana nekutya. Kuti nje nje nje kupenya zvishoma sezvinoita, zuva richingobuda.
njengu 	KD 		ny 		njengu KD ny . Kuti njengu kurova munhu neshamhu yakakora, asi uchinyanya kurova musoro.
nhenga nhenga 	KD+ 		ny 		nhenga nhenga KD+ ny . Kuti nhenga nhenga kufamba zvisina kuti twasu, uchiti ukaenda divi iri wodzoka. Kana usina kushinga haungafambi pamudengade, nekuti unenge uchiti nhenga nhenga.
n'azhu 	KD 		ny 		n'azhu KD ny . Kuti n'azhu kutsenga zvinonzwika. n'an'azhu, gazhu . Kuti n'azhu kuruma mazino achipinda munyama asi usingadamburi.
n'e-e 	K 		ny 		n'e-e K ny . Kuti n'e-e kuchema kunoita mwana mucheche.
n'en'edu 	DDK 		ny 		n'en'edu DDK ny . Kuti n'en'edu kutsenga chinhu chakaomarara. gegedu .
nengesvu 	KKD 		ny 		nengesvu KKD ny . Kuti nengesvu kudzokera kumashure zvishoma womira, washamiswa kana kuti watyiswa nechimwewo chinhu. Paakaona chinhu chainge nyoka chiri mugwenzi, akati nengesvu, ndokunatsobokorera ari seapo.
nete 	D- 		ny 		nete D- ny . Kuti nete kunzwa muviri uchishaya simba pamusana penzara, dambudziko kana kurwara.
naku 	KD 		ny 		naku KD ny . Kuti naku kushandisa chimuti kana chimwe chinhu, kubvisa chimwewo chinhu pachinenge chiri, nekukasika.
ngabu 	KD 		ny 		ngabu KD ny . Kunzi ngabu kutemwa nedombo mumusoro.
njodogo 	KKD 		ny 		njodogo KKD ny . Kuti njodogo kurova munhu nechibhakera kumeso, pachifuva kana pambabvi.
njokoto 	D- 		ny 		njokoto D- ny . Kuti midziyo njokoto kuikanda pasi zvisina hanya, yosara yakangopararira pasi. Ndiro nezvipunu zvakanzi njokoto mumba yokubikira.
nhi 	K 		ny 		nhi K ny . Kuti nhi kubata munhu kana mhuka nepahuro.
name 	D- 		ny 		name D- ny . Kuti name kuita kuti chimwe chinhu chibatane nechimwe. Kuti name kutevera munhu kana mhuka uri pedo pedo nayo. Kuti name kuvako kwemvura inonaya yakawanda. Pandakaona mvura yati name kumakomo, ndakaziva kuti zvakange zvisisaiti kuti ndiyanike mumera paruware.
namu 	DK 		ny 		namu DK ny . Kuti namu kutora chinhu uchikasira chaizvo. Paakati namu musuva wesadza wanga wasara, akabva asimuka ondogeza maoko.
nan'anan'a 	K- 		ny 		nan'anan'a K- ny . Kuti nan'anan'a nechinhi kusada kuchisiya, uchiramba uchifunga kuti maonere aunoita zvinhu ndiwo chete akanaka. Nyaya yako yekuramba wakati nan'anan'a nezvemari yangu, ini uirege nekuti ndinozvisevenzera. Kana uchiramba wakati nan'anan'a nemunhu unenge wakamumaka usingadi zvekusiyana naye uchingoita basa rekumutsvagira mhosva. Zvaunoramba wakati nan'anan'a nemukadzi wemunhu asi une chakakugara nhai mwanangu?
nanava nanava 	KKD+ 		ny 		nanava nanava KKD+ ny . Kuti nanava nanava kufamba kwemunhu anorwara kana akaneta. Kuti nanava nanava kufamba wakangonyara nyara, semunhu anorwara asina simba. nava nava .
ngarara 	D- 		ny 		ngarara D- ny . Kuti ngarara kunyangara kunenge kwakaita zvinhu, zvakakandwa pese pese.
ngarengare 	KDKD 		ny 		ngarengare KDKD ny . Kuti ngarengare kumhanyisa-mhanyisa kunoita munhu meso, zvekuti unenge uchingoona ziso kuti vaivai.
njororo 	K- 		ny 		njororo K- ny . Kuti njororo kuchururuka zvishoma zvishoma kunoita mvura kana muto. Mvura yaiti njororo kubva mugaba nepaburi rakaboorwa nengura.
nho-o 	D- 		ny 		nho-o D- ny . Kuti nho-o kudzima kwemoto.
nanazi nanazi 	DDK+ 		ny 		nanazi nanazi DDK+ ny . Kuti nanazi nanazi kufamba zvishomashoma seusingadi.
-nangura 	D 		ny 		-nangura D ny it . Ku nangura kutorera kana kubvutira munhu chaanenge akabata.
nanu 	KD 		ny 		nanu KD ny . Kuti nanu kubvisa hembe pawaya, kana chimwewo chinhu pachinenge chakayanikwa.
ngende 	K- 		ny 		ngende K- ny . Kana bhera rikati ngende rinenge raridzwa kamwe chete.
ngi ngi ngi 	K- 		ny 		ngi ngi ngi K- ny . Kuti ngi ngi ngi kusunga zvakasimba.
ngindi ngindi 	KD+ 		ny 		ngindi ngindi KD+ ny . Kana ngoma ichirira inenge ichiti ngindi ngindi .
ngiriri ngiriri 	K- 		ny 		ngiriri ngiriri K- ny . Kuti ngiriri ngiriri ruzha runoitiwa nefoni painenge ichirira isati yadavidzwa. ngururu ngururu .
nava nava 	KD+ 		ny 		nava nava KD+ ny . Kuti nava nava kungoneta-neta kwemunhu ane nyaya, kana munhu ane zvaanenge akapara.
ndadzu 	D- 		ny 		ndadzu D- ny . Kuti ndadzu kutenderera kunoita maziso zvishoma nezvishoma, sezvinowanzoita munhu afenda kana ava kuda kufa.
ngomhu 	KD 		ny 		ngomhu KD ny . Kuti ngomhu kukotama wakaisa musoro mberi.
ngondi ngondi 	KD+ 		ny 		ngondi ngondi KD+ ny . Kuti ngondi ngondi kufamba zvishoma zvishoma, musana wakakombamiswa.
ngondo 	D- 		ny 		ngondo D- ny . Kuti ngondo kudonha kwechinhu chakakura chichienda kumawere kana kuti, chichibva pakakwirira.
nunuva nunuva 	KKD+ 		ny 		nunuva nunuva KKD+ ny . Kuti nunuva nunuva kufamba zvinyoronyoro, munhu achiita saanoteta kutsika pasi. Akafamba achiti nunuva nunuva paakapfeka bhutsu itsva. komba komba .
nwada nwada 	KD+ 		ny 		nwada nwada KD+ ny . Kuti nwada nwada kufamba munhu achizvidhonza, achitsika pasi nezvigunwe chete.
nhonho-o 	KD 		ny 		nhonho-o KD ny . Kuti nhonho-o kutonhora kwechikafu kana kutonhorera kwemamirire ekunze.
nhonhowa nhonhowa 	KKD+ 		ny 		nhonhowa nhonhowa KKD+ ny . Kuti nhonhowa nhonhowa kufamba uchitsika uchiteta semunhu ane maronda pasi petsoka.
ndana ndana 	KD+ 		ny 		ndana ndana KD+ ny . Kuti ndana ndana kufamba makumbo akanyatsotswasanurwa, uye ari kure nakure. tanya tanya . Kuti ndana ndana kufamba sechana chiduku, uchizvitsigisa kuti urege kudonha. tanya tanya .
ngube 	KD 		ny 		ngube KD ny . Kuti ngube kupinda panhu nekuchimbidza.
ngunduru 	K- 		ny 		ngunduru K- ny . Kuti ngunduru kurira kunoita mudziyo wesimbi kana wadonha.
nyachara nyachara 	D- 		ny 		nyachara nyachara D- ny . Kuti nyachara nyachara kufamba munhu uchiridza tsoka kana zvigaba.
nyadu 	KD 		ny 		nyadu KD ny . Kuti nyadu kucheka kana kupara ganda zvishomanene. Kana nyora dzichitemwa dzinongonzi nyadu, pozorwa mushonga.
nyadzu 	D- 		ny 		nyadzu D- ny . Kuti nyadzu kusumudza zvinorema. Akati zigate ramasvusvu nyadzu, ndokutiza naro.
nde 	K 		ny 		nde K ny . Kuti nde kupa mumwe munhu zvaunenge wakabata mumaoko. Akabva anzi nde mari yake yaaipopotera.
nguru nguru 	D- 		ny 		nguru nguru ngara ngara, nguri nguri D- ny . Kuti nguru nguru kufambisa maziso kunoita munhu anenge ari kunyara zvaaita. Akati maziso nguru nguru, paakanzi ndiye aba nyama. Kuti nguru nguru kuchukucha bhodhoro rine mvura kuti richene.
ngurungundu 	D- 		ny 		ngurungundu D- ny . Kuti ngurungundu kurira kunoita mudenga kana kuchinaya mvura ina mabhanan'ana, kana kuomba kunoita mhuka sokuti imbwa kana yatsamwa sezvingaita imbwa.
nyakata 	D- 		ny 		nyakata D- ny . Kuti nyakata kunyorova nemvura. Akanayiwa nhumbi dzikasara dzati nyakata. Kuti nyakata kunyungudika kwechinhu mumvura inopisa kana muzuva.
ndendende 	K- 		ny 		ndendende K- ny . Kuti ndendende kusunga zvakasimba chaizvo. Kuti ndendende kugadzikana mupfungwa nemunyama kwemunhu anga achimbonetseka kana kurwara.
ndenge ndenge 	D- 		ny 		ndenge ndenge D- ny . Kuti ndenge ndenge kuzungunuka kunenge kuchiita pasi kana kuti nyika, zvichikonzerwa nokusagadzikana kwayo.
ndengende 	D- 		ny 		ndengende D- ny . Kuti ndengende kuzunguzika zvine simba, sezvinoita ivhu kana pasi kana nyika isina kugadzikana. Mahwindo edzimba akati ndengende pakatanga kudengenyeka kwenyika.
ndengu ndengu 	D- 		ny 		ndengu ndengu D- ny . Kuti ndengu ndengu kuhuta kunoita abatwa nechando kana avhundutswa.
nguyu nguyu 	DK+ 		ny 		nguyu nguyu DK+ ny . Kana mubato wemudziyo uchiti nguyu nguyu unenge uchifamba- famba usina kubatira zvakasimba. Kuti nguyu nguyu kutsenga kunoita munhu asina mazino mumukanwa. -nguya -nguya .
ngwachara 	D- 		ny 		ngwachara D- ny . Kuti ngwachara ruzha rwunoitwa nesvinga rehuni rinenge risina kusungwa zvakasimba, parinorovera pasi rajatwa. ngwachata .
ngwachata 	D- 		ny 		ngwachata D- ny . Kuti ngwachata kudonha kwemhuka kana munhu asisina simba mumuviri wose. mvucha . Kuti ngwachata ruzha runoitwa netsanga dzakaoma dzinenge dzawira pasi.
ngwandangwanda 	D- 		ny 		ngwandangwanda D- ny . Kuti ngwandangwanda kuzara kwemidziyo kana zvifambiso pese pese. Ndakawana macheya netafura zvakati ngwandangwanda mumba, mushure mokunge varidzi veimba vapedza kurwa.
ndi 	D 		ny 		ndi D ny . Kuti ndi kubata zvakasimba chaizvo.
