aini 	KDD 	9>10 	z 		aini KDD z 9>10 . Aini isimbi yokuchisisa mbatya inodziyiswa uchishandisa maratya kana magetsi. Hembe dzinoita mupono kana ukadzichisa neaini.
nhanga 	DK 	9>10 	z 		nhanga DK z 9>10 . Nhanga imba inorara vasikana vasati varoorwa. ANTONYMS gota 5. Nhanga inzvimbo inokamirwa mombe, uye padzinofurira nokuzororera. Nhanga inzvimbo inowanzoendwa nevavhimi, kana kuti inowanza kunotorwa zvekudya zvakaita semuchero. Nhanga inzvimbo yakakurwa, yakakomberedza imba. chivanzi 7 .
nhanganyaya 	KKDK 	9>10 	z 		nhanganyaya KKDK z 9>10 . Aya mashoko ekutanga panenge pachitaurwa nyaya, kana kuti anoiswa kokutanga kwebhuku kana chimwewo chinyorwa.
nhangatare 	DDKD 	9>10 	z 		nhangatare DDKD z 9>10 . Iri ipfumo rakagadzirwa nesimbi chete.
nhango 	D- 	9>10 	z 		nhango nhengo D- z 9>10 . Nhango chidimbu chidiki chenyama yakabikwa. Ndapihwa nhango mbiri chete dzenyama dzekudyisa sadza. nhindi 9 . Nhango mashoko okuraya nokurayira asi usingatuki munhu. Nhango rudzi rwenhetembo dzokurayira kana kudzidzisa nekutsoropodza, asi dzinotaurwa senyaya. Pasichigare nhango dzaitaurwa pamatare.
nhanyararo 	KKKD 	9>10 	z 		nhanyararo KKKD z 9>10 . Iyi inzvimbo iri pakati pamakumbo kana munhu akaparadzanisa makumbo ake.
nhapamukanwa 	KKKDD 	9>10 	z 		nhapamukanwa KKKDD z 9>10 . Uyu munhu anotaura mashoko akaipa, achidenha vamwe. mutatapure 1 .
nhapata 	D- 	9>10 	z 		nhapata D- z 9>10 . Nhapata rudzi rweshiri inogara pedyo nerwizi. gururwizi 5 .
nhapi 	K- 	9>10 	z 		nhapi K- z 9>10 . dapi 5 .
nhapwa 	KD 	9>10 	z 		nhapwa KD z 9>10 . Nhapwa munhu anochengetwa nekushandiswa nemumwe munhu semubatwa.
nhara 	D- 	9>10 	z 		nhara D- z 9>10 . nharara 9 .
nharanganwa 	K- 	9>10 	z 		nharanganwa K- z 9>10 . Uyu muguri wechibage, une tsanga dzakati imwe apo imwe apo, dzisina kuti tsvete. nharangwa 9 .
nharaunda 	K- 	9>10 	z 		nharaunda K- z 9>10 . Iyi inzvimbo kana kuti dunhu.
nharavanze 	DDKD 	9>10 	z 		nharavanze nharavazhe DDKD z 9>10 . Iyi nzvimbo yakasakurwa ikatsvairwa, kazhinji inenge yakatenderedza dzimba pamusha. ruvanze 11, ruvazhe 11 .
nhare 	D- 	9>10 	z 		nhare D- z 9>10 . Nhare inzvimbo inokwanisika kuti vanhu vahwande kubva kuvavengi, kana kuti mhuka dzihwande vavhimi.
nharira 	D- 	9>10 	z 		nharira D- z 9>10 . shaveshave 5 .
nharire 	DKD 	9>10 	z 		nharire DKD z 9>10 . Nharire pamusorosoro penzvimbo yakakwirira. nharirire .
nharo 	D- 	9>10 	z 		nharo D- z 9>10 . Nharo kuramba kana kupikisa zvinenge zvarehwa nevamwe.
nhaurirano 	D- 	9>10 	z 		nhaurirano D- z 9>10 . Iyi ihurukuro inoitwa nevanhu vachipindurana kana kukurukurirana.
nhauro 	D- 	9>10 	z 		nhauro D- z 9>10 . Nhauro inyaya inotaurwa kuvazhinji pachena.
nhaurwa 	DKD 	9>10 	z 		nhaurwa DKD z 9>10 . Uyu musoro wenyaya iri mudariro.
nhava 	D- 	9>10 	z 		nhava D- z 9>10 . Nhava kabhegi kanorukwa nemakavi akasukutwa nekukoswa, kanochengeterwa hove kana mbuva.
nhavatava 	D- 	9>10 	z 		nhavatava D- z 9>10 . Uyu munhu asina chivimbo maari nekuti maitiro ake haana chokwadi nawo. ngarara 9, tsotsi 9, gube 9 .
nhekwe 	D- 	9>10 	z 		nhekwe D- z 9>10 . Nhekwe katende kanochengeterwa fodya yemumhuno.
nhema 	KD 	9>10 	z 		nhema KD z 9>10 . Urwu rudzi rwenhuka inomhanya zvikuru uye ine nyanga imwe pahuma. chipembere 7 .
nhembe 	DK 	9>10 	z 		nhembe DK z 9>10 . Nhembe chipfeko chematehwe chaipfekwa nevakuru vedu vakare. Nhembe izita rave kushandiswa kureva hembe kana chese chese chingangopfekwa kuti munhu asimire.
nhemeramuvhu 	KKKDK 	9>10 	z 		nhemeramuvhu KKKDK z 9>10 . Uyu munhu ane tsika yekukanya vamwe achikanganisa zvavanenge vachiita muchihwande.
nhena 	D- 	9>10 	z 		nhena D- z 9>10 . Nhena munhu achiri mudiki, ane chimiro chinoyemurika kwazvo.
nhenderekedzi 	KKKKD 	9>10 	z 		nhenderekedzi KKKKD z 9>10 . tenderekedzi 5 .
nhenderekwa 	KKDK 	9>10 	z 		nhenderekwa KKDK z 9>10 . Uyu munhu anofamba achiti, pano wagara, pano wagara, senzira yake yokurarama. Vanamandionerepi ndivo nhenderekwa. -tendereka .
nhendo 	D- 	9>10 	z 		nhendo D- z 9>10 . Nhendo mupiro wekutenda, unoitirwa vadzimu kazhinji.
nhendyana 	KDK 	9>10 	z 		nhendyana KDK z 9>10 . Nhendyana kamhuru kachangozvarwa. nhenjana .
nhengeni 	KKD 	9>10 	z 		nhengeni KKD z 9>10 . Nhengeni muchero unoberekwa nemuti unonzi munhengeni, unotsvuka kana waibva.
nhengure 	DKD 	9>10 	z 		nhengure DKD z 9>10 . Nhengure rudzi rweshiri nhema, inogadzira dendere rayo pamhandi yemiti.
nhenjana 	DDK 	9>10 	z 		nhenjana DDK z 9>10 . nhendyana 9 .
nhenzvana 	KDK 	9>10 	z 		nhenzvana nzvenzvana, nzvanzvana KDK z 9>10 . Nhenzvana mwana wezvipuka zvinozvera pasi nematumbu, zvakaita senyoka.
nhepfenyuro 	D- 	9>10 	z 		nhepfenyuro D- z 9>10 . Iyi imba inobva mashoko anouya kumaredhiyo kana materevhizheni evanhu nemumhepo.
nhere 	K- 	9>10 	z 		nhere K- z 9>10 . Nhere inhumbi yevarume yemukati. Nhere izwi rinoshandiswa kureva nhengo yevarume inoita basa rekusika rudzi.
nherera 	D- 	9>10 	z 		nherera D- z 9>10 . Nherera mwana akafirwa naamai nababa.
nhetamurari 	DDDKK 	9>10 	z 		nhetamurari DDDKK z 9>10 . Uyu munhu anorwara, ane ropa shoma, uye anotodziya moto kuti anzwe kudziyirwa.
nhetembedzo 	KKKD 	9>10 	z 		nhetembedzo KKKD z 9>10 . nhetembo 9 .
nhevana 	KDK 	9>10 	z 		nhevana KDK z 9>10 . Nhevana muti kana ruva diki rinenge richiri kuda zvokuchengetedzwa kuti rikure zvakanaka.
nhevedzamutundo 	D- 	9>10 	z 		nhevedzamutundo D- z 9>10 . Uwu tumitaro tunowanikwa pazvidya kana tsapfu dzemunhukadzi.
nhevedzeri 	D- 	9>10 	z 		nhevedzeri D- z 9>10 . nhevedzi 9 .
nhevedzerwa 	DKKD 	9>10 	z 		nhevedzerwa DKKD z 9>10 . Aya maitiro ekungoda kuti zvese zvaitwa nevamwe iwe wotevedzera.
nhevedzi 	D- 	9>10 	z 		nhevedzi D- z 9>10 . Nhevedzi mwana waamai vako akazvarwa kumashure kwako. mutevedzeri 9 .
nheveravauya 	D- 	9>10 	z 		nheveravauya D- z 9>10 . Iri igava rine musana mutema. hungubwe 9, manyene 6 .
nheya 	KD 	9>10 	z 		nheya KD z 9>10 . Nheya idanda kana simbi inogona kukuvadza, sezvakaita banga rakapinza kana rikabatwa zvisina ungwaru.
nheyo 	K- 	9>10 	z 		nheyo K- z 9>10 . Nheyo matombo nezvitinha zvinoiswa pasi pehozi kana imwewo imba, yochizotanga kuvakwa manje. Nheyo idombo rinotsigira mwamba. Nheyo imbambo dzinotsigisa tende pamunoidzika.
nhibvitibvi 	DKDK 	9>10 	z 		nhibvitibvi nhibvutibvu DKDK z 9>10 . Ichi chirimwa kana muchero unenge wakanyorovera zvokuti, kana ukabata namaoko, maoko anonyura mauri.
nhikiti 	K- 	9>10 	z 		nhikiti K- z 9>10 . mhodzi 9 .
nhimbe 	KD 	9>10 	z 		nhimbe KD z 9>10 . Nhimbe rudzi rwedoro rinonwiwa navanhu vemumusha, pavanenge vachibatsirana kuita basa pamba kana mumunda wemunhu anenge abika doro iri. humwe 14 .
nhimbetimbe 	KDKD 	9>10 	z 		nhimbetimbe KDKD z 9>10 . Uku kungotimba asi zvisina urongwa hunoonekera kuti uri kutimbirei, uye wakananga kupi.
nhimbu 	KD 	9>10 	z 		nhimbu KD z 9>10 . Nhimbu inzira yekudimbudzira kusvika kune imwe nzvimbo. Nhimbu maitiro ekuti kana uchiita chinhu haudi kutevedza matanho ese anenge achitarisirwa, nokuti unenge uchida kuchimbidza kupedza.
nhimburo 	KKD 	9>10 	z 		nhimburo KKD z 9>10 . Nhimburo chitutu chezvitanda kana matombo chinenge chiri padivi penzira, chinoti apfuura anokanda kabwe kana kamuti, kuti asawirwa nenjodzi parwendo rwake. chihambakwe 7, hambakwe 9 .
nhindi 	D- 	9>10 	z 		nhindi D- z 9>10 . Nhindi chidimbu chenyama. nhango 9 .
nhinga 	D- 	9>10 	z 		nhinga D- z 9>10 . Nhinga rudzi rwembeva inodyiwa.
nhinhe 	DK 	9>10 	z 		nhinhe DK z 9>10 . nhinhi 9 .
nhinhi 	DK 	9>10 	z 		nhinhi DK z 9>10 . Nhinhi inyemba inonetsa kuibva kwayo kana ukabika mutakura. Nhinhi munhu asingachatyi shamhu nekuda kwekugara achingorohwa. Nhinhi munhu asingateereri zvokuti, chero ukarova, hazvimbobatsiri pakuti haachinji maitiro ake.
nhinhinhi 	DKD 	9>10 	z 		nhinhinhi DKD z 9>10 . nhinhi9 .
nhire 	DK 	9>10 	z 		nhire DK z 9>10 . Nhire kamhuka kakaenzana netsuro, kane makumbo emberi mapfupi, kanofamba usiku kachisvetuka uye kanogara mumwena. gwete 5, gwizhu 5 . nhinhi 9 .
nhiriri 	D- 	9>10 	z 		nhiriri D- z 9>10 . Nhiriri ikiti yemudondo inofamba usiku ichidya makonzo, mbeva, shiri nehuku. bonga 5 .
nhiura 	D- 	9>10 	z 		nhiura D- z 9>10 . Nhiura idhiramhu rakakura.
nhivi 	D- 	9>10 	z 		nhivi D- z 9>10 . rutivi 11 .
nhiyana 	K- 	9>10 	z 		nhiyana K- z 9>10 . nhiyo 9 .
nhiyo 	KD 	9>10 	z 		nhiyo KD z 9>10 . Nhiyo mwana wehuku. hukwana 9, chitiyo 7, nhiyana 9 .
nhochairwa 	KKDK 	9>10 	z 		nhochairwa KKDK z 9>10 . Uyu munhu murombo anowanzogara oga akasurikirwa.
nhodo 	KD 	9>10 	z 		nhodo KD z 9>10 . Nhodo mutambo wavana vadiki, wokukanda kadombo mudenga, woburitsa kana kudzosera tumwe tunenge turi mugomba usati wagamha kawakanda mudenga. Tiri kutamba nhodo dzamhamu teni nhasi. Nhodo tumatombo kana tumhodzi tunoshandiswa kutamba mutambo wevana unonziwo nhodo. Kana uchitamba nhodo dombo raunokanda mudenga rinonzi mudodo, asi matombo anenge ari mugomba anonzi nhodo.
nhohwa 	DK 	9>10 	z 		nhohwa DK z 9>10 . Nhohwa mwana wetsuro.
nhokodorwa 	KKDK 	9>10 	z 		nhokodorwa KKDK z 9>10 . Idzi itsenza diki dzinocherwa pamwe chete netsenza huru dzinenge dzaibva.
nhokotera 	D- 	9>10 	z 		nhokotera D- z 9>10 . Uyu mukadzi anenge akasimba uye akanyatsoumbwa,zvokuti varume vakawanda vanenge vachimuchiva.
nhombo 	DK 	9>10 	z 		nhombo DK z 9>10 . Nhombo chitombo chidiki chakatenderera, chinoshandiswa pamabasa akaita sokukuya fodya, kutsvenenzvera hari dzevhu, nokugadzira pasi pemba kuti patsetseke. Nhombo munhu asina chaainacho, anongogara upenyu hwokutambudzika. murombo 1 .
nhomi 	K- 	9>10 	z 		nhomi K- z 9>10 . mbavha 9 .
nhomu 	K- 	9>10 	z 		nhomu K- z 9>10 . Nhomu munda mutsva unenge waita zvokutimbwa nemapadza, mbeu dzisati dzadyarwa.
nhonda 	D- 	9>10 	z 		nhonda D- z 9>10 . Nhonda inyoka ine ruvara rwakatsvukuruka.
nhondo 	D- 	9>10 	z 		nhondo D- z 9>10 . Nhondo| imbeu yemuriwo kana miti, inotanga yamera yakawanda, yozoti yosimwa. nesi 10 . Nhondo kurova maoko kunoitwa nevarume semucherechedzo wekuremekedza mambo. manja 6 .
nhongonya 	D- 	9>10 	z 		nhongonya D- z 9>10 . Nhongonya pakati pomusoro panotamba-tamba kana munhu achiri mucheche. Nhongonya inzvimbo iri pamusorosoro pemuti kana gomo. nhengenya 9 .
nhongotowa 	KKDK 	9>10 	z 		nhongotowa KKDK z 9>10 . Urwu rudzi rwemakonye anowanikwa mumuti unonzi mutongotowa.
nhongwa 	KD 	9>10 	z 		nhongwa KD z 9>10 . Nhongwa inhema kana mhosva yaunopomera munhu iye asina zvaakamboita.
nhonho 	K- 	9>10 	z 		nhonho K- z 9>10 . Nhonho marwadzo anoita mutsoka, anoita kuti munhu atadze kunyatsotsika pakufamba. Nhonho mukova weburi remwena wemajuru.
nhonhongora 	KKDK 	9>10 	z 		nhonhongora KKDK z 9>10 . Ichi chipembenene chakafanana nenyuchi asi icho chisingarumi, chinogara mumiti.
nhonje 	DK 	9>10 	z 		nhonje DK z 9>10 . Nhonje muto wedobwe.
nhoo 	K- 	9>10 	z 		nhoo nhovo K- z 9>10 . Nhoo idehwe rinowaridzwa pasi sorukukwe, rogarirwa kana kurarirwa. Nhoo mudziyo kana chombo chaishandiswa kare muhondo kudzivirira mapfumo.
nhope 	D- 	9>10 	z 		nhope D- z 9>10 . Nhope madhaka akawanda panzvimbo imwe chete.
nhopi 	DK 	9>10 	z 		nhopi DK z 9>10 . Nhopi kudya kwakagadzirwa nenhanga kana shamba rakatsetswa, ropwanywa nekuiswa dovi nemunyu.
nhopora 	D- 	9>10 	z 		nhopora D- z 9>10 . Nhopora izwi rinoshandiswa kureva chero ipi zvayo shiri ine tsika yokuteta mbeu dzinenge dzadyarwa pasi, dzava kumera. Zvikwari ndizvo nhopora dzanetsa kumunda kwedu.
nhopotopo 	D- 	9>10 	z 		nhopotopo D- z 9>10 . Ichi ndechokudya chero chipi zvacho chinotapirisa. Uchi inhopotopo chaiyo.
nhorido 	DKD 	9>10 	z 		nhorido DKD z 9>10 . Nhorido munhu ane unyanzvi hwekurondedzera zvinhu.
nhorido 	KKD 	9>10 	z 		nhorido KKD z 9>10 . Nhorido ndezvekudya zvakaita semamengo, tsenza nezvimwewo zvisingadyirwi kuguta, asi zvinodyiwa chero nguva ipi zvayo.
nhorimbo 	D- 	9>10 	z 		nhorimbo D- z 9>10 . Nhorimbo ungwaru nepfungwa dzoudzamu dzapasichigare, kazhinji dzinenge dzava kubuda nomuzvinyorwa.
nhoro 	DK 	9>10 	z 		nhoro DK z 9>10 . Nhoro rudzi rwemhuka inogara musango ine mukono unoita nyanga dzakareba, dzakamonyoroka, asi hadzi yacho isingaite nyanga. nzirawa 9, mukwende 3 .
nhoroondo 	D- 	9>10 	z 		nhoroondo D- z 9>10 . Uku kutaura zvose zvinenge zvakaitika pamusoro pechimwe chinhu. rondedzero 9 .
nhorwa 	KD 	9>10 	z 		nhorwa KD z 9>10 . mbuva 9 .
nhosvo 	DK 	9>10 	z 		nhosvo DK z 9>10 . Nhosvo mwenje inoteya maziso, kana kuti ruvheneko rwezuva runoteya maziso. Kana munhu aine nhosvo anenge asingagone kunanga, achipotsa kana pane chaanenge achida kutema. Ukaita nhosvo mubhora, unobudiswa mutimu.
nhotamazwi 	KKDK 	9>10 	z 		nhotamazwi KKDK z 9>10 . Uyu munhu anoteerera zvinenge zvichitaurwa nevamwe vanhu, kuti azonoudza vanenge vamutuma.
nhoto 	KK 	9>10 	z 		nhoto KK z 9>10 . Nhoto unyanzvi hunopikisa zvinotaurwa nevamwe vanhu, nokuvaita kuti vabvume zvauri kutaura.
nhototo 	K- 	9>10 	z 		nhototo K- z 9>10 . chitota 7 .
nhova 	DK 	9>10 	z 		nhova DK z 9>10 . Nhova pakati pemusoro wemwana mucheche, panorova-rova pakurova kunoita hana. dziva 5, nhubvunya 9 .
nhowetowe 	DKDD 	9>10 	z 		nhowetowe DKDD z 9>10 . Iyi ishiri chena ine makumbo marefu.
nhubu 	KD 	9>10 	z 		nhubu KD z 9>10 . Nhubu munhu ane mabasa akaipa, anokonzera ruvengo pakati pevanhu. mharadzi 9 .
nhukusa 	D- 	9>10 	z 		nhukusa D- z 9>10 . nhuta 9 .
nhukwara 	DKK 	9>10 	z 		nhukwara DKK z 9>10 . nhokwara 9 .
nhumba 	D- 	9>10 	z 		nhumba D- z 9>10 . dumba 5 .
nhumba 	K- 	9>10 	z 		nhumba K- z 9>10 . Nhumba ingoma refu ine pamusoro payo panoridzwa padiki. Nhumba imba inogara ishe, isingabikirwi chikafu. nyanga 9 .
nhumbana 	DK 	9>10 	z 		nhumbana DK z 9>10 . Nhumbana ishaveshave richiri kukura riri pamusoro pevhu.
nhumbanimba 	K- 	9>10 	z 		nhumbanimba K- z 9>10 . Uyu munhu kana mhuka ine muviri mukuru, uye yakakora.
nhumbi 	DK 	9>10 	z 		nhumbi DK z 9>10 . Nhumbi zvipfeko kana imwewo midziyo yekushandisa mumba. Nhumbi chiratidzo chehembe kana zvimwewo chinopiwa mukomana nemusikana uye musikana nemukomana, iri ratidzo yerudo rwavo nechitsidzo chekuti vacharoorana.
nhumbu 	D- 	9>10 	z 		nhumbu D- z 9>10 . Nhumbu inhengo yomuviri womunhu inogamuchira nokuzeya chikafu chinenge chadyiwa. dumbu 5 . Kana mukadzi achinzi ane nhumbu anenge akatakura mwana waanenge achitarisira kuzozvara. mimba 9, pamuviri 17 .
nhumburiro 	D- 	9>10 	z 		nhumburiro D- z 9>10 . Iyi inzvimbo inosarudzwa nevavhiyi vemhuka kuti vaicheke, vagoburitsa nayo matumbu.
nhume 	K- 	9>10 	z 		nhume K- z 9>10 . Nhume munhu anotumwa nemashoko netsamba kana nemuromo. nhumwa 9, mutumwa 1 .
nhumwa 	KD 	9>10 	z 		nhumwa KD z 9>10 . nhume 9 .
nhuna 	KD 	9>10 	z 		nhuna nhunha KD z 9>10 . Nhuna ndezvinokonzera kuti munhu atsamwe kana kuti ashunguridzike.
nhundiramutsime 	D- 	9>10 	z 		nhundiramutsime D- z 9>10 . Uyu munhu anoita zvinhu zveutsinye kana zvemisikanzwa yeunhubu.
nhundu 	K- 	9>10 	z 		nhundu K- z 9>10 . Nhundu chimba chemago. mhundu 9 . Nhundu midziyo nehembe zvinotakurwa nomunhu kana ari parwendo.
nhunduru 	D- 	9>10 	z 		nhunduru D- z 9>10 . Nhunduru makonye anowanzouya akawanda, achidya minda yezvirimwa nenguva pfupi.
nhunduruki 	KKKD 	9>10 	z 		nhunduruki KKKD z 9>10 . Uyu mukadzi anodanana nokumbogara nomurume akaroora, asi obva azviidza mukadzi womurume uyu chaiye.
nhundurume 	K- 	9>10 	z 		nhundurume K- z 9>10 . svimborume 9 .
nhundurwa 	DKD 	9>10 	z 		nhundurwa DKD z 9>10 . Nhundurwa muchero unoibva uri weyero, wakakura sematomati, unoberekwa nemuti unonzi munhundurwa.
nhungamakore 	DKKDK 	9>10 	z 		nhungamakore DKKDK z 9>10 . Iri igomo, imba, chivakwa kana chimwewo chinhu chakareba chaizvo. Ichi chitundumutsere, mutsere chinobva pasi chichienda mudengadenga kunzvimbo dzakaita semwedzi.
nhungamidzo 	KKKD 	9>10 	z 		nhungamidzo KKKD z 9>10 . nhanganyaya .
nhungamiri 	KKKD 	9>10 	z 		nhungamiri KKKD z 9>10 . Uyu munhu anenge ari pamberi pevamwe vose panenge pachiitwa basa kana kurongwa zvoupenyu, anenge achirongera nokuratidza vamwe zvekuita. mutungamiri 1 .
nhungirwa 	KDK 	9>10 	z 		nhungirwa nhungira KDK z 9>10 . bukirwa 5 .
nhungo 	K- 	9>10 	z 		nhungo K- z 9>10 . Nhungo mapango anobatanidzwa nembariro kuita denga remba yeuswa. Nhungo chibage chinotanga kubuda muvhu mushure mekukavirwa.
nhungu 	K- 	9>10 	z 		nhungu K- z 9>10 . Nhungu inzvimbo inochengeterwa chibage chisati chatokonyorwa, kana dzimwewo mbeu dzisati dzarongedzwa mumasaga nemumatura. rujada 11 .
nhungudzi 	KKD 	9>10 	z 		nhungudzi KKD z 9>10 . Nhungudzi ingoma inotanga kuridzwa panoridzwa ngoma dzakasiyana-siyana.
nhungura 	K- 	9>10 	z 		nhungura K- z 9>10 . Nhungura muchero womuti womunhungura.
nhunguru 	DDK 	9>10 	z 		nhunguru DDK z 9>10 . |Nhunguru| rudzi rwemuchero wakaita kadenderedzi, unoita mutema kana uchinge waibva, unoberekwa nemuti unonzi mu|nhunguru.
nhunguru duma 	DDK KD 	9>10 	z 		nhunguru duma DDK KD z 9>10 . nhunguru 9 .
nhunhudzikwa 	K- 	9>10 	z 		nhunhudzikwa K- z 9>10 . nhurikidzwa 10 .
nhunji 	DK 	9>10 	z 		nhunji DK z 9>10 . hudyu 9 .
nhunzi 	K- 	9>10 	z 		nhunzi K- z 9>10 . Nhunzi kambuyu kakati kurei, kanobhururuka nokumhara pane zvokudya kanoparadzira zvirwere uye kanonetsa vanhu munguva dzokupisa.
nhunzi matuzvi 	KK KDK 	9>10 	z 		nhunzi matuzvi KK KDK z 9>10 . Urwu rudzi rwenhudzi inonyanyoonekwa pane tsvina yevanhu kana mhuka.
nhunzvatunzva 	KDKD 	9>10 	z 		nhunzvatunzva KDKD z 9>10 . Uyu munhu anonetsa nokuti haatereri zvinorehwa nevamwe, anonyepa, nokureva vamwe nerweseri.
nhunzvi 	D- 	9>10 	z 		nhunzvi D- z 9>10 . Nhunzvi ihuku kana mbudzi kana hwai yakambobereka.
nhura 	KD 	9>10 	z 		nhura KD z 9>10 . Urwu rudzi rwetsenza dzisingadyiwi dziri mbishi.
nhurika 	KKD 	9>10 	z 		nhurika KKD z 9>10 . Nhurika mazino maviri anomera panzvimbo imwe chete. nhurikwa 9 . Nhurika idombo rinenge riri pamusoro perimwe. nhurikwa 9 .
nhurikwa 	K- 	9>10 	z 		nhurikwa K- z 9>10 . Nhurikwa matombo ari pamusoro pemamwe asi, asina kurongeka. nhurika 9 .
nhurimuturi 	DKDDK 	9>10 	z 		nhurimuturi DKDDK z 9>10 . Izvi zvinhu zvakawanda zvinenge zvakadurikidzana. Varimi chaivo vanoonekwa nenhurimuturi dzemasaga ezvirimwa zvavo.
nhuru 	D- 	9>10 	z 		nhuru D- z 9>10 . Nhuru rudzi rwembeva ine mavara akasiyana.
nhurubvukwa 	DKDK 	9>10 	z 		nhurubvukwa DKDK z 9>10 . Uyu munhu kana chinhu chakanyorovera, chinotefetera. Iri ivhu repamusoro rinenge rakaoma, panzvimbo yanga ine madhaka.
nhurura 	KKD 	9>10 	z 		nhurura KKD z 9>10 . Nhurura inyora dzepadama.
nhururamabhatye 	KKKDKD 	9>10 	z 		nhururamabhatye KKKDKD z 9>10 . Iyi ihari yokutanga yedoro, inopiwa vanhu vanenge vauya kuzoita basa panhimbe kana jakwara, basa racho risati ratanga kuitwa. chikumura 7 .
nhuta 	D- 	9>10 	z 		nhuta D- z 9>10 . Nhuta rudzi rwekapuka kakafanana negonzo, kane muswe mupfupi nemaziso nenzeve diki, kanogara mumwena wakareba makanodya midzi yetsenza, mbambaira neimwewo midzi yezvirimwa zvakapfava. Nhuta chirwere chisingarapiki chichipera, chinoita ronda rinonyenga, zvikuru pazamu nepamapapu.
nhutukutu 	D- 	9>10 	z 		nhutukutu D- z 9>10 . Iyi ihove inogara mumvura isina kunyanya kudzika, ine ivhu rine musheche wakawanda.
nhuturwa 	DKD 	9>10 	z 		nhuturwa DKD z 9>10 . nhundurwa 9 .
nhutuwa 	K- 	9>10 	z 		nhutuwa K- z 9>10 . fuza 5 .
nhuzu 	KD 	9>10 	z 		nhuzu KD z 9>10 . Nhuzu chironda chinoita mvura mukati, chinobuda kana munhu atsva nemoto kana nemvura inopisa. dubwani 5 .
nhuzvi 	D- 	9>10 	z 		nhuzvi D- z 9>10 . nhunzvi 9 .
njanjare 	DDK 	9>10 	z 		njanjare DDK z 9>10 . Njanjare munhu ane mazino anobudikira kunze. man'oo 6 .
njanjenjanje 	D- 	9>10 	z 		njanjenjanje D- z 9>10 . Iri igonye rinodyiwa rinowanikwa mumuti wemuzhanje.
njanji 	DK 	9>10 	z 		njanji njanje DK z 9>10 . Njanji isimbi dzakarongwa dzinofamba nechitima pamusoro padzo. siporo 9 .
njara 	DK 	9>10 	z 		njara DK z 9>10 . nzara 9 .
njekedya 	KDK 	9>10 	z 		njekedya KDK z 9>10 . Njekedya rudzi rweshiri inodya tupuka nembeu. zazo 9 .
njenje 	K- 	9>10 	z 		njenje K- z 9>10 . Njenje imhando yegurwe.
njenjema 	KKD 	9>10 	z 		njenjema KKD z 9>10 . Njenjema imhuka ine mavara padehwe rayo.
njerere 	DKD 	9>10 	z 		njerere DKD z 9>10 . Njerere rumwe rudzi rwegondo diki rine ruvara rupfumbu.
njikenjike 	KDKD 	9>10 	z 		njikenjike KDKD z 9>10 . Urwu rudzi rweshiri ine huro yakatsvukuruka.
njin'a 	KD 	9>10 	z 		njin'a KD z 9>10 . Njin'a munhu akapfuma.
njinga 	D- 	9>10 	z 		njinga D- z 9>10 . bhasikoro 5 . Njinga munhu akasimba uye ane utano hwakanaka.
njiri 	D- 	9>10 	z 		njiri D- z 9>10 . Njiri inguruve yemusango ine mazino akachanjamara, anocheka kana kuruma.
njiva 	DK/D- 	9>10 	z 		njiva DK/D- z 9>10 . Njiva rudzi rweshiri inovaka dendere rayo netumiti tudikidiki kana kuti tsotso, inoita vana vaviri chete uye inodya mbeu dzomuminda nemimwe michero yomusango.
njiva bomho 	DD KK 	9>10 	z 		njiva bomho DD KK z 9>10 . Urwu rumwe rudzi rwenjiva. nzembe 9 .
njiva mutondo 	DK KDD 	9>10 	z 		njiva mutondo DK KDD z 9>10 . Urwu rumwe rudzi rwenjiva.
njiva rupinda 	D- 	9>10 	z 		njiva rupinda D- z 9>10 . Urwu rumwe rudzi rwenjiva. chigurawasakura 7 .
njonda 	D- 	9>10 	z 		njonda D- z 9>10 . Njonda munhu ane mari yakawanda kana kuti munhu akabudirira. mupfumi 1, chinoto 7, mbozha 9 . ANTONYMS murombo 1.
njongomani 	DKDD 	9>10 	z 		njongomani DKDD z 9>10 . Uyu munhu kana mhuka yakareba.
njuga 	D- 	9>10 	z 		njuga D- z 9>10 . Njuga mutambo unotambwa kuti munhu awane mari, anenge adyiwa achibvisa mari inenge yabvumiranwa pakutanga. makasi 6 .
njuma 	KD 	9>10 	z 		njuma KD z 9>10 . Njuma imombe isina nyanga. nzuma 9, junju 5 .
njumba 	D- 	9>10 	z 		njumba D- z 9>10 . Njumba kasaga kana kahomwe kadiki, kanowanzochengeterwa zvinhu zvakaita semari. Munyai akauya kuzoroora nenjumba yemari.
njuza 	D- 	9>10 	z 		njuza D- z 9>10 . Njuza idoro rakasimba rinokora, kazhinji rinenge ratora mazuva manomwe kuribika. vheni 5 .
njuzu 	DK 	9>10 	z 		njuzu njuzi DK z 9>10 . Njuzi chipuka chinonzi chine musoro wemunhu nemuswe wehove, chisingaonekwi manga manga uye chinogara mumvura. Wese atorwa nenjuzu kuiswa pasi pedziva anodzoka yave n'anga yamandorokwati.
nondo 	D- 	9>10 	z 		nondo D- z 9>10 . Nondo igonye jena rinowanzowanikwa mundowe.
nondo shava 	D- 	9>10 	z 		nondo shava D- z 9>10 . hwiranondo 9 .
noro 	D- 	9>10 	z 		noro D- z 9>10 . Noro idombo rinoshandiswa kurodza matemo nemapanga.
