a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
-zeyeretsa 	K 				-zeyeretsa K it . Ku zeyeretsa kukonzera mumwe kuti asanyatsofunga zvakanaka.
-zeza 	D 				-zeza D it . Kana munhu achi zeza anenge achityira kure kana kuzengurira. Ndiri kuzeza kugeza nemvura inotonhora.
-tsanya 	K 				-tsanya K itik . Ku tsanya kuzvinyima kudya kwenguva yakareba, une zvaunokumbira kuna Mwari, kana kuti setsika inotevedzerwa mune zvimwe zvitendero. -zira .
tsaona 	KDD 	9 	z 		tsaona KDD z 9 . Tsaona injodzi inowira vanhu vasingazvifungiri.
-tsarukana 	D 				-tsarukana D itik . Ku tsarukana kugwinyirira kuita chimwe chinhu nomwoyo wose. Chinhu chaka tsarukana chinenge chiine musoro.
-tsauka 	K 				-tsauka K it . Ku tsauka kubuda munzira uchinanga kumwewo. -rauka . Ku tsauka kurega kuita zvinhu zvinoitwa navamwe nezvikonzero zvakowo. -rauka . Ku tsauka kusiyana kunoita vanhu, mhuka kana miti, zvichienderana namarudzi azvo.
-tsaura 	K 				-tsaura K it . Ku tsaura kubvisa mbeu kana n'ombe kubva mukati medzimwe, kuti dzive padzo dzoga. Vafudzi vanotsaura n'ombe kana voenda nadzo kundovharira mumatanga. -keta, -paradzanisa .
tseketsa 	KD 	9 	z 		tseketsa KD z 9 . Tseketsa ihuku yasvika pazera rokuti ichikandira mazai. sheche 9 .
-tsemuka 	D 				-tsemuka D itik . Ku tsemuka kubanzuka, zvokuti rimwe bande uku rimwewo uko. Dombo rakatsemuka rikaita hurumatandare richidzika negomo. Ku tsemuka kuita mutswi kwehari kana zvimwewo zvinofa.
-tsendemuka 	K 				-tsendemuka -dzendemuka K itik . Ku tsendemuka kutinhira kune mutsindo mukuru. Mupande wakatsendemuka, tikavanda pasi pomubhedha.
-tumbuka 	D 				-tumbuka D it . Kana chibage cha tumbuka chinenge chabuda muchekechera.
-tumbura 	D 				-tumbura D it . Kana uka tumbura munzwa unenge waubvisa pawanga wakabaya.
tumbwa tumbwa 	KD+ 		ny 		tumbwa tumbwa twimbwi tumbwi KD+ ny . Kuti tumbwa tumbwa kukwirira nokudzikira kunoita katanda kakaoma, kari pamusoro pemvura.
-tumidza 	K 				-tumidza K it . Ku tumidza kupa zita kumwana kana kumhuka.
-tuna 	D 				-tuna D it . Kana mudziyo waka tuna unenge usina chinhu mukati mawo.
-tuna 	K 				-tuna K it . Ku tuna kufembedza hwema hwemhuka kana hwechokudya. Imbwa inofamba ichituna mhuka mumakwenzi. -randura . -nyepa .
tunduma 	KKD 		ny 		tunduma KKD ny . Kuti tunduma kukwirira kwepanenge pakazvimba. tunduru . Kana munhu akati tunduma anenge asina mufaro, zvokuti muromo unenge wakamonywa, uye akanyarara. tundururu .
tundumwa 	KKD 		ny 		tundumwa KKD ny . Kuti tundumwa kuramba wakaisa muromo pamudziyo, une chauri kunwa.
-tunduruka 	K 				-tunduruka K itik . Ku tunduruka kuzvimba kana kukukumuka kwepanenge pakuvara. Ku tunduruka kuva pamusorosoro pezvimwe zvose. Gudo rakanga rakatunduruka pamusoro pegomo chaipo.
upfururira 	DKKKK 	14 	z 		upfururira upfururiri DKKKK z 14 . Aya maitiro okuda kuparadza ushamwari pakati pavamwe.
uporofita 	DDDKD 	14 	z 		uporofita DDDKD z 14 . Uporofita kukwanisa kuziva zvakavanzika, zvakaitika, kana zvichaitika.
ura 	D- 	14 	z 		ura D- z 14 . Ura inhengo yomuviri iri mudumbu inenge chubhu, inofamba nekugayirwa chikafu.
urakata-urakata 	D- 	14 	z 		urakata-urakata D- z 14 . Uku kurara kwavanhu kana mhuka zhinji.
urarara 	D- 	14 	z 		urarara D- z 14 . Uku kurerekera divi rimwe chete zvikuru kunenge kwaita mbeu kana zvimwewo, zvavhuvhutwa nemhepo kana nemvura.
-uraya 	K 				-uraya K it . Ku uraya kupfuudza upenyu hwechisikwa. MuHarare mazara mhondi dzinouraya vanhu kunge dziri kutouraya zvadzo huku. Ku uraya kukanganisa mashandiro echimwe chinhu, chobva chatadza kushanda zvakanaka. Akauraya chitofu, zvekuti handizivi kuti ndichabika nei nhasi.
-zhaka 	D 				-zhaka D it . Kana uchi zhaka bundo mumunda unenge uchiita rekutema zvesimba, zvisiri zvekuseka, asi uchikwanisa kusiya mbeu dzakamira. Kana uchi zhaka uri parwendo, unenge uchiramba uchingofamba zvebasa.
zhara 	D- 	9 	z 		zhara D- z 9 . nzara 9 .
-zhinya 	D 				-zhinya D it . Ku zhinya kuseka kwekufarisa kana kwekusakwana. Ku zhinya kuhon'a kunoita imbwa. Ku zhinya kurova munhu kana mhuka neshamhu yakakura.
zhizha 	DK 	5 	z 		zhizha DK z 5 . Zhizha inguva yegore inonaya mvura.
-zhizhira 	D 				-zhizhira D it . Ku zhizhira chinhu kuchitsimbirira, zvokuti simba rose rinenge rava pachinhu ichocho.
zhowezha 	DKD 	5 	z 		zhowezha DKD z 5 . Zhowezha imheremhere yakanyanya. Vanhu vaiita zhowezha munhandare nokuti bhora rainakidza.
-zhwadurira 	K 				-zhwadurira K it . Ku zhwadurira kutsenga kune ruzha, sezvinoita munhu ari kudya maputi. -zhwadura, -chwadura, -chwadurira .
-tsengera 	K 				-tsengera K it . Ku tsengera mwana mushonga kutanga wautswanya namazino, wozousvisvinira mumuromo make. -rurira .
tsengwa 	KD 				tsengwa KD . Tsengwa mafufu anenge asina kunyatsoputsika pakugaya chibage.
tsengwarengwa 	KKDK 	9 	z 		tsengwarengwa KKDK z 9 . Aya mabandi mabandi anosara pachibage chisina kugayiwa zvakanaka. Takandogaisa matsengwarengwa okufidhisa huku. mabhazhu 6 .
-tsetsa 	D 				-tsetsa D it . Ku tsetsa kuita kana kutaura zvinopa vanhu kuseka. -setsa . Kana uchi tsetsa unenge uchigaya kana kukuya upfu hunosara hune mabandi madikidiki. -motsa .
-tsidza 	D 				-tsidza D itik . Kana uchi tsidza unenge uchivimbisa kuti uchazoita kana kuti hauzoiti chimwe chinhu kusvika nguva yakatarwa yakwana. -pika, -bheja .
tsiga 	KD 	5 	z 		tsiga KD z 5 . Tsiga idanda gobvu pfupi, rinosara rakamira panenge patemwa muti.
tsika 	D 	9>10 	z 		tsika D z 9>10 . Tsika maitiro anotarisirwa navanhu vorudzi rumwe chete, pazvinhano zvakasiyana. Dzimwe tsika dzechikare takaregerawo, asi dzimwe tinoona dzakatinakira. Munhu ane tsika anenge ane unhu hunoyemurika. Pita akaitwa keputeni wechikoro nokuti ane tsika. Tsika yomunhu kaitiro kake kaajairira. Murume wangu ane tsika yokuuya kumba usiku.
-tsikinura 	D 				-tsikinura D it . -dzikunura .
-tungamira 	K 				-tungamira K it . Kana uchi tungamira unenge uchifamba uri mberi kwavamwe vose. Kana uchi tungamira unenge uri iwe mukuru wemusha kana wesangano.
-tungidza 	K 				-tungidza K it . Kana uchi tungidza unenge uchiisa mazimbe kana mechisa inopfuta pahuni, kana zvimwewo, kuti zvibake. Ku tungidza kuramba wakanangisa hosipaipi inobuda mumvura pamwe panhu. Mukomana wokushinhwa akaitungidza hosipaipi pabakwa, huni dzikanyorova.
-tunha 	D 				-tunha D it . Ku tunha kutaura uchikurudzira kuti mumwe aite chimwe chinhu, kazhinji chakaipa. -kusvudzira, -pesvedzera .
-tunhira 	D 				-tunhira D it . Ku tunhira kuregerera mwana achiita zvakaipa, muchiti hazvina mhosva.
-tunhumara 	K 				-tunhumara K itik . Kana nzvimbo yaka tunhumara inenge yakakwirira. -tundumara .
-tunira 	K 				-tunira K it . Ku tunira kusimudza musoro wakatarisa mudenga. Kana munhu achi tunira chimwe chinhu, anenge achichitya kana kuchizeza. Tichaona anotunira kufamba ega mumhindo.
-tupfunura 	D 				-tupfunura D it . Ku tupfunura kuita kuti pakasungwa paregedze.
-tupuka 	D 				-tupuka D itik . Ku tupuka kureba kupfuura zvimwe zvose kana kuenda mudengadenga.
tupururu pfacha 	D- 		ny 		tupururu pfacha tutururu pfacha D- ny . Kuti tupururu pfacha kungoerekana munhu asvika, zvamusingazivi kuti asvika sei.
-tura 	K 				-tura K it . Ku tura kudzikisa pasi zvanga zvakatakurwa nemunhu.
tura 	KD 		ny 		tura KD ny . Kuti tura kurembedza hanzu pamusoro pechimwe chinhu. Kana mugomo wakati tura unenge wakazara nemvura. turi .
urema 	DKK 	14 	z 		urema DKK z 14 . Urema kutadza kushandisa dzimwe nhengo dzomuviri dzakaita semaoko kana makumbo, pamusana pekuti akagonya, kana kuti haana kuumbwa zvakanaka. Urema kushaya njere kwemunhu. ufuza 14 .
uroja 	DKD 	14 	z 		uroja DKD z 14 . Uroja kugara mumba isiri yako, uchibhadhara rendi.
-wa 	D 				-wa D itik . Ku wa kudonha kwechinhu chichibva pamusoro chichienda pasi.
-wacharika 	D 				-wacharika D itik . Ku wacharika kufamba kwemunhu anenge aine zvinhu zvinorira. Ku wacharika kurira kwetunhu tudiki tunenge tuchigamhina twakawanda.
-wadza 	K 				-wadza K it . Ku wadza kuita kuti zvinhu zviwande kana kuti zvipamhidzirike. Ku wadza kutsemura huni. -banzura .
-wadzanisa 	D 				-wadzanisa D it . Ku wadzanisa kuita kuti vanhu vawirirane, kunyanya kana vanga vasingawirirane.
-wadzura 	K 				-wadzura K it . Ku wadzura kubudisa zvinhu zvakawanda zvichirasika kubva mazvanga zvakachengeterwa. Ku wadzura kurova munhu nembama zvakasimba.
-wamura 	D 				-wamura D it . Ku wamura kudhonza chinhu chinoreba nokudhonzwa, chakaita serekeni.
-wana 	D 				-wana D it . Ku wana kuzova nechinhu chawanga uchida. Akazowana bhora raaitsvaga pasi pemubhedha. -roora .
-tsikitsira 	K 				-tsikitsira K itik . Ku tsikitsira kutarisa pasi, kunowanzoitwa nemunhu asingadi kusanganidza maziso nevaari kutaura navo.
tsimba 	D- 	5 	z 		tsimba D- z 5 . dzimba 5 . Tsimba kamhuka kaduku kanofamba usiku, uye kanodya mbeva, makonzo neshiri. nyongo 9, simba 9 . Tsimba zvinhu zvinenge zvakazadza chanza cheruoko rwemunhu. Ndinokorerevo tsimba yemutetenerwa.
-tsindidza 	K 				-tsindidza K it . Kana uchi tsindidza unenge uchikomekedzera shamwari kana mumwewo, kuti asataura imwe nyaya kuvanhu.
tsindimbeva 	KKKD 	9 	z 		tsindimbeva KKKD z 9 . Aka kapuka kakaita sembeva asi iko kane mvindi dzakawanda kukunda dzembeva.
-tsindinuka 	K 				-tsindinuka K itik . Ku tsindinuka kutsemuka-tsemuka kwepasi, nokuda kokutsikwa zvine simba. Vanhu vaitambira marekodzi mumba, vakatsindinura pasi pose. -pfupfunyuka .
-tsinhana 	D 				-tsinhana D itik . Ku tsinhana kuva pedo napedo zvakanyanya. Ku tsinhana kupa munhu chinhu, zvikuru chipfuwo, iye achikupawo chake, asi zvose zvichienderana pakukosha kwazvo.
-turika 	K 				-turika K it . Ku turika kuisa mudziyo kana chimwewo chinhu pakakwirira. Turika ndiro idzo pasherefu. Ku turika imba kuipfurira neuswa kana marata. Ku turika mvura kushandisa mishonga kuti isanaya. Kana n'ombe ika turika inenge isisabudi mukaka, kana zviya muchiikama.
-turira 	K 				-turira K it . Ku turira kupa umwe basa rokuita, rawanga uchifanira kuita iwe. Akazoturira ushe kumukoma wake. Kana uchi turira nyaya kana mashoko, unenge uchiudza vamwe kuti vakupewo mazano kana kuti vakubatsire. Ku turira kusiya munhu mumaoko emumwewo, kuti aone zvokuita naye. Mudzidzisi akaturira musikana wokunetsa kumukuru wechikoro.
-turumuka 	K 				-turumuka K itik . Ku turumuka kudonha kubva mudenga. -turunuka .
-turunura 	K 				-turunura K it . Kana uchi turunura unenge uchitora zvinhu zviri pamusoro, uchizviisa pasi.
-turura 	K 				-turura K it . Ku turura kubvisa zvinhu zviri pakakwirira, uchizviisa pasi. -turunura .
-turutsa 	K 				-turutsa K it . Ku turutsa kuita kuti munhu asvikirwe nomweya, kazhinji uri mudzimu kana shavi.
-tushura 	K 				-tushura K it . Kana uchi tushura unenge uchibaya chinhu chine mvura mukati ichibuda.
urukwa 	D- 	14 	z 		urukwa D- z 14 . Urukwa rudzi rweuswa hunomera mugomo, hunorukiswa zvitseme.
-urura 	K 				-urura K it . Ku urura kuboora buri uchishandisa simbi, waya kana chimwe chinopinza, chichipisa chaizvo. Ndakawana sekuru vachiurura mupinyi webadza.
-urutsa 	D 				-urutsa D it . Ku urutsa kubvisa marara mumbeu yakaita sechibage uchidurura pasi, kuitira kuti marara apeperetswe nemhepo. -rudza .
usanza 	D- 	14 	z 		usanza D- z 14 . Usanza idendere reshiri rakagadzirwa netutanda.
ushasha 	D- 	14 	z 		ushasha D- z 14 . Ushasha kuva neruzivo rwakanyanya rwechimwe chinhu.
-wanikidza 	D 				-wanikidza D it . Ku wanikidza munhu kumubata ari pakati pekuita chinhu, kazhinji chisina kunaka. Ndavawanikidza vari pakati pekuba mengo mumunda wechikoro. -boza . Ku wanikidza kuwana zvinhu nemasanga, usina kunge wakazvitarisira. Ndawanikidza pachitoro chemabhegi chiya paine sero huru zvekuti ndatotenga mabhegi matatu chaiwo.
-waranyura 	D 				-waranyura waranura D it . Kana munhu achi waranyura magumbeze akawaridzwa, anenge achiapeta kana kuabvisa achiaisa kwakadaro uko.
-warira 	D 				-warira D it . -waridza .
-warura 	D 				-warura D it . Ku warura kubvisa magumbeze panga pakarara munhu.
washa 	KD 				washa KD . Washa ndeinosungiswa simbi, inoiswa panosungwa simbi kuti iwedzere kusimbisa pari kusungwa nebhaudhi.
-tsinza 	K 				-tsinza K it . Ku tsinza kuuraya mhuka uchiita zvokuicheka pahuro. -sinza, -shizha . Ku tsinza kuita zvinoita kuti mumwe apinde mumatambudziko. Ku tsinza kuita chimwe chinhu kekutanga muupenyu. -tanga . Ku tsinza kumenya magwere kana zvimwe zvirimwa nenzira yokuzvitswa muduri. -dzvura, -tswa .
tsira 	KD 	9 	z 		tsira KD z 9 . Tsira ihove huru chaizvo, ine ruvara rwemengo yaibva.
-tsirikitidza 	D 				-tsirikitidza D it . Ku tsirikitidza kubata mhuka kana munhu asingafungiri, kuti arege kutiza. Ku tsirikitidza kurova mumwe munhu zvakanyanya nezvibhakera, iye asingadzoreri.
-tsitsa 	D 				-tsitsa D it . Ku tsitsa kuisa chinorema pamusoro pechimwe chinhu. Tsitsa mapepa awo nebwe, asaenda nemhepo.
tsiuka 	K 				tsiuka K itik . Kana chakavanzika cha tsiuka chinenge chabuda pachena. -fumuka . Kana uchi tsiuka unenge uchibvuma kuyambirwa.
-tuta 	K 				-tuta K it . Kana vanhu vachi tuta vanenge vachitora zvinhu zvavo zvose, vachibva pane imwe nzvimbo vachienda pane imwe.
-tutsira 	D 				-tutsira D it . Ku tutsira kuisa zvinhu uchiita kuti zviwande kupfuura zvazvanga zvakaita. Mai vakatusira mvura yesadza vaeni vasvika. -wedzera .
-tutumadza 	D 				-tutumadza D it . Ku tutumadza kufutisa kahomwe nokuisa zvinhu makari.
-tutumara 	K 				-tutumara K itik . Ku tutumara kuzviona sokunge wakakosha kudarika vamwe vanhu. -tutuvara, -tivhaira .
-tutumuka 	D 				-tutumuka D itik . Ku tutumuka kukura zvikuru munguva shoma shoma. Muriwo uyu wakaita zvokututumuka chaizvo. -tutuma .
-tutunura 	K 				-tutunura K it . Ku tutunura kubvisa nhumbi kubva mungoro, kana pamwe padzinenge dziri.
tutuva tutuva 	KKD+ 				tutuva tutuva KKD+ . Kuti tutuva tutuva kufamba munhu usina chinangwa.
-tuurika 	D 				-tuurika D itik . -tochaira .
usikana 	DKDK 	14 	z 		usikana DKDK z 14 . Iyi inguva inobvira munhukadzi ari mudiki kusvika aite imba yake. ANTONYMS ukomana 14. Iyi inguva iyo munhukadzi anenge asati aziva murume. ANTONYMS ukomana 14.
usundiranwa 	DDKKD 	14 	z 		usundiranwa DDKKD z 14 . Uku kurambirana mhosva, mumwe nemumwe achitendeka mumwe kuti ndiye azviita. Uku kuregererana kuita basa, mumwe nemumwe achifunga kuti mumwewo ndiye achariita.
usvisva 	D- 	14 	z 		usvisva D- z 14 . Usvisva idziva rakadzika zvikuru.
uswa 	DK 	14 	z 		uswa DK z 14 . Uswa tumerwa twunobuda twega muvhu twakasvibirira, twunowanzofurwa nemhuka, kana kusakurwa nevanhu muminda kana muzvivanzi zvavo. bundo 5, sora 5 .
utachiona 	DDKD 	14 	z 		utachiona DDKD z 14 . Utwu tupuka tudikidiki tusingaoneki, tunokonzera zvirwere.
-wataira 	K 				-wataira K itik . Ku wataira kufamba kwemunhu ane mabvi asina simba. Rega kuwataira somukumbodai.
-watsanura 	K 				-watsanura K it . Ku watsanura munhu nembama kumurova zvakasimba. -watsa .
-waura 	D 				-waura -vaura D it . Ku waura kunzvenga vanhu vazhinji mubhora. Ku waura kucheka nebanga rinopinza zvikuru. Mavhiyiro omusango kungowaura-waura, dehwe richisara netunyama. Ku waura kurova munhu nembama.
waya 	KD 	9>10 	z 		waya KD z 9>10 . Waya itambo dzesimbi dzakasiyana-siyana.
wazviita 	DKKD 		kanu 		wazviita DKKD kanu . Kuti wazviita kutenda munhu mudiki kwauri kana aita zvakanaka. mazvita .
-wedzera 	D 				-wedzera D it . Ku wedzera kuita kuti chinhu kana zvinhu zvanga zviripo zviwande kana kukura.
werera 	D- 	5 	z 		werera D- z 5 . Werera ibveni rinofamba roga. chonda 7, mberera 9 .
-weta 	K 				-weta K it . Ku weta kuita basa rokupa vanhu chikafu nezvinwiwa zvavanenge vatenga kana zvavanenge vapihwa.
-wetsa 	K 				-wetsa K it . -vhomora .
-tsiva 	D 				-tsiva D it . Ku tsiva kutora chinzvimbo cheasipo, wobva waita zvaanga achifanira kuita. Ku tsiva kuisa chimwe chinhu paunenge wabvisa chimwe. Ku tsiva kuitira munhu chakaipa pamusana pokuti akambokuitiravo chakaipa.
tsoka 	DK 	5 	z 		tsoka DK z 5 . Tsoka inzvimbo ine miti yakawanda chose. sango 5, chiunde 7 .
-tsoka 	K 				-tsoka K it . Ku tsoka kupakira zvinhu zvakaita sefodya muchibako uchiita zvokutsikira. Ku tsoka kupa timu yamunenge muchitamba nayo zvidungu zvakwanda.
tsoma 	DK 	9>10 	z 		tsoma DK z 9>10 . Tsoma imhuka yakaita semhembwe asi iyo iri huru kupfuura mhembwe.
-tsomwaira 	D 				-tsomwaira D itik . Ku tsomwaira kuvata kwenguva duku uchipepuka. Pandakaona otsomwaira, ndakaziva kuti ainge onzwa hope. -tsumwaira .
-tsondora 	K 				-tsondora K it . Ku tsondora kunzwa usimbe hwokuita chimwe chinhu. -zengurira . Ku tsondora kuita chimwe chinhu pamusana pokutya zvinozoitika mberi.
tuwa tuwa 	D- 		ny 		tuwa tuwa D- ny . tumbi tumbi .
-tuwaidza 	D 				-tuwaidza D it . Ku tuwaidza kuita kuti munhu afambe asina chinangwa.
-tuzuka 	D 				-tuzuka D itik . Ku tuzuka kungomira munhu asingazivi zvokuita.
-tuzura 	D 				-tuzura D it . Kana uka tuzura munhu, unenge waita zvinoita kuti asare avhiringika mumusoro. -kangaidza, -pusisa .
-twa 	K 				-twa K it . -dzvura .
twasa 	D- 		ny 		twasa D- ny . tasa .
-twasanura 	D 				-twasanura D it . Ku twasanura kuita kuti pakakombama parurame. -twasanudza .
twiza 	D- 	9>10 	z 		twiza D- z 9>10 . Twiza imhuka yakareba kudarika dzimwe dzose, ine mutsipa murefurefu.
tya 	D 		ny 		tya D ny . Kuti tya kurira kunoita tyava kana kuti huni dziri kuvhunwa. Kuti tya kubaya kunoita mabayo muchipfuva chemunhu. Kana munhu akati tya anenge akarara hope dzakasimba kwazvo. pfodo .
utara 	DKK 	14 	z 		utara DKK z 14 . Utara kuva nemaziso anenge ava kuonera pedyo. Sekuru vakura zvokuti maziso avo ava neutara. rutara 11 .
utata 	DKD 	14 	z 		utata DKD z 14 . Utata rudzi rwechimbuyu chinoruma nokunanaira zvinovava, chinowanzowanikwa pahuku. uzanguku 14 .
utenda 	DKK 	14 	z 		utenda DKK z 14 . Utenda kurwara kunenge kuchiita munhu.
utera 	DKK 	14 	z 		utera DKK z 14 . Utera kusakura zvakanaka kwemwana mudiki, anenge achiita seasina kukwana, kana kuti asingakwanisi zvinoita vamwe vezera rake.
utesva 	D- 	14 	z 		utesva D- z 14 . Utesva ndepakadzikadzika penzvimbo inenge ine madhaka.
-wirirana 	D 				-wirirana D itik . Kana vanhu vachi wirirana vanenge vachinzwisisana kana vachitamba vose pasina kunetsana.
-wowoma 	D 				-wowoma D itik . Ku wowoma kutaura zvine ruzha.
-wowora 	K 				-wowora -vovora K itik . Ku wowora kuchema nezwi riri pamusoro kwenguva huru, zvinoratidza kurwadzikana kukuru.
-wudyura 	K 				-wudyura K it . Ku wudyura kuburitsa maziso munhu akatarisa chinhu. Ndakawudyurira maziso mwana aichema, akanyarara.
-tsonyekedza 	K 				-tsonyekedza K it . Ku tsonyekedza kubvanyangura zvinhu kana kuita kuti zvinhu zvisave nourongwa. -bvorongonya, -bvonyongodza . Ku tsonyekedza kupa mumwe munhu chinhu asi mwoyo wako usingadi. -konora, -ndikinyidza, -konyorera .
-tsonyombodza 	K 				-tsonyombodza K it . Ku tsonyombodza kubata vamwe nenzira isina kunaka, asi iwe usina basa nokutambudzika kwavo.
tsonzowa 	KDK 	9>10 	z 		tsonzowa KDK z 9>10 . Tsonzowa muchero muduku wakatenderera, usingadyiwi nevanhu asi nemhembwe kana mbudzi, uye mhodzi yacho inosikwa senyimo. shozhowa 9 .
-tsora 	K 				-tsora K it . Ku tsora kubvisa nhengo dzinogadzira urume pamhuka honho. -chinya . Ku tsora kutsvaga ruzivo rezvakavanzika pamusoro pomuvengi wako, usingabudi pachena. Muvengi aitumira vatengesi kunotsora mabhesi edu kuTanzania nokuMozambique.
-tsoropodza 	K 				-tsoropodza K it . Ku tsoropodza kushoora zvataurwa kana zvinofungwa nevanhu, uchipa zvikonzero zvaunozvishorera. -tsonyopodza .
-tsotsonya 	K 				-tsotsonya K it . Ku tsotsonya kubuda kunoita chikukwana kubva muzai. -tsodza . Ku tsotsonya kubaya-baya huni iri mumoto kuti uwane marasha. Ku tsotsonya kubvisa makanda kana mateko enzungu uchishandisa maoko. -menya .
-tyaka 	K 				-tyaka K itik . -kwata .
tyava 	D- 	9>10 	z 		tyava D- z 9>10 . Tyava itambo yakakoswa yakareba, inosungirwa parutanda ichishandiswa kuchaira n'ombe nezvimwewo.
-tyisidzira 	K 				-tyisidzira -tyityidzira K it . Ku tyisidzira kuita zvinoita kuti munhu avhunduke. -vhundusira .
-tywatywatidza 	D 				-tywatywatidza D it . Ku tywatywatidza kukanga-kanga nyama kana humwe usavi pamoto. Ku tywatywatidza kupukuta zvinhu zvakaoma semashizha, zvokuti anenge achiita ruzha.
utonga 	DKK 	14 	z 		utonga DKK z 14 . Utonga kutsvuka kunoita kunze pakubuda nokuvira kwezuva. Mhembwe dzinofura utonga hwotsvuka. utunga 14 .
utsanana 	D- 	14 	z 		utsanana D- z 14 . Uku kushambidzika kwomuviri nepaunogara, uye zvokudya zvaunodya. Chimangowe chinoutsanana hwokugeza kumeso nokufusira tsvina yacho.
utsuta 	DKD 	14 	z 		utsuta DKD z 14 . Utsuta kuomera munhu asingadi kushandisa zvinhu zvake, ingava mari kana chii chaainacho. Munhu ane utsuta anofa nenzara homwe dzizere mari. rutsuta 11 .
utuma 	KKD 		ny 		utuma KKD ny . Kuti utuma kupererwa nemazano.
utunga 	DKK 	14 	z 		utunga DKK z 14 . Utunga utwu twupuka twudikidiki twunogara mumvura isingaereri, twunobhururuka twuchiruma vanhu, zvinoitisa mapundu uye zvinokonzera marariya kune dzimwe nzvimbo. umhutu 14 . utonga 14 .
yaa 	D- 		kanu 		yaa D- kanu . Kuti yaa kubvumirana nezvinhu kuti ndizvozvo. Yaa, ndiye musikana wekubiwa nemazirume aye ekuwira muna Chivero achitiza mapurisa. Yaa kufarira kuti zvinhu zvawaifungira kana zvawaitaura kana kushuvira zvazozadzikiswa. Tsuro kari mudumbu manzou kakabva kadeedzera kachiti, "Yaa, nhasi sekuru nzou ndazokubatayi. Ndimi mapedza manhanga angu nhai? ".
-yambuka 	D 				-yambuka D it . Ku yambuka kupfuura rwizi kana mugwagwa kana sango, uchibva kudivi rimwe uchienda kune rimwe. -bira . Kuyambuka kubuda mumatambudziko. Gore raayambuka sekondari achienda kuyunivhesiti, ndogore rakatanga zvinhu kumufambira zvakanaka.
-yanana 	D 				-yanana D itik . Ku yanana kupindirana kunoita vanhu pane zvavanenge vachiita. -nzwanana . Ku yanana kupindirana kwevanhu vambenge vasisataudzane, mushure mekunge vataurirana nyaya yanga ichinetsa ikapera.
yanga 	K- 	9 	z 		yanga K- z 9 . Yanga munhu ane tsvina chaizvo, asinganyatsotaridziki zvakanaka.
yangarara 	D- 		ny 		yangarara D- ny . Kuti yangarara misodzi kumeso kuzara kwayo mumaziso. Matigimu akati misodzi mumaziso yangarara anzwa kuti akundikana mubvunzo rake. yengerere . Kuti yangarara kugara kunoita chinhu pamusoro pemvura, chisinganyuri. yangaru .
-tsotsota 	K 				-tsotsota K itik . Ku tsotsota kufamba kwemunhu kana mhuka ichikasira chaizvo, uye ichisimudza makumbo zvakanyanya.
-tsudugura 	K 				-tsudugura K it . Ku tsudugura kubvisa chinhu chinorema kana chinenge chakaomera panzvimbo yacho.
-tsudunura 	D 				-tsudunura -sudunura D it . Ku tsudunura kusunungura pambenge pakasungwa. -tsunhura .
-tsukunuka 	K 				-tsukunuka K it . Ku tsukunuka kuminyuka kana kushodoka kweruoko kana gumbo.
-tsukuta 	D 				-tsukuta D it . Ku tsukuta kubvisa makoto kana marara echirimwa nenzira yokuchipukuta namaoko. -sukuta .
-tsumba 	K 				-tsumba K itik . Kana uchi tsumba unenge uchishuva kuti dai chimwe chinhu chikaitika. -kungura, -demba, -shumba .
ubasa 	DDK 	14 	z 		ubasa DDK z 14 . Ubasa isimba nechido chokuita chose chose wakagwinya.
ubhinya 	D- 	14 	z 		ubhinya D- z 14 . Ubhinya maitiro okuve munhu anobata vakadzi nokuvamanikidza kuti varare newe. Ubhinya itsika yekuponda kana kukuvadza vamwe.
-uudza 	K 				-uudza K it . Ku uudza kuita ruzha rwokusheedzera munhu asi pasina kudoma zita rake.
uvaravara 	D- 	14 	z 		uvaravara D- z 14 . Ichi chipfeko chinenge chakagadzirwa nematehwe ane mavara akasiyana-siyana.
uwakatira 	D- 	14 	z 		uwakatira D- z 14 . Uwakatira kudonha kwemari yesimbi kana zvimwewo zvakadaro.
uwarawara 	D- 	14 	z 		uwarawara D- z 14 . Utwu tumvura tusina kusimba, twunonanaya kwenguva pfupi. tupfunhambuya 13 .
-yaruka 	D 				-yaruka D itik . Ku yaruka kukura kubva muupwere kuva munhu anokwanisa kuzvichengeta.
-yarutsa 	D 				-yarutsa D it . Kuyarutsa kurera mwana kusvika akura, ava kugona kuzvionera ega. Ambuya vangu munhu wandinokudza nekutenda chaizvo, nekuti ndivo vakatiyarutsa isu vazukuru vavo tese tese.
-yavaya 	D 				-yavaya D itik . Kuyavaya kufara zvekuvarairwa kusvika pakukanganwa nhamo. Ku yavaya kutaura twunhu twusina basa zvisina magumo.
-yedza 	D 				-yedza D itik . Ku yedza kushingirira kuita chimwe chinhu kusvika chabuda kana chazongorambawo zvacho. -edza . -yera .
-yemedzeka 	D 				-yemedzeka D itik . -yema . Ku yemedzeka kudokwairirana nekusvapurirana kunoita vadiwa, vachiitirana nekutaurirana tunhu twunooneka nevateereri kunge twusina musoro. Zvinobhowa chaizvo kuti, kana iwe uchida kufonera zvinhu zvine basa mumwe munhu oramba achingoyemedzeka.
