amaiguru 	DKKKK 	2b 	z 		amaiguru DKKKK z 2b . maiguru 2a .
gwaukwau 	KKKD 	5 	z 		gwaukwau KKKD z 5 . Uku kuhukura kunoita imbwa dzakawanda panguva imwe chete.
jabu jabu 	D- 		ny 		jabu jabu D- ny . Kana munhu kana mhuka ichifamba ichiti jabu jabu inenge ichifamba ichitomhuka-tomhuka.
jadu 	KD 		ny 		jadu KD ny . Kuti jadu kutema chinhu uchibva watochidimura. Kuti jadu kudonha nerutivi.
guju 	DK 		ny 		guju DK ny . Kuti guju kutomuka-tomuka mudenga, sezvinoitika kana chinhu chichifamba panzira isina kugadzirwa zvakanaka.
guku 	K- 	5 	z 		guku K- z 5 . Guku zihuku rakakura chaizvo.
gukuravhu 	KKDK 	5 	z 		gukuravhu KKDK z 5 . Uku kuchereka kunoita pasi pamusana pemvura inoerera pavhu risina chakarivharira. Komekedzai vanhu kuti vasime miti nemaruva kuti gukuravhu riite shoma.
gwebu 	KD 		ny 		gwebu KD ny . Kuti gwebu kukwatura chivharo kana dombo rakaita gwandefa kuti uone zviri pasi. Akati gwebu gwandefa ndokubva aona chinyavada.
gwedebu 	KKD 		ny 		gwedebu KKD ny . Kuti gwedebu kubvisa chivharo chinenge chakavhara chimwe chinhu. Ndakati chivharo gwedebu, ndokuona mupoto muzere nyimo.
hubvu 	KD 	9>10 	z 		hubvu hubva KD z 9>10 . Hubvu muchero mutema unoberekwa nemuti unonzi muhubva unodyiwa navanhu nemakava. tsubvu 9 .
hudyu 	DK 	9>10 	z 		hudyu DK z 9>10 . Hudyu mutezo womunhu uri pachiuno, panosangana zvidya nomuviri.
gumbezu 	DKD 	5 	z 		gumbezu DKD z 5 . gumbeze 5 .
gumbu 	DK 		ny 		gumbu DK ny . Kuti gumbu kupingwa nechinhu chisingabvi pachiri.
gwedu 	KD 	5 	z 		gwedu KD z 5 . chigwedu 7 .
gwegwedu 	KKD 		ny 		gwegwedu gegedu KKD ny . Kuti gwegwedu kuruma pfupa kana chingwa chakaoma, sezvinoita imbwa ichidya bhonzo renyama. Kasikana kaiti gwegwedu gwegwedu masiwiti. babandu .
hukutu 	K- 		pr 		hukutu K- pr . Mhuka hukutu ndeine hutano hwakanaka uye yakasimba.
jandu 	DK 		ny 		jandu DK ny . Kuti jandu kutsenga chekudya chakanyorovera zvikuru.
japuchapu 	KKKD 	5 	z 		japuchapu KKKD z 5 . Iri zidemo zihombe rinopinza zvikuru.
gumbu 	DK 	5 	z 		gumbu DK z 5 . Gumbu inzira inenge yakakura nokuti inofambwa nevanhu vakawanda.
gumbukumbu 	DDKK 	5 	z 		gumbukumbu DDKK z 5 . Ichi chimbuyu chine makwati matema, chinodyiwa uye, chinokwanisa kuruma negotsi. gakata 5, rumanegotsi 5, dhandaruma 5 .
gumu 	KD 		ny 		gumu KD ny . Kuti gumu kurovera pachinhu zvinyoronyoro. Kuti gumu kukonzera kuti zvinhu zviteuke mushure mokunge wagumha chinhu chazvinenge zviri. Kuti gumu kutanga kuita chinhu.
gwenyukwenyu 	DKDD 	5 	z 		gwenyukwenyu DKDD z 5 . gwenyakwenya 5 .
ndu ndu ndu 	K- 		ny 		ndu ndu ndu K- ny . Kuti ndu ndu ndu kugara usingatauri nemunhu nekuda kwekusurikirwa.
ndudzu 	DK 	9 	z 		ndudzu DK z 9 . Ndudzu imba inochengeterwa zvirimwa zvinenge zvakohwewa, kupurwa kana kuchokonyorwa. hozi 9 .
ndugu 	KD 		ny 		ndugu KD ny . Kuti ndugu ruzha runoitika panenge pachitsemurwa dombo, pachibuda utsi.
nduku 	KD 		pr 		nduku KD pr . duku .
nhamu 	KD 	9>10 	z 		nhamu KD z 9>10 . nhamo 9 .
nyapu 	KD 		ny 		nyapu KD ny . Kuti nyapu kurova zvishomanana nekashamhu kaduku katete. Kana mwana mudiki achirangwa, anongonzi nyapu zvisingarwadzi.
mwaru 	KD 		ny 		mwaru KD ny . Kuti mwaru kutsemura chinhu chakaita sebepa kana jira. bvaru .
mwau 	DK 		ny 		mwau DK ny . Kuti mwau kubvarura chinhu chakaita sehembe, wakabata nemaoko maviri.
mwechu 	KD 		ny 		mwechu mwachu KD ny . Kuti mwechu kubvaruka kwehembe kana jira rinongoerekana ratsemuka. Paakandidhonza zvine simba, hembe yangu yakabva yati mwechu. Kuti mwechu kunyemwerera kuya kunotyora, kunoburitsa kunaka kwese kwemunhu.
ndundu 	DK 	9>10 	z 		ndundu DK z 9>10 . Ndundu imhuka inoda kuenzana nemhembwe, inowanzofura mashizha nemaruva emuti.
nduru 	D- 	9 	z 		nduru D- z 9 . Nduru inzara yakakura.
nduru 	K- 	9>10 	z 		nduru K- z 9>10 . Kahomwe kane mvura yakasvibira inovava, kanowanikwa pachiropa chemhuka kana chemunhu. chanduru 7 .
mwengu 	KD 		ny 		mwengu KD ny . Kuti mwengu kunyemwerera zvisingaende kure. Kuti mwengu kutaura manyepo.
mwenyu 	KD 		ny 		mwenyu KD ny . Kuti mwenyu kusekerera kunoita vana vacheche kana vaakurezveka.
ndutu 	D- 				ndutu D- . Kuti ndutu kukwira pamosoroso pechikomo kana kuti gomo.
njadagu 	KKD 		ny 		njadagu KKD ny . Kuti njadagu kudonha nemanhede, wobva warovera nomusoro nomusana. gaga .
mweu 	DK 		ny 		mweu DK ny . Kana hembe ikati mweu inenge yabvaruka sezvainoita kana ikabatwa newaya. Pandaibuda muchovhamubaiwa iya, bhurukwa rangu rakakakatwa nechipikiri pamusuo, rikabva rati mweu.
ndyu ndyu ndyu 	K- 		ny 		ndyu ndyu ndyu K- ny . Kuti ndyu ndyu ndyu mamhanyiro anoita bhiza richiita mutsindo.
njanganju 	KKD 				njanganju KKD . Kuti njanganju kudimbura nyama kuita zvidimbu zvidikidiki kuti igova nyore kuidya.
n'abu 	KD 		ny 		n'abu KD ny . Kuti n'abu kuruma chidimbu chechinhu chakaita senyama. n'abvu .
n'aru 	D- 				n'aru D- . Kuti n'aru kuramba kutumwa.
n'au 	KD 		ny 		n'au KD ny . Kuti n'au kuruma kunoita mhuka nyama.
neku neku 	KD+ 		ny 		neku neku KD+ ny . Kuti neku neku kufamba uchiti ukaenda uko wodzoka zvisina kana nechinangwa chose.
nengeshu 	KKD 		ny 		nengeshu KKD ny . Kuti nengeshu kupwanya chinhu chakaita sehari, kusvika chaita mabandi mabandi.
njengu 	KD 		ny 		njengu KD ny . Kuti njengu kurova munhu neshamhu yakakora, asi uchinyanya kurova musoro.
nhemeramuvhu 	KKKDK 	9>10 	z 		nhemeramuvhu KKKDK z 9>10 . Uyu munhu ane tsika yekukanya vamwe achikanganisa zvavanenge vachiita muchihwande.
nhendamurandu 	DDDKD 	9 	z 		nhendamurandu DDDKD z 9 . Uyu muripo unobhadharwa kudare nomunhu anenge abatwa nemhosva, achiratidza kuti abvuma mhosva yake.
nhepfutepfu 	KDKD 	9 	z 		nhepfutepfu KDKD z 9 . Apa panhu pakaita sepamubhedha, pakanyorovera kugara kana kurara.
n'azhu 	KD 		ny 		n'azhu KD ny . Kuti n'azhu kutsenga zvinonzwika. n'an'azhu, gazhu . Kuti n'azhu kuruma mazino achipinda munyama asi usingadamburi.
n'en'edu 	DDK 		ny 		n'en'edu DDK ny . Kuti n'en'edu kutsenga chinhu chakaomarara. gegedu .
nengesvu 	KKD 		ny 		nengesvu KKD ny . Kuti nengesvu kudzokera kumashure zvishoma womira, washamiswa kana kuti watyiswa nechimwewo chinhu. Paakaona chinhu chainge nyoka chiri mugwenzi, akati nengesvu, ndokunatsobokorera ari seapo.
nheputepu 	KKKD 	9 	z 		nheputepu KKKD z 9 . Uku kufamba kwekuenda kumativi, kana kuti kuzeya zeya. Apa panzvimbo panotepfenyurirwa mashoko anozobuda mumaredhiyo kana mumaterevhizhoni.
naku 	KD 		ny 		naku KD ny . Kuti naku kushandisa chimuti kana chimwe chinhu, kubvisa chimwewo chinhu pachinenge chiri, nekukasika.
ngabu 	KD 		ny 		ngabu KD ny . Kunzi ngabu kutemwa nedombo mumusoro.
nhimbu 	KD 	9>10 	z 		nhimbu KD z 9>10 . Nhimbu inzira yekudimbudzira kusvika kune imwe nzvimbo. Nhimbu maitiro ekuti kana uchiita chinhu haudi kutevedza matanho ese anenge achitarisirwa, nokuti unenge uchida kuchimbidza kupedza.
namu 	DK 		ny 		namu DK ny . Kuti namu kutora chinhu uchikasira chaizvo. Paakati namu musuva wesadza wanga wasara, akabva asimuka ondogeza maoko.
njuzu 	DK 	9>10 	z 		njuzu njuzi DK z 9>10 . Njuzi chipuka chinonzi chine musoro wemunhu nemuswe wehove, chisingaonekwi manga manga uye chinogara mumvura. Wese atorwa nenjuzu kuiswa pasi pedziva anodzoka yave n'anga yamandorokwati.
nanu 	KD 		ny 		nanu KD ny . Kuti nanu kubvisa hembe pawaya, kana chimwewo chinhu pachinenge chakayanikwa.
ndadzu 	D- 		ny 		ndadzu D- ny . Kuti ndadzu kutenderera kunoita maziso zvishoma nezvishoma, sezvinowanzoita munhu afenda kana ava kuda kufa.
ngomhu 	KD 		ny 		ngomhu KD ny . Kuti ngomhu kukotama wakaisa musoro mberi.
nungu 	DK 	9>10 	z 		nungu DK z 9>10 . Nungu rudzi rwekamhuka kane tumiseve muviri wose, kanofamba usiku nokudya zvirimwa nemichero. ngwewewe 9 .
ngundu 	D- 	9>10 	z 		ngundu ngudu D- z 9>10 . Ngundu inguwani ine manhenga, inopfekwa namambo kana nesvikiro kana vamwewo vane zvinzvimbo zvikuru.
ngunduru 	K- 		ny 		ngunduru K- ny . Kuti ngunduru kurira kunoita mudziyo wesimbi kana wadonha.
nyadu 	KD 		ny 		nyadu KD ny . Kuti nyadu kucheka kana kupara ganda zvishomanene. Kana nyora dzichitemwa dzinongonzi nyadu, pozorwa mushonga.
nyadzu 	D- 		ny 		nyadzu D- ny . Kuti nyadzu kusumudza zvinorema. Akati zigate ramasvusvu nyadzu, ndokutiza naro.
nyaguru 	DKK 	5/9 	z 		nyaguru DKK z 5/9 . Mhepo ya nyaguru imhepo yakasimba. Mvura ya nyaguru imvura yakasimba.
nyahururu 	D- 	1a 	z 		nyahururu D- z 1a . Uyu munhu ane vhudzi refu asi risina kukamiwa.
-nhu 			dz z 		-nhu dz z . Iri zidzitsi remazita rinoreva chese chese zvacho chinofema nechisingafemi, chatinoona kana chatisingaone. Vanhu vanogara nezvinhu zvakasiyana-siyana pasi pano. Mwana wenyu haana unhu.
nhudyutudyu 	DKDD 	10 	z 		nhudyutudyu DKDD z 10 . Ichi chikafu chakaita semupunga kana manyuchu, chinenge chisina kunyatsoibva, chiine dzimwe tsanga dzakaoma mukati.
ndefu 	DK 	9 	z 		ndefu DK z 9 . Iri izwi rinoshandiswa kureva chinhu chakareba. Atora nguva ndefu ari parunhare. -refu .
nguru nguru 	D- 		ny 		nguru nguru ngara ngara, nguri nguri D- ny . Kuti nguru nguru kufambisa maziso kunoita munhu anenge ari kunyara zvaaita. Akati maziso nguru nguru, paakanzi ndiye aba nyama. Kuti nguru nguru kuchukucha bhodhoro rine mvura kuti richene.
ngurungundu 	D- 		ny 		ngurungundu D- ny . Kuti ngurungundu kurira kunoita mudenga kana kuchinaya mvura ina mabhanan'ana, kana kuomba kunoita mhuka sokuti imbwa kana yatsamwa sezvingaita imbwa.
ngururu 	DKD 	9>10 	z 		ngururu DKD z 9>10 . Ngururu imhuka yomusango inogara mumakomo, yakada kufanana nemhembwe asi iine ruvara rwakada kuita sedota.
nyakungu 	DKK 	9 	z 		nyakungu DKK z 9 . rovambira 5 .
nhuku 	D- 	9 	z 		nhuku D- z 9 . Nhuku kututumara kunoita pamusana kana pahota yemunhu. hwenze 14, nundu 9 .
nhukutuku 	D- 	10 	z 		nhukutuku D- z 10 . Nhukutuku kuwanda kwezvitutu zvezvinhu panzvimbo imwe chete. Nhukutuku kuzvimba kwenzvimbo yomuviri inenge yarumwa nenyuchi kana mago.
nhundu 	K- 	9>10 	z 		nhundu K- z 9>10 . Nhundu chimba chemago. mhundu 9 . Nhundu midziyo nehembe zvinotakurwa nomunhu kana ari parwendo.
nhundundu 	D- 	9 	z 		nhundundu D- z 9 . Kana denga rakati nhundundu kunenge kune makore.
ndengu ndengu 	D- 		ny 		ndengu ndengu D- ny . Kuti ndengu ndengu kuhuta kunoita abatwa nechando kana avhundutswa.
nguyu nguyu 	DK+ 		ny 		nguyu nguyu DK+ ny . Kana mubato wemudziyo uchiti nguyu nguyu unenge uchifamba- famba usina kubatira zvakasimba. Kuti nguyu nguyu kutsenga kunoita munhu asina mazino mumukanwa. -nguya -nguya .
nyamafingu 	DDKD 	9>10 	z 		nyamafingu nyamafungu DDKD z 9>10 . Iyi inyoka ine uturu nemavara matema nemachena, inosimudza musoro nekuzvimbisa musoro nemutsipa kana yatsamwa.
nhunduru 	D- 	9>10 	z 		nhunduru D- z 9>10 . Nhunduru makonye anowanzouya akawanda, achidya minda yezvirimwa nenguva pfupi.
nhungu 	K- 	9>10 	z 		nhungu K- z 9>10 . Nhungu inzvimbo inochengeterwa chibage chisati chatokonyorwa, kana dzimwewo mbeu dzisati dzarongedzwa mumasaga nemumatura. rujada 11 .
nhunguru 	DDK 	9>10 	z 		nhunguru DDK z 9>10 . |Nhunguru| rudzi rwemuchero wakaita kadenderedzi, unoita mutema kana uchinge waibva, unoberekwa nemuti unonzi mu|nhunguru.
ndimu 	KD 		ny 		ndimu KD ny . Kuti ndimu kuparadzana nekukasika kwevanhu, mhuka kana zvinhu zvakawanda. Shiri dzakanga dziri pazviyo dzakabva dzati ndimu pakarira mugwendere.
nyamu 	D- 		ny 		nyamu D- ny . Kuti nyamu kusimuka nekukasika. Kuti nyamu kusimudza chinhu nekukasika. Hari yenyama yakanzi nyamu pamoto.
nhuru 	D- 	9>10 	z 		nhuru D- z 9>10 . Nhuru rudzi rwembeva ine mavara akasiyana.
nhutukutu 	D- 	9>10 	z 		nhutukutu D- z 9>10 . Iyi ihove inogara mumvura isina kunyanya kudzika, ine ivhu rine musheche wakawanda.
nyandu 	D- 		ny 		nyandu D- ny . Kuti nyandu kumira kunoita vhudzi remunhu kana richinge risina kukamwa, kana kuti wabatwa nokutya. Pandakapfuura nepamakuva usiku, ndakanzwa vhudzi rangu kuti nyandu nemusoro wangu. Kuti nyandu kukwakuka kunoita munhu paambenge agere.
mvuu 	DK 	9>10 	z 		mvuu DK z 9>10 . Mvuu imhuka hombe inogara mumvura, inodya uswa nemashizha.
mwaiyangu 	DKKK 	1 	z 		mwaiyangu DKKK z 1 . Iri izwi rinoshandiswa kureva kuti shamwari yangu. mabiyangu 1, mwaiyako 1 .
mwambabvu 	DKD 	3 	z 		mwambabvu mwandabvu DKD z 3 . Mwambabvu kuzvimba kunoita muhapwa kana panosangana makumbo, kunogona kukonzerwa nechironda chinenge chiri paimwewo nhengo yemuviri.
nhambutambu 	DKDD 	9>10 	z 		nhambutambu DKDD z 9>10 . Uku kuramba uchiedza kugadzirisa zvinonetsa. Pairwara mwana, takaita nhambutambu kuenda kumadhokotera akawanda tichiti chirwere chipere.
nyangadu 	KKD 		ny 		nyangadu KKD ny . Kana chinhu chakaita godo chati nyangadu , chinenge chapera ugodo hwacho, sezvinoita shuga yaiswa mumvura.
-mepfu 	KD 		ny 		-mepfu mopfo KD ny . Kuti mepfu kudimbura kana kuruma chekudya chakanyorovera. Akati mepfu mbambaira yaive yanyatsoibviswa zvakanaka nambuya, achibva anzwa parere mwoyo. mepfenyu .
mepu 	KD 	9<10 	z 		mepu mapu, mepo KD z 9 <10 . Mepu mufananidzo unoratidza nyika dzakasiyana- siyana, kana kuti nyika nematunhu ayo kana kuti dunhu kana kuti guta nemisha yaro, zvese nenzizi, makomo, migwagwa nezvimwewo.
mutatu 	DDK 	3 	z 		mutatu DDK z 3 . Mutatu kurongwa kwemapfihwa, ari matatu, pachoto. Mutatu ibhasikoro rinochinjwa kuti ripfave kana kuti riome pakuchovha. Mutatu itsoro inotambwa nevanhu vaviri, inonyorwa ine makona matatu, nezvekutambisa zvacho, zvitatu pamunhu. Mutatu chidavado chekuruka tyava kana tambo, uchishandisa tambo diki, dzinenge dzichipindana, dziri nhatu. Mutatu kufamba nemakumbo matatu kunoita imbwa, kana imwewo mhuka ine makumbo mana, kana yakuvara rimwe gumbo.
mudhudhudhu 	D- 	3 	z 		mudhudhudhu D- z 3 . Uyu mushini wekufambisa, une mavhiri maviri sebhasikoro, asi uine injini uye uchishandisa peturu. motobhaiki 9, motobheki 3 .
mudhunduzuru 	D- 	3 	z 		mudhunduzuru D- z 3 . Uyu mupanje unosara usina kurimwa mumunda nekuda kwekuti gejo ranzvenga, kana kuti panenge pane ibwe kana muti. Aka kakoronga kari pakati pamagaro emunhu.
mvungurungu 	DKDD 	9>10 	z 		mvungurungu DKDD z 9>10 . Uyu murume murefu anotyisa, anoita ukasha kana adenhwa.
mupunu 	DKD 	1 	z 		mupunu DKD z 1 . Mupunu munhu anofamba asina chaakapfeka.
mutenu 	DKD 	3 	z 		mutenu DKD z 3 . Iyi inzvimbo inenge yakadzikira kana uchibva pakakwirira. mudzakisirwa 3 .
mhashu 	D- 	9>10 	z 		mhashu D- z 9>10 . Mhashu chipembenene chinodyiwa, icho chichidyawo zvirimwa, uswa kana mashizha emiti. hwiza 9, ndongwe 9 .
mudzimu 	DKK 	1 	z 		mudzimu DKK z 1 . Mudzimu mweya wemunhu mukuru akafa, unotenderwa nevanhu vazhinji kuti unochengeta mhuri kana kurangawo vanenge vabuda mugwara.
mupururu 	DKKK 	3 	z 		mupururu DKKK z 3 . Iyi imhere yekufara inoridzwa nemadzimai vachiratidza rufaro, ruremekedzo kana rutendo. mhururu 9 .
murambamhuru 	DKKDK 	3 	z 		murambamhuru mutambamhuru DKKDK z 3 . Uku kumhanya kunoita mombe yakasimudza muswe mudenga.
murandu 	DDK 	3 	z 		murandu DDK z 3 . Murandu imhosva kana zvikanganiso zvemunhu, kana zvaanonzi anokanganisa. mhaka 9 .
mhenyu 	DK 		pr 		mhenyu DK pr . Ichi chipauro chemipanda 9 ne10 chinoreva kuti chinhu chiri kutaurwa chichiri kurarama. -penyu .
muratu 	DKD 	3 	z 		muratu DKD z 3 . Muratu izambuko rinobatwa netambo dzesimbi dzinenge dzichibva mhiri nemhiri kwerwizi. mudhefudhefu 3 .
mutondochuru 	D- 	3 	z 		mutondochuru D- z 3 . Uyu muti unomera pazvuru, unobereka vana vakaomarara, vane mhodzi tsvuku mukati mavo.
mutoweguru 	DDKDD 	3 	z 		mutoweguru DDKDD z 3 . Iyi ishiri ine muviri une ruvara rweyero nomusoro mutema yakakura kunge chidzvururu inoshandisa mvere kuvaka dendere rayo. gochihwo 5 .
mhindu 	DK 	9<10 	z 		mhindu DK z 9 <10 . Mhindu ipfungwa dzinokwanisa kusanduka nokukasira, zvichienderana nemamiriro ezvinhu, izvi zvichibva zvaita kuti ukurumidze kuruka zano rinobatsira. Ukava nemhindu muhondo unorarama.
mhiramidzimu 	KKDKK 	9 	z 		mhiramidzimu KKDKK z 9 . Uyu munhu wechikuru anenge achitaura nekuchingamidza midzimu yemhuri panenge pachipirwa midzimu. Iyi imhuka yakaita semombe inourayiwa panenge pachipirwa mudzimu.
muru 	KD 	9>10 	z 		muru KD z 9>10 . bhaudhi 5 .
muruguru 	DKDK 	3 	z 		muruguru DKDK z 3 . Aka kamuti kane mashizha akasvibira, kane minzwa mipfupi, kanobereka vana vanobuda mukaka kana vari vambishi, vanozoibva vachiita vatema. mudzambara 3, mumbambara 3 .
mutsubvu 	DKD 	3 	z 		mutsubvu mukubvu DKD z 3 . Mutsubvu muti unobereka michero inonzi tsubvu kana hubvu, inoti kana dzaibva dzinenge dziri nhema nhema ganda zvose nemukati, kana ukadzidya dzosvibisa mukanwa. muhubvu 3 .
mhou 	KD 	9>10 	z 		mhou KD z 9>10 . Mhou imombe hadzi yakambobereka. mhowani 9 . Mhou ishiri huru kudarika dzimwe dzose, isingagoni kubhururuka asi ichimhanya zvikuru, uye ine nyama inonaka seyemombe. mhowani 9 .
mugugunanzvu 	DKDKD 	3 	z 		mugugunanzvu mugugunanzvi DKDKD z 3 . Utwu twuhutapitapi twunowanikwa kubva mumaruva emimwe miti. Kutapira kwemugugunanzvu kunopinda tsvigiri.
murundu 	DKK 	3 	z 		murundu DKK z 3 . Murundu iganda rinovhara mberi kwechinoitiswa weti nevanhurume. Murundu kuchecheudzwa nekubiswa kunoitwa ganda rinovhara mberi kwechinoitisa weti chemunhurume. Murundu inzvimbo inombogarwa nevachangoyaruka pavanenge vachichecheudzwa. Murundu inzvimbo diki inogona kuitirwa mitambo nevana vadiki.
mutundu 	DKK 	3 	z 		mutundu DKK z 3 . Mutundu zvinhu zvakawanda zvinenge zvakasungirirwa pamwe chete mumucheka. mukwende 3 .
muturu 	DKD 	3 	z 		muturu DKD z 3 . mutariko 3 .
mututu 	DKK 	3 	z 		mututu DKK z 3 . Mututu chirwere chinoita kuti munhu abude ropa mumhuno, kazhinji kana kuchipisa. mhuka 9, muhotwe 3, mutsotso 3 . Mututu imhepo yakasimba.
mhumhu 	DK 	3 	z 		mhumhu DK z 3 . Mhumhu kukura kwemuviri wemunhu. Chenai ane mhumhu mukuru chaizvo, zvekuti anotoita kunge mhandara iye ari mwana wazuro chaiye. mumhu 3 .
mhundu 	K- 	9>10 	z 		mhundu K- z 9>10 . Mhundu mukosi wekugadzirisa rukukwe. Mhundu idendere rembuzvambuzva rinovakwa nevhu. nhende 9, nhindi 9, nhundu 9 .
mhungu 	K- 	9>10 	z 		mhungu K- z 9>10 . Mhungu inyoka huru nhema inowanzogara muzvuru, ine uturu hunouraya.
mhupupu 	K- 	9>10 	z 		mhupupu K- z 9>10 . Iyi ishiri ine zhumu pamusoro wayo, yakada kuenzana nenjiva, inoita matendere ayo mumwena kana mumhango, uye inodya makonye notupuka tudiki. tuvo 9 . mhupurira 9 .
mhururu 	K- 	9>10 	z 		mhururu K- z 9>10 . Mhururu imhere yemufaro, inowanzoitwa nemadzimai achirova-rova miromo nemaoko. mupururu 3 .
musandusandu 	D- 	3 	z 		musandusandu D- z 3 . Uku kupinduka kwezvinhu iwe usingazvifungiri. Musandusandu yegore rino yandikonesa kunyatsoronga zvinhu zvangu zvakanaka.
muuyu 	DDK 	3 	z 		muuyu muwuyu, muvuyu DDK z 3 . Muuyu rudzi rwemuti wakakura zvikurusa, unowanzowanikwa munzvimbo dzakaderera, unobereka vana vanodyiwa vanonzi mauyu, vane mvere kunze nechikanda chakaomarara.
mhuu 	K- 	9 	z 		mhuu K- z 9 . Mhuu rudzi rwesora rinoita mhodzi dzinonamira kana dzanzvenzverwa.
miningu miningu 	KKD+ 		ny 		miningu miningu KKD+ ny . Kuti miningu miningu kuruka kunoratidza unyanzvi.
mushamhu 	DDK 	3 	z 		mushamhu DDK z 3 . Iyi imari inobhadharwa neanenge amhan'ara padare kuti chichemo chake chinzwikwe. shamhu 9 .
muvhandu 	DDK 	3 	z 		muvhandu DDK z 3 . Muvhandu kubika chikafu chakawandisa munhu asingapimi. mamvonzo 3 . Muvhandu makaro anoita kuti munhu adye achikasika.
muweru 	DDK 	3 	z 		muweru DDK z 3 . Muweru imvura yakachena inosara pamusoro, masese edoro adzika pasi pehari.
muKristu 	DKD 	1<6 	z 		muKristu DKD z 1 <6 . Uyu munhu anotendera mushoko raMwari sekuparidzwa kwarakaitwa naJesu Kristu.
mushanu 	DKD 	3 	z 		mushanu DKD z 3 . Mushanu kumhoresana muchibvunzana upenyu nezvimwe zvose.
muzukuru 	DKKD 	1 	z 		muzukuru DKKD z 1 . Uyu mwana wemwana. Uyu mwana wehanzvadzi. Iri izwi rinoshandiswa nevanhu vechikuru kana vachidaidza kana kutaura nevana vadiki kwavari, vangangoita zera revazukuru vavo ivo.
muzungu 	DDK 	1 	z 		muzungu DDK z 1 . murungu 1 .
mukuwashazukuru 	DDKKDDD 	1 	z 		mukuwashazukuru mukwashazukuru DDKKDDD z 1 . Uyu mwana wemukuwasha.
mukuyu 	DDK 	3 	z 		mukuyu DDK z 3 . muonde 3 .
mushuku 	D- 	3 	z 		mushuku D- z 3 . muzhanje 3 .
mbiruviru 	KDKD 	9 	z 		mbiruviru KDKD z 9 . chitubu 7 .
mu-u 	K 		ny 		mu-u mhu-u K ny . Kuti mu-u kuchema kunoita mombe.
mbu-u 	K 		ny 		mbu-u K ny . Kana hembe ikawachwa ikati mbu-u inenge yachena chaizvo.
mbudu 	K- 	9<10 	z 		mbudu K- z 9 <10 . Mbudu ndepakasonwa pahembe, pakashama kuti pagochengeterwa mari kana zvimwe zvinhu. homwe 9 .
mbumburu 	DKD 	9<10 	z 		mbumburu DKD z 9 <10 . Mbumburu kasimbi kakaurungana, kanobuda mupfuti kana yaridzwa, kanova ndiko kanouraya kana kukuvadza kana kabaya munhu. bara 5, nyere 9 .
mubayanzou 	D- 	3 	z 		mubayanzou mubayazhou D- z 3 . Urwu rudzi rwemuti une minzwa inokura chaizvo.
mubhunu 	DDK 	1>6 	z 		mubhunu DDK z 1>6 . Mabhunu izwi rekunyomba rinoshandiswa kureva vanhu vechichena, kunyanya vashandirwi, sezvakaita masapurazi. muRungu 1 .
mungwaru 	DDK 	1 	z 		mungwaru DDK z 1 . Mungwaru munhu akachenjera anoziva zvekutaura kana kuita.
munhu 	D- 	1 	z 		munhu D- z 1 . Munhu chisikwa chakaita sewe neni, chinotaura nekufunga zvikuru uye chinofamba nemakumbo maviri.
munhunguru 	DDDK 	3 	z 		munhunguru DDDK z 3 . Uyu muti unoita muchero wakaurungana, unotsvukuruka kana waibva, uchiitisa hambe kana uchinge waudya usina kuibva.
musumburumbu 	DKKKK 	3 	z 		musumburumbu DKKKK z 3 . Izvi zvinhu zvakawanda zvinenge zviri pamwe chete. Hombarume ndakaiona nemusumburumbu weshiri.
mbundu 	D- 	9<10 	z 		mbundu D- z 9 <10 . Mbundu kanjumba kanotakurirwa zvinhu, kunyanya mari. homwe 9 .
mbutu 	DK 	9<10 	z 		mbutu DK z 9 <10 . beche 5 .
munungu 	DDK 	3 	z 		munungu DDK z 3 . Munungu ndechakafanana nemunhenga, chakatesva kumagumo, chinowanikwa pamuviri wenungu.
mususu 	DKD 	3 	z 		mususu DKD z 3 . Uyu muti unokura zviri pakati nepakati, unoshandiswa kuveza zvinhu zvakaita sezvikei nemajoki. mukonono 3 .
musvuu 	DDK 	3 	z 		musvuu DDK z 3 . Musvuu musoro unogerwa kusara usisina kana kabvudzi. baravara 5 . Musvuu ihuku isina makushe muhuro. Musvuu munhu asina mari kana upfumi hwekuti azvibatsire.
mbwizhu 	DK 	9 	z 		mbwizhu mbwezhu DK z 9 . Mbwizhu isadza rinenge risina kubikwa rikanyatsoibva zvakanaka. mbodza 9, bure 5 .
mutambausiku 	DDKDKK 	3 	z 		mutambausiku DDKDKK z 3 . Uyu muti werumwe rudzi rwemutamba.
sekuru 	DKD/K- 	1a 	z 		sekuru DKD/K- z 1a . Sekuru ihanzvadzi yamai kana baba vevabereki vako.
simu 	KD 		ny 		simu KD ny . Kuti simu kukasira kusimuka. Vanhu pavakaona nyoka vakabva vati simu.
tetenu 	KKD 		ny 		tetenu KKD ny . Kuti tetenu kudya zvinhu zvakaoma, uchiita zvokubanda.
tetsu 	KD 		ny 		tetsu KD ny . Kuti tetsu kubudisa zvakawanda nhambo imwe chete. Nguruve yedu yakati tetsu tuvana gumi notuviri.
teu 	KD 		ny 		teu KD ny . Kuti teu kubuda kunoita mvura mainenge yakachengeterwa, ichienda pasi. Kuti teu kunyura kunoita zuva seri kwemakomo. pote .
rukushu 	D- 		ny 		rukushu D- ny . Kuti rukushu kurara wakaneta, muviri usina simba.
rukutu 	D- 		ny 		rukutu D- ny . Kuti rukutu kushaya simba mumuviri, nokuda kokuneta kana kokurwara.
