a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
mata 	D- 		ny 		mata D- ny . Kuti mata kunamira pane chimwe chinhu. kwavarara . Kuti mata kumhanya zvakasimba usingacheuki kana zviya uchitiza.
matafanirwa 	D- 	6 	z 		matafanirwa D- z 6 . Iyi imari kana chimwewo chinhu chinopihwa muridzi wechipfeko chinenge chapfekwa nemumwewo munhu, kana chamugara zvekuti anenge ochida iye, saka zvine anenge opa muridzi wechipfeko chimwewo chinhu chekubata.
matakanana 	D- 	6 	z 		matakanana matakanyanya D- z 6 . Aya matambiro anoita vana vachiri vadikidiki vachiteedzera zvinowanzoitwa mudzimba nevakuru, sezvakaita kubika vachitamba nemavhu nemvura. Iri ibasa risina kuita zvakanaka, rinenge raitwa nemunhu mukuru, zvoita kunge dambe repwere.
madziro 	D- 	6 	z 		madziro D- z 6 . Madziro mudhuri kana chimwe chinhu chinovharidzira kuti zviri mukati zvisaonekwe. Madziro emba yake matetetete, zvekuti unotonzwa zvinenge zvichitaurwa nevanenge vari mune imwe kamuri.
madziya 	DKD 	6 	z 		madziya DKD z 6 . Madziya inguva yezuva inenge kunze kwava kupisirira, munguva yechando.
maedzera 	D- 	6 	z 		maedzera D- z 6 . Maedzera kuona mifananidzo yezvinhu kana chinhu mudenga, kusina nekakore kose, kuchipisa. chadzera 7 .
maererano 	D- 	6 	z 		maererano D- z 6 . Uku kuenderana kunoita zvinhu, sezvakaita mibairo ingapihwa vana vechikoro, zvichienderana nekugona kwavanenge vaita zvidzidzo zvavo. Sevanhu vemaricho kudai, tinongobhadharwawo maererano nekushanda kwatinenge taita musi iwoyo.
mafararira 	D- 	6 	z 		mafararira mufararira D- z 6 . Ava vanhu kana mhuka dzakawanda chaizvo, dzakazadza nzvimbo. rufararira 11 .
mafashafasha 	D- 	6 	z 		mafashafasha D- z 6 . Uku kuzara kwemvura inoerera murwizi kana pamwewo zvapo, mushure mekunaya kwemvura zhinji. guve 5 .
mafemo 	D- 	6 	z 		mafemo D- z 6 . Uku kufema kunoitwa nemunhu mushure mokunge aita chinhu chinonetesa, kana kuti achirangarira matambudziko.
mafi 	DK 	6 	z 		mafi DK z 6 . Mafi kugara uchinzwa kuvenga mumwe munhu. daka 5, chigumbu 7, bundu 5, rutodo 11 .
mafifinya 	DKKD 	1a 	z 		mafifinya DKKD z 1a . Uyu munhu akashata pameso chaizvo. mafidibo 1a . Mafifinya rufuro runenge rwuri pamusoro pemvura iri kuvira pamoto.
mafo 	DK 	6 	z 		mafo DK z 6 . Mafo ndekwekupedzisira kwenguva yechiitiko, kana kufa kwemunhu kana mhuka.
mafufu 	DKD 	6 	z 		mafufu DKD z 6 . Mafufu umvurumvuru hunosara hwakangomwararika kubva pane zvamanga muchidya, zvakaita sechingwa. Mafufu makanda anoputira tsanga dzechibage kana kuti nzungu kana zvimwewo zvirimwa.
kindingindi 	K- 		ny 		kindingindi K- ny . Kuti kindingindi kutanga chinhu chakaomarara kana kuti chinotyisa. Paakangoti jongwasi kindingindi rakabva ramutunga muziso.
kipa 	KD 	1a>6 	z 		kipa KD z 1a>6 . kipasitoro 1a . gedhebhoi 1a .
kipi kipi kipi 	KD+ 		kanu 		kipi kipi kipi KD+ kanu . kipu kipu .
kipu kipu 	KD+ 		kanu 		kipu kipu KD+ kanu . Kana uchiti, " Kipu kipu , " unenge uchidaidzira huku kuti dziungane pauri, kazhinji uchitodzimwaira tsanga kuti dzidye. kipi kipi kipi .
kirabhu 	DKD 	9>10/6 	z 		kirabhu DKD z 9>10/6 . Kirabhu ibato kana kuti chikwata chevanhu vanobvumirana nechinangwa chimwe chokuita zvinhu zvimwe chete. Ndiri nhengo yekirabhu yemadzimai yokusona. Shamwari, ko bhora wava kutambira kirabhu ipiko mazuvano? Kirabhu inzvimbo inoshandiswa nenhengo kana sangano kuitira mitambo yakasiyana, kana kutandarira vanhu vachinwa zvavo. Uchasvika kurirabhu here nhasi manheru?
kireni 	DKD 	9>10/6 	z 		kireni DKD z 9>10/6 . Kireni muchini mukuru unosevenzeswa kusimudza zvinhu zvinorema, nokuzvitakura kuzviturika mudengadenga kana kuzvidzikisa kuisa pasi. Vavaki vedzimba dzomudurikidzwa mumadhoroba vanoshandisa kireni kukwidza zvidhina nezvimwe zvavanenge vachivakisa nazvo.
kiri kiri 	D- 		ny 		kiri kiri D- ny . Kuti kiri kiri kumhanya kunoita mhuka ichitiza zvakanyanya chaizvo.
kirike 	KDK 	9 	z 		kirike KDK z 9 . kereke 9 .
kirimu 	DKD 	9 	z 		kirimu DKD z 9 . Kirimu ruomba kana kuti mafuta anotorwa nechepamusoro pemukaka.
kiriniki 	DKDD 	9>10/6 	z 		kiriniki DKDD z 9>10/6 . Kiriniki kachipatara kadiki, kazhinji kanenge kasina chiremba anoshanda achigarapo, uye kanorapwawo zvirwere zvidiki zvisingadi madhokotera.
kiriri 	K- 		ny 		kiriri K- ny . Kuti kiriri kutsika kwaunoita bhora uchirimisa. Kutiti kiriri kumaka kwaunoita munhu muchitamba, nhabvu paya paunenge wava kuedza kumutorera bhora racho.
-kuya 	D 				-kuya D it . Ku kuya kushandisa huyo paguyo kuita kuti zvaunenge uchitsonda zvitsetseke. Kare muroora achiperekwa, aitarisirwa kuti anosvika kumba kwavamwene achikuya zviyo zvekubikisa sadza.
-kuzha 	K 				-kuzha K it . Ku kuzha kutemha michero uchipotsera nemabwe kana mabonza, zvekuti kunenge kuchingodonha yakaibva zvese neisina.
-kuzhumura 	K 				-kuzhumura -kozhomora K it . Ku kuzhumura michero kuitemha uchisiya mumuti musisina. Ku kuzhumura kutemha michero zvisina musoro, uchipotsera nematombo kana maponza. Baba vakapopota chaizvo pavakawana takuzhumura mengo dzazara pasi.
kuzvu 	DK 		ny 		kuzvu DK ny . Kuti kuzvu kukuvara zvishomashoma kwekungobva rukanda rwepamusoro, mushure mekukweshera pamwe panhu.
-kuzvura 	D 				-kuzvura D it . Ku kuzvura kukuvadza munhu uchimukwesheresa pane chimwe chinhu. Kana munhu achi kuzvura chibage anenge achichitokonyora achikwizira padombo.
kwa- 	K 		vs 		kwa- K vs . Ichi chivakashure chinoratidza muridzi wechinhu kana nzvimbo. Kumusha kwavo vanodya magakanje.
-kwabaira 	K 				-kwabaira K itik . Ku kwabaira kufamba kwemunhu kana mhuka ine nzara.
-kwabuka 	K 				-kwabuka K itik . Ku kwabuka kuzaruka kwechinhu mushure mekunge chadhonzwa nesimba. Ku kwabuka kusimuka kwerimwe divi rechinhu change chakatsvetwa pasi. Ku kwabuka kubva kwechinhu pachange chakanamirwa, mushure mekushandisirwa chisimba.
kwacha 	D- 		ny 		kwacha D- ny . Kuti kwacha kuwira pasi kwezvinhu zvichiita ruzha. Tsotsi payakaedza kuredza chikwama chaive chizere nemari, muridzi wacho akabva atendeuka, zvekuti chikwama chiya chakabva chadonha chichiti kwacha.
-kwacharika 	D 				-kwacharika D itik . Ku kwacharika kuita ruzha kunoita zvinhu zvakawanda zvawisirwa panhu pamwe chete.
matakanyadzana 	DDKKDD 	6 	z 		matakanyadzana DDKKDD z 6 . Uku kutsivana kuya kwekubva vanhu mese mashaya anowana chamanga muchinetserana kana kukwikwidzirana. shaisano 9 .
matanho 	D- 	6 	z 		matanho D- z 6 . Matanho urongwa hwezvitevedzwa zvinotorwa kuenzanisa kana kugadzirisa zvinhu.
matapi 	DKK 	6 	z 		matapi DKK z 6 . Matapi idoro rinonwiwa kuti munhu abvise bhabharasi. mamutsamoyo 6 .
matatapure 	DKKDK 	1a 	z 		matatapure DKKDK z 1a . Uyu munhu anotsvaga mhaka zvinoita kuti vanhu varwe.
mate 	DK 	6 	z 		mate DK z 6 . Mate imvura inogara mukanwa yatinosvipa.
matekeshe 	D- 	6 	z 		matekeshe D- z 6 . Uku kupararira kunenge kwakaita vanhu kana mombe panzvimbo hombe. dekeshe 5, dekeshera 5 .
matemhe 	DDK 	6 	z 		matemhe DDK z 6 . Matemhe zvimedu zvinoputsika kubva padende kana damba rakazara.
matenganagudo 	DKKKKD 	6 	z 		matenganagudo DKKKKD z 6 . Ichi chibvumirano pakati pevaviri kuti vanozopanana chii, kana mumwe nemumwe aitira mumwe wacho chimwe chinhu. Chipo naSofi vakaitirana mutenganagudo apo Chipo akati aizopa Sofi hembe kana Sofi amuwachira. mupananawegudo 3 .
materu 	DKD 	6 	z 		materu DKD z 6 . Materu inzvimbo yakatenukira zasi. ANTONYMS mukwidza 3.
matewo 	D- 	6 	z 		matewo D- z 6 . Matewo kugadzikana kwezvinhu zvese zvichinyatsofamba zvakanaka. Akabvunzwa naambuya vake kuti kuuya kwake aive matewo here, akati hongu paive pasina chakashata kumusha.
matigimu 	DKKD 	1a 	z 		matigimu DKKD z 1a . Matigimu munhu ane mukundo anongorova vamwe nguva dzose.
matiridha 	DKDD 	9 	z 		matiridha DKDD z 9 . Urwu rudzi rwesipo yemavara yekuwachisa.
matironi 	D- 	1a 	z 		matironi D- z 1a . Uyu ndiye mukoti mukuru pachipatara. Uyu mukadzi anochengeta vana pachikoro pavanogarapo.
mafunga mafunga 	D- D- 	6 	z 		mafunga mafunga D- D- z 6 . Kuita mafunga mafunga kubatikana nendangariro.
mafunzi 	DKD 	6 	z 		mafunzi mafunzu DKD z 6 . Iyi inamo inoita munzeve memunhu.
mafuramhepo 	DKDKK 	6 	z 		mafuramhepo DKDKK z 6 . Iyi inzvimbo yakanyatsotambanuka, kumafaro kusina vanhu vakanyanya kuwanda. Iyi inguva pabasa apo mukuru webasa anenge asipo, zvekuti vashandi vanenge vachishanda pavanodira vasina anovati heyi.
mafuruse 	DKDK 	1a 	z 		mafuruse DKDK z 1a . Uyu munhu anokangaidza kana kubvorongodza zvinhu zvinonakidza, kana kuti vanhu vakazvidekarira zvavo. mabvongodze 1a, mafushanise 1a .
mafushunure 	DKKDK 	1a 	z 		mafushunure DKKDK z 1a . Uyu munhu anotaura chero zvakavanzika zvisingafaniri kutaurwa.
mafuta 	DKK 	6 	z 		mafuta DKK z 6 . Mafuta muto unosvinwa kubva muzvirimwa zvakaita senzungu, unoshandiswa pakubikisa. Mafuta ruomba runozorwa mumuviri kana munhu apedza kugeza. Mafuta idikitiki rinoiswa pasimbi dzezvinofamba kuti dzisakwesherana, dzinyatsofamba zvakanaka.
magadziranyika 	D- 	1a 	z 		magadziranyika D- z 1a . Uyu munhu anofamba achiita zvekurimisa vanhu. murimisi 1, mudhumeni 1 .
magamuchidzanwa 	DDKKDK 	6 	z 		magamuchidzanwa DDKKDK z 6 . Iyi itsika inoitwa nevanhu, yavakawana iripo kubva kumadziteteguru avo. matambidzanwa 6 .
maganzvo 	DKK 	6 	z 		maganzvo DKK z 6 . Maganzvo ibira rekukumbira mvura kuvadzimu. mukwerera 3, chipwa 7, marenje 6, mutoro 3 .
magaranhaka 	D- 	1a 	z 		magaranhaka D- z 1a . Uyu munhu anotora pfuma kana zita romufi.
magaro 	D- 	6 	z 		magaro D- z 6 . Magaro inhengo dzomuviri dziri pazasi pomusana uye pamusoro pezvidya dzatinogara pasi nadzo. magadziko 6, matako 6 .
magazhurwa 	DKDK 	6 	z 		magazhurwa DKDK z 6 . Uhwu upfu hwakakuyiwa kana kugayiwa, hukasara nemabande makuru akawanda. magangazhurwa 6 .
-kisa 	K 				-kisa -kitsa K it . -tsvoda .
kisi 	KD 	9 	z 		kisi KD z 9 . tsvodo 9 .
kitibhegi 	KDDD 	9>6 	z 		kitibhegi KDDD z 9>6 . Kitibhegi ihomwe kana kuti nhava diki inoshandiswa kutakurira nhumbi shoma, kazhinji kacho dziri dziya dzaunenge uchida kundoshandisa kumutambo, sowenhabvu. ANTONYMS sutukezi 9.
-kiya 	K 				-kiya K it . Ku kiya kuvhara nechisimbi kana kuti ganje, rinoti kana rabata unotozovhura bedzi nekamwana kesimbi kakagadzirirwa izvozvo. Kiya kiyi yepagonhi kuti mbavha dziregopinda mumba medu tisi pano. ANTONYMS -kiyinura, -kiyinuka. Kana chimwe chinhu chaku kiya chinenge chakubata zvakasasimba. Mupeta wakanga wamukiya. Shamwari, weti yanga yandikiya. -fasa .
kiyinu 	KKD 		ny 		kiyinu KKD ny . Kuti kiyinu kuvhurika kunoita ganje kana watenderedza kamwana karo mukati maro. ANTONYMS kiye.
-kiyinuka 	K 				-kiyinuka K itik . Kana ganje ra kiyinuka rinenge ravhurika. Kana kiyi ichiramba kukiyinuka pamwe unenge uchishandisa kamwana kasiri kayo.
-ko 	D 		bvunz 		-ko D bvunz . Ichi chivakamberi chinoshandiswa pakubvunza mubvunzo chakabatanidzwa nerimwewo izwi. Unodeiko?
ko 	D 		bvunz 		ko D bvunz . Iri izwi rinosevenzeswa paunenge uchibvunza mubvunzo. Ko, zvaita sei nhai? Iri izwi rinoshandiswa richingova roga kupindura mumvunzo, kana nyakupindura achida kuratidza kuti mhinduro yacho iri pachena. Unofunga kuti vangaitenga here motokari inodhura kudai? Ko!
-ko 	K 		dz 		-ko K dz . Iri idzinde rinomirira nyakutaurwa muchirevamwene. Baba vako vari kupi?
kwachata 	D- 		ny 		kwachata D- ny . Kana mari ikawira pasi ichiti kwachata inenge yadonha neruzha ichimwararika-mwararika.
kwachu 	D- 		ny 		kwachu D- ny . Kuti kwachu kubvisa chimedu uchiruma nemazino zvine simba. Kuti kwachu kutora mari kana zvimwe zvinhu zvakawanda panguva imwe cheteyo.
-kwachura 	D 				-kwachura D it . Ku kwachura kubvarura kana kubvisa chinhu pachinenge chakabatira kana kunamira. Mudzidzisi akatsamwira mudzidzi akange akwachura bepa mubhuku rokunyorera. Ku kwachura kutora kana kuba mari yakawanda panguva imwe chete.
-kwadabura 	K 				-kwadabura K it . Ku kwadabura kubvisa chinhu pachakanamirwa. Ku kwadabura kubvisa chinenge chakavhara paunenge uchida kuona.
kwaku 	D- 		ny 		kwaku D- ny . Kuti kwaku kutanga kufamba pasina chifungidziro. Tsotsi payakaona mapurisa yakabva yati kwaku ichipinda mumota, ndiye hutu kuenda.
-kwakuka 	D 				-kwakuka D itik . Ku kwakuka kusvetuka zvine simba, uchienda mudenga kana kubva paunenge ugere.
-kwakura 	D 				-kwakura D it . Ku kwakura kubvuta chiriporipocho, chinhu chinenge chakabatwa nemumwe munhu, kana kuti chinenge chiri pane imwe nzvimbo. Akakwakura chikwama chemari chaiva patafura, achibva ati dhugu panze. -nonga .
-kwakwanura 	D 				-kwakwanura D it . Ku kwakwanura kupara zvinenge zvaomera pamwe panhu nebanga kana chimwe chinhu. Ndinoda kuti ukwakwanure makenduru ese ari pamusoro petafura iyi.
kwakwasha kwakwasha 	D- 		ny 		kwakwasha kwakwasha D- ny . Kuti kwakwasha kwakwasha kufamba kwechinhu chine mumhu mukuru, mukati memauswa kana miti.
-kwakwashara 	K 				-kwakwashara K itik . Kana chinhu chaka kwakwashara chinenge chichimara, chiine man'an'a, chisina kunyatsoti tsepete. Mukomana wauri kutaura, unoreva here uya wemagogorosi kana wekukwakwashara kumeso? -kwasharara .
matotoutare 	DKKDKD 	6 	z 		matotoutare DKKDKD z 6 . Iyi imhangura nyoro inenge yakadonha pasi.
matsenganzungu 	DKKDK 	6 	z 		matsenganzungu DKKDK z 6 . Apa ndepanosangana shaya yepamusoro neyepazasi.
matsewe 	DKK 	6 	z 		matsewe DKK z 6 . Iri ibindu rinorimwa muchirimo. doro 5 .
matsi 	DK 	1a 	z 		matsi DK z 1a . Matsi munhu ane nzeve dzisinganzwi.
matsotso 	DKK 	6 	z 		matsotso madzotso DKK z 6 . Matsotso mazihuni akangozara-zara asina neshumo yese. Matsotso inzvimbo yakahwanda uye iri kure.
matukano 	DKKD 	6 	z 		matukano DKKD z 6 . Uku kuudzana mashoko akaipa kana zviya vanhu vamutsana.
matumba 	D- 	6 	z 		matumba D- z 6 . mahumbwe 6 .
matumbu 	D- 	6 	z 		matumbu D- z 6 . Matumbu ura hwemhuka. Matumbu emombe anonaka chaizvo kana akazanganiswa neguru nemuriwo. dumbu 5 .
matunduru 	D- 	6 	z 		matunduru madunduru D- z 6 . Aya maitiro ekugara mumwe pachipfuva kana muchirwa.
matyira 	DKD 	6 	z 		matyira DKD z 6 . Munhu ane matyira munhu ane rukudzo, anoziva zvaanokwanisa kuita nezvaasingakwanise kuita, uye nevanhu vaanozviitira.
maundo 	DKK 	6 	z 		maundo DKK z 6 . Maundo kurimwa kunoitwa minda muchirimo, vanhu vachigadzirira kuzorimazve minda iyoyo muzhizha.
maune 	DKD 	6 	z 		maune maone, mambune DKD z 6 . Maune kuita kwemunhu chinhu chaanoziva kuti chakaipa.
maungira 	DKDK 	6 	z 		maungira DKDK z 6 . Uku kunzwika kunoita kurira kwemhepo kana mota. Ndadaidzira ndiri mugomo, pakabuda maungira.
magen'a 	D- 	1a 	z 		magen'a D- z 1a . tsuro 9 . Magen'a munhu akangwara uye ane undyire, zvekuti anenge achifananidzwa natsuro magen'a wemungano.
magirazi 	DDKD 	6 	z 		magirazi DDKD z 6 . Ichi chiwanikwa chinogadziriswa mahwindo kana mabhotoro. Izvi zvipfekwa zvokumaziso zvinobatsira pakuona kune avo vasinganyatsoona nemaziso avo, uye zvinoshandiswawo pakudzivirira zuva. magogorosi 6 .
magome 	DKD 	6 	z 		magome DKD z 6 . Magome usimbe hwemunhu anenge achida zvekutuma-tuma vamwe kuti vamuitire basa.
magovero 	DDKK 	6 	z 		magovero DDKK z 6 . Aya maitiro anoita munhu kana achipa vanhu zvinhu zvakaita sehembe dzemufi parufu. mapiro 6 .
magumo 	DKK 	6 	z 		magumo DKK z 6 . Magumo ndepanoperera nyaya kana nzvimbo.
magwendere 	DKKK 	6 	z 		magwendere DKKK z 6 . Izvi ndezvinosungirwa patambo kuti zviite ruzha rwekudzinga shiri mumunda. muzerwe 3, muzengure 3 .
magwiriri 	D- 	6 	z 		magwiriri D- z 6 . Uku kufema kune kamhere mukati, kunoitika kazhinji kana munhu akarara zvisina kunaka, kana kuti akarara akadhakwa. ngonono 10 .
mahakurimwi 	DDKKK 	6 	z 		mahakurimwi DDKKK z 6 . Uku kusawirirana kunotora nguva hombe kuchienderera mberi pakati pevakatadzirana.
mahapa 	DKK 	6 	z 		mahapa DKK z 6 . Mahapa mashizha mahombe anokura ari pamusoro pemvura.
mahara 	DKD 	6 	z 		mahara DKD z 6 . Mahara kushandira pasina muripo. Mukomana uyu ndiye wekafambira mahara, asvika akawana musikana wake akatoroorwa nemumwewo. Mahara kuwana chinhu pachena. Mahara ndechinhu chisingakosheswi. Zvekudadira hama zvinhu zvemahara, nekuti rimwe zuva unozodzitsvaga ukadzishaya.
mahon'era 	D- 	6 	z 		mahon'era D- z 6 . Uku kutaurira pasi zvisinganyatsonzwika, zvikuru kana munhu asina kugutsikana nezvataurwa. Aya mazwi akakorera anonzwika pakuimba.
ko 	K 		ny 		ko K ny . Kuti ko kurira kunoita zvinhu zviviri zvinenge zvarovaniswa. Madonhwe okutanga emvura taianzwa kuti ko ko ko padenga remba yemazen'e. Kuti ko kurira kunoita simbi kana chimwe chinhu chakaoma, paunenge uchichitema nechimwewo chinhu. Unoti ko ko ko kutema danda rose iro nekatemo kadiki kakadaro, unofunga kuti ungarigona? Kuti ko kurira kunoitika kana uchigogodza chimwe chinhu. Akapotsera dombo rikarova dhiramu kuti ko.
kobiri 	KDD 	5 	z 		kobiri KDD z 5 . Kobiri imari yekare yakazotsihwa nesendi. Akanga asina kana kobiri zvaro muhomwe make. peni .
kobo 	KD 		ny 		kobo KD ny . Kuti kobo kuruma kwenyoka. Akakwira mumuti achida kutanha muchero, ndokunzi kobo nenyoka arimo.
kobodo kobodo 	D- 				kobodo kobodo D- . Kuti kobodo kobodo kufamba komunhu anenge akapfeka shangu dzakakurisa.
-kobora 	K 				-kobora K it . Ku kobora kutema nomuromo sezvinoita shiri. Ku kobora kuruma kunoita nyoka.
-kobvora 	D 				-kobvora D it . Ku kobvora kutora uchiita zvokunokora uchizadza ruoko.
-kobvu 	DK 		pr 		-kobvu DK pr . Kana chinhu chichinzi chi kobvu chinenge chakakora. Farai mukobvu zvake asi anomhanya semhepo. -femu . ANTONYMS -tete.
koche 	D- 		ny 		koche D- ny . Kuti koche kubatanidza uchiita zvokupfekera kana kusunganidza, sezvaungaita cheni.
-kocheka 	D 				-kocheka D it . Kana uchi kocheka tambo pan'ombe unenge wakaiita denderedzwa, uchiisimudza kuti upinze nyanga dzemombe yauri kuda kusunga mukati, wozodhonza. -kochekedza .
kochekera 	D 				kochekera D it . Ku kochekera kusunganidza chinhu chine mberi kunenge chiredzo, kana kuti chine mberi kune denderedzwa, pane chimwewo chinhu.
kocho 	D- 		ny 		kocho D- ny . Kuti kocho kurira kunoita chinhu chinenge chadonhera mumauswa kana kuti mumashizha.
-kwama 	K 				-kwama K itik . Ku kwama kudaidzira nezwi rinonzwika kure chaizvo. -kwamatata . Ku kwama kuchema nezwi rinosvika kure pamusana pekurwadziwa. -kwamatata .
kwamu 	D- 		ny 		kwamu D- ny . Kuti kwamu kurova munhu nembama kumeso kana mumusoro. kwa . Kuti kwamu kubvisa gwande remuti kana chimwe chinhu pachinenge chakanamira.
-kwana 	K 				-kwana K itik . Kana chinhu chaka kwana chinenge chine uwandu hunodikanwa kana kutarisirwa. Mukuwasha, chitoburukai zvenyu kana musina mari yakakwana, tirege kuzonetsana tasvika. Ku kwana kuenzanirana kwemunhu nechipfeko chaanenge akapfeka. Hembe iyi ndakaipihwa namainini nokuti ivo vasimba zvokuti havachaikwani. Ku kwana nechinhu kuchinzwa zvakanyanya. Tanga takwana nenyota patazopuwa doro. Kana munhu achinzi haana ku kwana , njere dzake dzinenge dzisingatori zvakanaka.
kwangwa 	DK 		ny 		kwangwa DK ny . Kuti kwangwa kuteerera zvakanyanya, wakatomisa nzeve kwazvo. -bengwa .
-kwangwamara 	K 				-kwangwamara K itik . Kana chinhu chaka kwangwamara chinenge chisina kumira zvakanaka kuti tsepete, chiine dzimwe nzvimbo dzisina kuenzerana kana kuti dzakafonyoka-fonyoka. Dehwe riya ramakasiya panze rakatokwangwamara.
-kwanha 	D 				-kwanha D it . -kwanhura .
-kwanhura 	D 				-kwanhura D it . Ku kwanhura kutema mapazi kana mashizha ezvinomera kuti zviwane kukura zvakanaka. Mangwana ndinoda kumuka ndichikwanhura magwanhurwa ari kutadzisa muriwo uyu kunyatsokura. -paura .
-kwanyanuka 	D 				-kwanyanuka D itik . Ku kwanyanuka kusimuka zvisina mhere, pakare pakare. Pavakanzwa mhere panze, mbuya vakakwanyanuka pabonde sechipwere, vachimhanya panze kuti vaone zvaiitika.
-kwanzura 	D 				-kwanzura D it . Ku kwanzura kutsemura huni dzakaoma kana chimwe chinhu wakatevedza urefu hwacho. -kwazura, -banzura .
mauya 	D- 		kanu 		mauya D- kanu . Iri izwi rinoshandiswa kuchingamidza munhu paanosvika, kuri kuratidza kumufarira. Mwana akaita mauya mai vake pavakasvika. titambire .
mavato 	DKK 	6 	z 		mavato DKK z 6 . mararo 6 .
mavhu nemarara 	DK KKDD 	6 	z 		mavhu nemarara DK KKDD z 6 . Kana zvinhu zvakaita mavhu nemarara zvinenge zvakawanda zvakanyanyisa. fararira 9 .
mavirira 	DKKD 	6 	z 		mavirira DKKD z 6 . Uku ndekunonyura nako zuva. madokero 6 .
mawara 	D- 	6 	z 		mawara D- z 6 . Kana munhu achinzi ane mawara anenge achiita zvinhu zvekupaparika achionererwa. manyemwe 6, dzungu 5 .
mawiramombe 	D- 	6 	z 		mawiramombe D- z 6 . Uku kudonha kwevanhu pamwe, sekuti kana vanhu vachirwa.
mawire 	D- 	6 	z 		mawire D- z 6 . Mawire itsika yekumbundikirana pakumhoresana.
mawirirano 	D- 	6 	z 		mawirirano D- z 6 . Uku kupindirana kana kunzwanana kunoita vanhu. Pane mawirirano pakati pemukomana nemusikana.
mazarirwa 	DKDD 	6 	z 		mazarirwa mazaridzwa DKDD z 6 . Kana munhu ane mazarirwa anenge ane chirwere chekutadza kunyatsofema, achifemera pamusoro dzimwe nguva.
mazaya 	DDK 	6 	z 		mazaya DDK z 6 . Mazaya chando chakagwamba. Mubani mafuma mune mazaya echando.
mazembera 	D- 	6 	z 		mazembera D- z 6 . Uku kutaura nezwi gobvu kunonzwika nemunhu ari kune imwe nzvimbo. Ndanzwa mazembera mumba, ndikaziva kuti baba vauya. maziriri 6 . Mazembera mashoko ekuzvirumbidza kana kutyisidzira, anotaurwa muchisika nyimo. nzvipurira 10 .
mazhazhate 	DKDK 	1a 	z 		mazhazhate DKDK z 1a . Uyu munhu anonyanyotaurisa. chigaugau 7, mahohoho 6 .
-kanganika 	K 				-kanganika -kanganikwa K itik . Ku kanganika kunge munhu kana chinhu chasiyirirwa nokutiØhapana achirangarira kana kuchiona. Mhuru dakanganika pazarurirwa zvimwe zvipfuyo. -kanganwika .
-kanganisana 					-kanganisana itik . Ku kanganisana kupokana kana kumutsana.
-kanganwa 	K 				-kanganwa K it . Ku kanganwa kutadza kutondera kana kuti kutadza kurangarira chimwe chinhu. Asi wanga watondikanganwasu, nhai shamwari? -kangamwa, -koshiwa .
kanganya 	K- 		ny 		kanganya K- ny . chanjama .
kanganya 	KKD 		ny 		kanganya KKD ny . Kuti kanganya kuoma sezvinoita dehwe remombe. Kuti kanganya kurara nomusana, kana kuti kuita manhede. Ndakasvikomuwana akati zvake kanganya nemanhede.
-kanganyara 	K 				-kanganyara K itik . Ku kanganyara kufamba munhu akaomesa mitezo yomuviri. Vanozvida vanofamba vachikanganyara kuti vaonekere. Kana munhu achi kanganyara anenge ava kuita zvehasha, mushure mokunge atadzirwa kana kushatiriswa.
-kangavira 	D 				-kangavira D itik . Ku kangavira kuva noruvara rwuri pakati poupfumbu nokutsvukirira. Kana muchero woda kuibva unoonekwa nokukangavira. -kangaira .
-kanha 	D 				-kanha D it . Ku kanha kurova munhu kana chinhu nezvibhakera. Ku kanha kudya sadza risina muriwo. -temura .
kanha kanha 	KD+ 		ny 		kanha kanha KD+ ny . kanya kanya .
-kanhaira 	K 				-kanhaira K itik . Ku kanhaira kufamba uchiita zvekudigaira chaizvo, uchiratidza kuti nyaya yauri kufambira ihombe.
-kanhamara 	K 				-kanhamara K itik . Ku kanhamara kutarisa chinhu munhu achiratidza kushamisika kukuru.
kani 	D- 		kanu 		kani D- kanu . kanhi .
-kochokodza 	D 				-kochokodza D it . Ku kochokodza kuzunza gaba kana mumwe mudziyo, unenge une tunhu tunorovana mukati tuchirira.
-kochomora 	K 				-kochomora K it . Ku kochomora zvinhu kuzviturura kana kuzvidonhedza zvakawanda kubva panzvimbo pakakwirira. Ku kochomora zvinhu kuzviwana zvakawanda chaizvo. Musikana akaikochomora mari kumabhiza.
-kochonora 	D 				-kochonora D it . Ku kochonora kusungunura zvinhu zvambenge zvakabatana, kunyanya cheni. ANTONYMS -kochekera.
kodhoro 	KDD 	9 	z 		kodhoro KDD z 9 . Kodhoro rudzi rwejira gobvu rinodziya uye rine tumichinjiziri divi rokunze, rinosoneswa mbatya dzokupfeka pachando, kunyanya midhebhe. Kana kunze kuchitonhora, anopfeka matirauzi ekodhoro.
kodobo 	KKD 		ny 		kodobo KKD ny . Kuti kodobo kuwira mukati kunoita imba, kana kuti ivhu rinenge riri pamusoro pomwena.
-kodoboka 	K 				-kodoboka K itik . Ku kodoboka kuwira mukati kunoita, imba kana kuti ivhu ranga riri pamusoro pomwena. -wondomoka .
kodobvo 	KKD 		ny 		kodobvo KKD ny . kodobo .
kododzvo 	KKD 				kododzvo KKD . Kuti kododzvo kubaya mumwe zvinorwadza, uchishandisa chigunwe kana chimwewo chinhu chakapinza.
