g e ʧ	гэж
ʃ r ʊ s pʲ ə rʲ i	Шрусбери
ʃ pʰʲ i ʦʰ pʲ ə r gʲ ə ŋ	Шпицберген
ʃ ɔ χ ɔi ŋ	Шохойн
ʃ ɔ r ə ŋ gʲ i ŋ	Шоронгийн
ʃ ɔ ɮ ɔi	Шолой
ʃ mʲ i ʦʰ	Шмиц
ʃ i r ə ŋ g ə ŋ	Ширэнгэн
ʃ i n ə ʧʰ ɮ ə ɮ tʰʲ i ŋ	Шинэчлэлтийн
ʃ i n ə ʧʰ ɮ ə ɮʲ i ŋ	Шинэчлэлийн
ʃ i n ə s	Шинэс
ʃ i nʲ ʧ ə ŋ	Шиньжян
ʃ i n ʧ e ʧʰ tʲ i ŋ	Шинжээчдийн
ʃ i m ə n	Шиманэ
ʃ i ɮ u s tʰ e	Шилүүстэй
ʃ i ɮ tʰ g e nʲ i	Шилтгээний
ʃ i ɮ m u s tʰ	Шилмүүст
ʃ i ɮ ɮ a	Шилла
ʃ i ɮ ʧ ə ɮ tʰ	Шилжилт
ʃ i ɮ p e	Шилбэ
ʃ i ɮ	Шил
ʃ ii tʰ	Шийт
ʃ ii t ə ɮ	Шийдэл
ʃ i j ə n pʲ i	Шиенби
ʃ i t ə tʰ	Шидэт
ʃ i w e tʰ	Шивээт
ʃ i w e s tʰ e	Шивээстэй
ʃ i w e g ə wʲ	Шивээговь
ʃ aa ɔ	Шиао
ʃ i r mʲ ə tʰ ə w	Шерметов
ʃ e r	Шер
ʃ i ŋ gʲ ə n	Шенгены
ʃ i ŋ gʲ ə nʲ i	Шенгений
ʃ w a r ʦʰ ə nʲ ə ɢ ɢ ə r	Шварценеггер
ʃ a χ ə ŋ	Шахын
ʃ a x tʰ i	Шахты
ʃ a χ r ai	Шахрай
ʃ a χ a n t	Шахаанд
ʃ a r s ə ŋ	Шарсан
ʃ a r ə n	Шароны
ʃ a r ə ɮʲ	Шарль
ʃ a rʲ ə pʰ ə ŋ	Шарифын
ʃ a rʲ ə pʰ ə g	Шарифыг
ʃ a rʲ a tʰ ə ŋ	Шариатын
ʃ a r ɢ ə ŋ	Шаргын
ʃ a pʰ ə ɢ ɮʲ ə g	Шапокляк
ʃ a nʲ ə j	Шаньюй
ʃ a n t	Шанд
ʃ a n ə ɮ ə ɮ	Шаналал
ʃ a m pʰ ə nʲ i	Шампани
ʃ a ɮ t ə ŋ g	Шалданг
ʃ ai a	Шайа
ʃ a ɢ t ə r ə ŋ	Шагдарын
ʃ a wʲ ʧ	Шавьж
ʃ a w ə r	Шавар
ʃ aa r t ɮ ə ɢ	Шаардлага
ʃ tʰ s	ШТС
ʧʰ ʊʊ ɮ ɢ ə ŋ	Чуулган
ʧʰ ʊʊ ɮ ɢ ə t	Чуулгад
ʧʰ ʊ s ə ŋ	Чусон
ʧʰ ʊ r ɢ ə ŋ	Чуркин
ʧʰ ʊ ɮ ʊ g	Чулууг
ʧʰ ʊ ɢ ə tʰ ɢ ə ŋ	Чукоткын
ʧʰ ɔ tʰ ɢ ə r	Чотгор
ʧʰ ɔ r m ə ɢ ə ŋ	Чормаган
ʧʰ ɔ ŋ	Чон
ʧʰ ɔi ʧ ə t	Чойжид
ʧʰ ɔi ʧ ə m ʦʰ	Чойжамц
ʧʰ ɔi p ə ɮ s ə ɴ ɢ a s	Чойбалсангаас
ʧʰ i x e	Чихээ
ʧʰ i x ə n t	Чихэнд
ʧʰ i x tʰ	Чихт
ʧʰ i tʰ tʰ a	Читта
ʧʰ i n s ə ŋ	Чинсан
ʧʰ i n m ɔi	Чинмой
ʧʰ i ŋ g ə n ʧ ə w ə ŋ	Чингүнжавын
ʧʰ i ŋ g ə n tʰ ə m ə r	Чингэнтөмөр
ʧʰ i n p a tʰ ə r ə ŋ	Чинбаатарын
ʧʰ i ŋ x ai	ЧинХай
ʧʰ i m ə g ui x ə ŋ	Чимээгүйхэн
ʧʰ i g ə s tʰ e	Чигэстэй
ʧʰ i g ə ɢ	Чигаго
ʧʰ i g	Чиг
ʧʰ i p a	Чиба
ʧʰ i x s ɮ ə w ə g	Чехсловак
ʧʰ i x ə w ə ŋ	Чеховын
ʧʰ i r n ə p ə ɮʲ t	Чернобыльд
ʧʰ i pʰ ə g	Чепак
ʧʰ i ɮ ɮʲ ə n ʧ ə r	Челленжэр
ʧʰ i ʦ ə rʲ e	Чезаре
ʧʰ i p ə r ə ʃ g ə gʲ i ŋ	Чебурашкагийн
ʧʰ a ʦʰ ə r ɢ ə n	Чацарганы
ʧʰ a rʲ ɮ ʦ	Чарьлз
ʧʰ a pʰ ə tʰ	Чапат
ʧʰ a m pʰ a	Чампа
ʧʰ a m a s a	Чамаасаа
ʧʰ ai g ə w s gʲ i	Чайковский
ʧʰ a t r a p ə ɮ ə ŋ	Чадраабалын
ʧʰ a t ə n	Чадна
ʧʰ a t t ə g	Чаддаг
ʧʰ a t w ə r ɮ ə g	Чадварлаг
ʧʰ a t w ə ɮ	Чадвал
ʧʰ a t ə χ	Чадах
ʧʰ a t ə ɮ tʰ ai	Чадалтай
ʧʰ a t ə ɮ	Чадал
ʧʰ a wʲ ə s ə ŋ	Чавесын
ʧʰ i nʲ i x	ЧИНИЙХ
ʧʰ i nʲ i	ЧИНИЙ
ʧʰ a t ə n	ЧАДНА
ʦʰ oo ŋ xʲ i ŋ	Цөөнхийн
ʦʰ o ɮʲ i ŋ	Цөлийн
ʦʰ o ɮ	Цөл
ʦʰ a nʲ	Цянь
ʦʰ i r ə n pʰ ə n ʦʰ ə g	Цэрэнпунцаг
ʦʰ i r ə n ʧ ə m ʦʰ	Цэрэнжамц
ʦʰ i r ə n ʧ ə w	Цэрэнжав
ʦʰ i r ə n p ə tʰ	Цэрэнбат
ʦʰ i n ə gʲ i ŋ	Цэнэгийн
ʦʰ e n t	Цэнд
ʦʰ e ɮ	Цэл
ʦʰ i g e ŋ	Цэгээн
ʦʰ i w ə g nʲ ə m	Цэвэгням
ʦʰ ʊ s ə n t	Цусанд
ʦʰ ʊ s ə ŋ	Цусан
ʦʰ ʊi gʲ i ŋ	Цуйгийн
ʦʰ ɔ ɴ χ ɔ	Цонхоо
ʦʰ ɔ n ʧ ə ŋ	Цонжин
ʦʰ ɔ m	Цом
ʦʰ i r gʲ i ŋ	Циркийн
ʦʰ e s g	Цеск
ʦʰ i rʲ ə r a	Церера
ʦʰ i n tʰʲ ə r	Центер
ʦʰ i ʦ ə rʲ tʰ	Цезарьт
ʦʰ i ʦ ə r ə ŋ	Цезарын
ʦʰ a ʦʰ r ə g	Цацраг
ʦʰ a χ ʊ r tʰ	Цахиурт
ʦʰ a s tʰ ai	Цастай
ʦʰ a s ə n	Цасны
ʦʰ a ɔ	Цао
ʦʰ a ŋ	Цан
ʦʰ a m x gʲ i ŋ	Цамхгийн
ʦʰ a m p ə ɢ ə r ə w	Цамбагарав
ʦʰ a ɮʲ ə ɴ ɢ a	Цалингаа
ʦʰ ai ɮ ɢ ə ŋ	Цайлган
ʦʰ aa ʃ a	Цаашаа
ʦʰ aa s	Цаас
ʦʰ aa ʦ a r	Цаазаар
ʦʰ aa t ʊ ɮ	Цаадуул
ʦʰ ɔ ɴ χ	ЦОНХ
ʦʰ ai t ə g	ЦАЙДАГ
ʦʰ a gʲ i ŋ	ЦАГИЙН
ʦʰ a ɢ a	ЦАГАА
x oo ʃ	Хөөш
x oo r xʲ i s	Хөөрхийс
x o ʃ o tʰʲ i ŋ	Хөшөөтийн
x o x ə ʧʰ ə s	Хөхөчос
x o x m ə r ə ŋ	Хөхмөрөн
x o tʰ ə ɮ p ə r	Хөтөлбөр
x o n t u r	Хөндүүр
x o ɮ ə n p ʊi r tʰ	Хөлөнбуйрт
x o ɮ t s ə ŋ	Хөлдсөн
x o t ə ɮ g ə n t	Хөдөлгөөнд
x o g s o ŋ	Хөгсөөн
x o g ə n	Хөгнө
x o gʲ i ŋ	Хөгийн
x o w g u t	Хөвгүүд
x o r ə ɴ ɢ	ХӨРӨНГӨ
x o r ə ŋ gʲ i ŋ	ХӨРӨНГИЙН
x o ɮ ə g	ХӨЛӨГ
x uu ʃ e	Хүүшээ
x uu x ə ɮ t e	Хүүхэлдэй
x uu x ə t tʰ e	Хүүхэдтэй
x uu x ə t t e	Хүүхэддээ
x uu x n u t e	Хүүхнүүдээ
x uu x nʲ i g	Хүүхнийг
x uu x nʲ i	Хүүхний
x uu x t u tʲ i g	Хүүхдүүдийг
x uu x t u t t e	Хүүхдүүддээ
x uu x tʲ i ŋ x e	Хүүхдийнхээ
x uu gʲ i ŋ x e	Хүүгийнхээ
x u ʧʰ e r	Хүчээр
x u ʧʰ ə r xʲ i ɮ ə ɮ	Хүчирхийлэл
x u ʧʰ ə ɮ tʰ ə r ə g ʧʰ	Хүчилтөрөгч
x u s e g ui	Хүсээгүй
x u s ɮ e r	Хүслээр
x u r ə ɮ tʲ i	Хүрэлдий
x u r ə ɮ p a tʰ ə r ə ŋ	Хүрэлбаатарын
x u r ɮʲ i ŋ	Хүрлийн
x u r g ə j	Хүргэе
x u n ʧʰ u t	Хүнчүүд
x u n t tʰ e	Хүндтэй
x u m u s e	Хүмүүсээ
x u ɮ e s e r	Хүлээсээр
x u ɮ e ʧ	Хүлээж
x ui tʰ ə n t	Хүйтэнд
x ui t e	Хүйдэ
x u ʦ u n t e	Хүзүүндээ
x u a ŋ	Хүан
x uu x ə t	ХҮҮХЭД
x uu gʲ i ŋ	ХҮҮГИЙН
x u ʧʰ ə ŋ	ХҮЧИН
x u s t ə g	ХҮСДЭГ
x u n t e	ХҮНДЭЭ
x u ɮ e x	ХҮЛЭЭХ
χ a n ə χ	Хянах
χ a m r ə ɮ ə ŋ	Хямралын
χ a m r ə ɮ	Хямрал
χ a m t	Хямд
χ a ɮ ɢ ə n ə tʰ	Хялганат
x ee n ʦʰ ə r	Хээнцэр
x ee	Хээ
x i x ə x ə χ	Хэхэхэхэ
x i tʰʲ i ŋ	Хэтийн
x i r e t u t	Хэрэйдүүд
x i r ə g ɮ ə x	Хэрэглэх
x i r x ə xʲ i g	Хэрхэхийг
x i r mʲ ɔ nʲ i	Хэрмиони
x i n ə g g ui	Хэнэггүй
x i n rʲ i	Хэнри
x i m n ə x	Хэмнэх
x i m ʧ ə ɮ tʰʲ i ŋ	Хэмжилтийн
x i ɮ e	Хэлээ
x i ɮ tʰ s i ŋ	Хэлтсийн
x ee t ə ŋ	Хэйдон
x i w ɮ e r	Хэвлээр
x i w ɮ ə ŋ	Хэвлэн
x i w ɮʲ i ŋ	Хэвлийн
x i w ɮʲ i	Хэвлий
x e w	Хэв
χ ʊ s tʰ ə ŋ	Хьюстон
χ ʊ m	Хьюм
xʲ ʊ ʦ i ŋ	Хьюзийн
x ʊ pʰ ə gʲ i ŋ	Хуфугийн
χ ʊʊ r	Хуур
χ ʊʊ ɮʲ a	Хуулиа
χ ʊ tʰ ʊ	Хуту
χ ʊ tʰ ə ɢ tʰ ə ŋ	Хутагтын
χ ʊ s s ə j ə ŋ	Хуссейн
χ ʊ s ə j n ə g	Хусейныг
x ʊ r ʊ gʲ i ŋ	Хуруугийн
χ ʊ r t χ ə ŋ	Хурдхан
χ ʊ r t tʰ ai	Хурдтай
χ ʊ r t ə tʰ ɢ ə ɮ	Хурдатгал
χ ʊ r ə ɮ t a n ə g	Хуралдааныг
χ ʊ r a s ə ŋ	Хураасан
x ʊ nʲ i	Хуний
x ʊ ŋ gʲ i ŋ	Хунгийн
χ ʊ ɮʲ ɔ	Хулио
χ ʊ ɮ ɢ ai ʧʰ	Хулгайч
χ ʊ t ə m	Худам
χ ʊ t ə ɮ ʧʰ	Худалч
χ ʊ t ə ɮ t a n t	Худалдаанд
χ ʊ t ai	Худай
χ ʊ wʲ tʰ ai	Хувьтай
χ ʊ wʲ s ɢ ə ɮ ə g	Хувьсгалыг
χ ʊ wʲ s ə ɢ ʧʰ	Хувьсагч
χ ʊ wʲ ə s ɢ ə ɮ	Хувисгал
x ʊ wʲ ə r ə ʃ g ui	Хувирашгүй
χ ʊ w a ɢ t ə ʧ	Хуваагдаж
χ ʊ pʲ ə ɮ ai tʰ ai	Хубилайтай
χ ʊ a	Хуа
x rʲ i s tʰʲ ə tʰ g ə ɮʲ i ŋ	ХристИтгэлийн
χ ɔ tʰ ə ɴ χ ə ŋ	Хотынхон
χ ɔ tʰ ɢ ɔi t	Хотгойд
χ ɔ tʰ ə ɮ a	Хотала
x ɔ s nʲ i	Хосни
χ ɔ r ʧʰ ə n	Хорчины
χ ɔ r χ ɔi	Хорхой
x ɔ r xʲ e	Хорхе
χ ɔ r tʰ ɔi	Хортой
χ ɔ r s tʰ	Хорст
χ ɔ r ɔ n ɔ s	Хорооноос
χ ɔ r ɔ n t	Хороонд
χ ɔ r ə m χ ə ŋ	Хоромхон
x ɔ r nʲ ə gʲ i ŋ	Хорнигийн
χ ɔ r m ɔi ŋ	Хормойн
χ ɔ rʲ ə χ	Хорих
χ ɔ r ɢ ə ŋ	Хоргын
χ ɔ ɴ χ ə n	Хонхны
χ ɔ ɴ χ ai	Хонхай
χ ɔ n tʰ ə χ ə r	Хонтахар
χ ɔ n ə g	Хоног
χ ɔ nʲ ə ŋ	Хонин
χ ɔ ɴ ɢ ə r ʦ ə ɮ	Хонгорзул
χ ɔ ŋ	Хон
χ ɔ ɮʲ ə m	Хольм
x ɔ ɮ xʲ i	Холхи
χ ɔ ɮ mʲ ə s	Холмес
x ɔ ɮ ɮʲ ə w u tʲ i ŋ	Холливүүдийн
χ ɔ ɮ p ə s ə ŋ	Холбосон
χ ɔi ɢ ʊ r a	Хойгуураа
x ɔi gʲ i ŋ	Хойгийн
χ ɔ t ɔ t	Ходоод
χ ɔ ɢ w ə r tʰ ə s	Хогвартс
xʲ i ʃ ə g	Хишиг
xʲ i ʧʰ e ɮ t e	Хичээлдээ
xʲ i rʲ ə ɮ tʰ ə g	Хирилтуг
xʲ i r	Хир
xʲ i pʰ ʧʰ ə g	Хипчак
xʲ i ɮ tʰ ə ŋ	Хилтон
xʲ ii tʲ i ŋ	Хийдийн
xʲ ii g e g ui	Хийгээгүй
xʲ i t ə n	Хиданы
xʲ i p ʧʰ ə gʲ i ŋ	Хибчагийн
xʲ i s ə s	Хесус
xʲ e s ə s	Хесс
xʲ i r m ə n ə ŋ	Херманн
xʲ i ɮʲ s ə ŋ g	Хельсинк
xʲ i ɮʲ ə n	Хелена
xʲ i ʦ p ə ɮ ɮ a	Хезболла
χ w a ŋ	Хван
χ a j ə ɢ t s ə ŋ	Хаягдсан
χ a j a m	Хаяам
χ a ʃ ə ŋ	Хашин
χ a ʃ a n t a	Хашаандаа
χ a χ ə χ	Хахаха
x a pʰ r ə gʲ i ŋ	Хафрагийн
χ a ʊ	Хау
χ a tʰ ɢ ə ɮ ə g	Хатгалыг
χ a s ə r ə g	Хасарыг
χ a s ə ɢ tʰ	Хасагт
x a s ə gʲ i ŋ	Хасагийн
χ a rʲ ʧ	Харьж
χ a r ʦʰ n a s	Харцнаас
χ a r rʲ ə tʰ ai	Харритай
x a r rʲ ə gʲ i ŋ	Харригийн
χ a r ə ɮ t	Харолд
x a r ɮʲ i	Харли
χ a rʲ ʊ ʦʰ ɮ ə ɢ	Хариуцлага
x a r tʲ i	Харди
χ a r tʲ ə ŋ	Харден
χ a r t ə ɮ	Хардал
χ a r ɢ ə n	Харгана
χ a r pʲ ə n	Харбины
x a r ə x g ui	Харахгүй
x a r ə m ʧʰ i ŋ x ə ŋ	Харамчийнхан
χ a r a ʧʰ	Хараач
χ a r a	Хара
χ a nʲ t a	Ханьдаа
x a ŋ x u	Ханхүү
χ a n tʰ ə ɮ ɢ	Хантулга
χ a n t ə ŋ	Хандын
χ a n t ə ɮ tʰ ə g	Хандалтыг
χ a n p ə ɮ t r ʊ	Ханболдруу
χ a m ə g	Хамуг
χ a m tʰ r ə ɢ ʧʰ	Хамтрагч
x a m tʰ ɮ ə gʲ i ŋ x ə ŋ	Хамтлагийнхан
χ a m ɢ a ɮ ə χ ə ŋ	Хамгаалахын
χ a m ɢ a ɮ ə ɮ tʰ ə ŋ	Хамгаалалтын
x a m p ə r gʲ i ŋ	Хамбургийн
χ a ɮ χ ɢ ə ɮ	Халхгол
χ a ɮ χ ə t	Халхад
χ a ɮʲ ə pʰ	Халиф
χ a ɮʲ ə m ə ɢ ʊ t ə g	Халимагуудыг
χ a ɮ ə m ʦʰ ʊ	Халамцуу
χ a ɢ ə χ ə tʰ ɔi	Хакүхотой
χ a ɢ ə m ə t a	Хакамада
χ ai pʰ a	Хайфа
χ ai r χ ə n	Хайрханы
χ ai ɮ ə r	Хайлар
χ ai ɮ a s tʰ ə ŋ	Хайлаастын
χ ai ɮ a s tʰ	Хайлааст
x ai t ə ɮ p ə r gʲ i ŋ	Хайдэлбэргийн
χ ai ɢ ə r	Хайгер
χ a ʧ ʊ t a	Хажуудаа
χ a t ɢ ə ɮ ə χ	Хадгалах
χ a ɢ ə r χ ai	Хагархай
χ a ɢ ə ŋ	Хаган
χ a ɢ ə ɮ ɢ a n	Хагалгааны
χ a w s r ə ɮ tʰ	Хавсралт
χ a w r a s	Хавраас
χ a w ai t	Хавайд
x a p ə r ə w s gʲ i ŋ	Хабаровскийн
χ aa s	Хаас
χ aa ɮ ɢ a r	Хаалгаар
x e χ	ХЭХЭ
x i r ə g tʰ e	ХЭРЭГТЭЙ
x i r ə g g ui	ХЭРЭГГҮЙ
x i r ə g	ХЭРЭГ
x i t ə ŋ	ХЭДЭН
x x p	ХХБ
χ ʊ t ə ɮ t a	ХУДАЛДАА
χ ɔ r ɔ n	ХОРООНЫ
χ ɔ rʲ ə ŋ	ХОРИН
χ ɔ j ə r t ə ɢ a r	ХОЁРДУГААР
xʲ ii x	ХИЙХ
xʲ ii g e t	ХИЙГЭЭД
χ a rʲ ʊ ɮ tʰ ʊ t	ХАРИУЛТУУД
χ a rʲ ə ɮ ʦʰ a	ХАРИЛЦАА
χ a r ə m s ə ɮ tʰ ai	ХАРАМСАЛТАЙ
χ a r a t	ХАРААД
χ a m ɢ a ɮ ə χ	ХАМГААЛАХ
χ ai r ə ŋ	ХАЙРЫН
χ ai r ɮ a	ХАЙРЛА
χ a t ɢ ə ɮ ə χ	ХАДГАЛАХ
x a t g ə ɮ ə m ʧ i ŋ	ХАДГАЛАМЖИЙН
χ aa j a	ХААЯА
χ aa r pʰ	ХААРП
pʰ i r gʲ i	Фэрги
pʰ i n nʲ i	Фэнни
pʰ ee r s	Фэйрс
pʰʲ ʊ ʧʰ ə r s	Фьючерс
pʰ ʊ ɮ ɮʲ ə rʲ ə ŋ	Фуллерен
pʰ ʊ gʲ ə tʰʲ i ŋ	Фукитийн
pʰ r e t	Фрэд
pʰ r ɔ n tʰ ə ŋ	Фронтын
pʰ r ɔi t	Фройд
pʰ r a n ʧʰ ə s ɢ	Франческо
pʰ r a n ʦʰ ʊ t	Францууд
pʰ r a n ʦʰ ə s g ə gʲ i ŋ	Францискогийн
pʰ r a n ʦʰ ə s	Францис
pʰ r a ɴ ɢ ʊ t ə ŋ	Франкуудын
pʰ r a ɴ ɢ ɮʲ ə n	Франклины
pʰ ɔ ŋ	Фон
pʰ ɮ ɔ rʲ ə n ʦʰ ɔ s	Флоренцоос
pʰ ɮ ɔ r ə ŋ	Флоран
pʰʲ i r mʲ i ŋ	Фирмийн
pʰʲ ɔɔ rʲ ə n tʰʲ ə n ə gʲ i ŋ	Фиорентинагийн
pʰʲ i n ɮ ə n t ə t	Финландад
pʰʲ i ɮʲ ə pʰ pʰ ɔ	Филиппо
pʰʲ i p ə n ə ʧʰ ʧʰ i ŋ	Фибоначчийн
pʰʲ i r r ə rʲ i	Феррари
pʰʲ i r n ə n tʲ ə s	Фернандес
pʰʲ i r mʲ ə gʲ i ŋ	Фермигийн
pʰʲ i r mʲ ə n tʰ	Фермент
pʰʲ e ɮ pʰ s	Фелпс
pʰʲ i ɮʲ ə g s	Феликс
pʰ a χ mʲ ə t a	Фахмида
pʰ a tʰʲ ə mʲ ə t	Фатимид
pʰ a s ɔ	Фасо
pʰ a ɮʲ ə s	Фалес
pʰ ai s ə ɮ	Файсал
pʰ ai ɮ ə ŋ	Файлын
pʰ ai j ə t	Файед
ʊ e n s tʲ ə j	Уэнсдей
ʊ ʧʰ r ə χ	Учрах
ʊ ʧʰ ə r s ə ŋ	Учирсан
ʊ ʧʰ ə r g ui	Учиргүй
ʊ x ə m s ə r g ui ŋ	Ухамсаргүйн
ʊʊ ʧʰ ə ɮ ʧ	Уучилж
ʊʊ s ə ŋ	Уусан
ʊʊ r ɮ ə χ	Уурлах
ʊʊ r ɮ ə ʧ	Уурлаж
ʊʊ r a	Уураа
ʊʊ ɮ ʦ ə ɮ tʰ ə t	Уулзалтад
ʊʊ t ə m	Уудам
ʊʊ t ə g	Уудаг
ʊ tʰ ə m ɮʲ ə n n ə j	Утомлённые
ʊ tʰ ə s g ui	Утасгүй
ʊ tʰ a g	Утааг
ʊ s tʰ ə r ə g ʧʰ i ŋ	Устөрөгчийн
ʊ s tʰ ɢ ə χ	Устгах
ʊ s a	Усаа
ʊ r s ə ɢ ə ə χ ə t t ʊ	Урсогүухидду
ʊ r s ə χ	Урсах
ʊ rʲ a ɮ ɢ	Уриалга
ʊ r ʧ n ə ŋ	Уржнан
ʊ r ʧ	Урж
ʊ r t a s	Урдаас
ʊ r gʲ ə n ʧʰ i g	Ургенчийг
ʊ r ə n	Ураны
ʊ r ə ɮ t a ŋ	Уралдаан
ʊ ɔ r rʲ ə ŋ	Уоррен
ʊ n ʃ ə χ ə g	Уншихыг
ʊ n tʰ ə ʃ	Унташ
ʊ nʲ ə wʲ ə r s a t	Универсиад
ʊ n t a n	Ундааны
ʊ ŋ gʲ ə r nʲ i g	Унгернийг
ʊ m ə j a t	Умаяад
ʊ ɮ χ ʊi	Улхуй
ʊ ɮ ʦ	Улз
ʊ ɮ ə m ʧ ɮ ə ɮ ə g	Уламжлалыг
ʊ ɮ a n ʦʰ ə tʰ ɢ ə ɮ ə ŋ	Улаанцутгалан
ʊ ɮ a ɴ χ ə t	Улаанхад
ʊ ɮ a n p a tʰ ə r a	Улаанбаатараа
ʊ g ə j ə ɮʲ i	Укаяли
ʊi tʰ ɢ ə r tʰ ai	Уйтгартай
ʊi ɮ ə x g ui	Уйлахгүй
ʊi ɮ ə χ	Уйлах
ʊi ɮ ə ŋ	Уйлан
ʊi ɮ a t	Уйлаад
ʊi ɢ ə r ʧʰ ʊ t	Уйгарчууд
ʊi ɢ ə r ʧ ə ŋ	Уйгаржин
ʊ i tʰ s ə ŋ	Уитсон
ʊ i n s tʰ ə ŋ	Уинстон
ʊ i ɮʲ ə m s	Уильямс
ʊ i ɮ tʰ	Уилт
ʊ i ɮ ɮʲ ə s	Уиллис
ʊ tʲ ə r t ɮ ə ɢ	Удирдлага
ʊ t ə m	Удам
ʊ ɢ tʰ a ɮ ʦʰ ai t ə m	Угтаалцайдам
ʊ ɢ s a tʰ ə n	Угсаатны
ʊ w tʲ ə s tʰ	Увдист
ʊ w ə ʃ	Уваш
ʊ pʲ ə r	Убер
ʊ p p a	Уббаа
ʊ ai ɴ χ ə ə s	Уайнхаус
ʊ ai ɮʲ t	Уайльд
ʊ ʧʰ ə r	УЧИР
ʊʊ ʧʰ ɮ a r ai	УУЧЛААРАЙ
ʊʊ ɮ	УУЛ
ʊ r ə ɮ t a ŋ	УРАЛДААН
ʊ n a ʧʰ	УНААЧ
ʊ ɮ s ə t	УЛСАД
ʊ ɮ a n p a tʰ ə r	УЛААНБААТАР
ʊ ɮ a ŋ	УЛААН
ʊ tʲ ə r t ə m ʧ	УДИРДАМЖ
ʊ t a	УДАА
ʊ p u	УБҮ
ʊ pʲ ə s	УБИС
ʊ p t ə s	УБДС
tʰ oo r s ə ŋ	Төөрсөн
tʰ o r ə ɮ tʰ	Төрөлт
tʰ o r ʧ	Төрж
tʰ o m ə r o	Төмөрөө
tʰ o m ə r tʰ e	Төмөртэй
tʰ o m ə r tʰ	Төмөрт
tʰ o m ə r p a tʰ ə r	Төмөрбаатар
tʰ o ɮ p ə r o	Төлбөрөө
tʰ o ɮ p ə r tʰ	Төлбөрт
tʰ o ɮ p ə rʲ i ŋ	Төлбөрийн
tʰ o g ə ɮ t ə rʲ i ŋ	Төгөлдөрийн
tʰ o g s ə g ʧʰ tʲ i ŋ	Төгсөгчдийн
tʰ o g s tʰ ə m ə r	Төгстөмөр
tʰ o g s g ə ɮʲ i ŋ	Төгсгөлийн
tʰ o w ə tʲ i g	Төвөдийг
tʰ o w ɮ ə r s ə ŋ	Төвлөрсөн
tʰ o w t o s	Төвдөөс
tʰ o w t u tʲ i ŋ	Төвдүүдийн
tʰ o w t u tʲ i g	Төвдүүдийг
tʰ o r o s	ТӨРӨӨС
tʰ o m ə r	ТӨМӨР
tʰ o w	ТӨВ
tʰ uu n e s e	Түүнээсээ
tʰ uu n t e	Түүндээ
tʰ u r u ɮ ʧ	Түрүүлж
tʰ u r gʲ ə s tʰ ə ŋ	Түркестан
tʰ u r g	Түрк
tʰ u r gʲ i ŋ	Түргийн
tʰ u n ʃ ɮ ə ɮ	Түншлэл
tʰ u m ə tʲ i ŋ	Түмэдийн
tʰ u t ə w	Түдэв
tʰ u g	Түг
tʰ u w ʃ r u ɮ ə x	Түвшрүүлэх
tʰ u w ʃ ə ŋ	Түвшин
tʰ u w t u tʲ i ŋ	Түвдүүдийн
tʰ u w t e s	Түвдээс
tʰ u ʦʰ	ТҮЦ
tʰʲ a nʲ	Тянь
tʰʲ ʊ nʲ ə ŋ g	Тюнинг
tʰ i ʃ ə g	Тэшиг
tʰ i r ə n tʰ e	Тэрэнтэй
tʰ i r ə n t e	Тэрэндээ
tʰ i r tʰ e t	Тэртээд
tʰ i n u ŋ	Тэнүүн
tʰ i n ʦʰ u	Тэнцүү
tʰ i m ə ʧ ə n tʰ e	Тэмүжинтэй
tʰ i m ʦʰ e nʲ i g	Тэмцээнийг
tʰ i m ʦʰ ə ɮ	Тэмцэл
tʰ i g ə t ə rʲ i ŋ	Тэкүдэрийн
tʰ i t nʲ i g e	Тэднийгээ
tʰ i g x e r	Тэгхээр
tʰ i g s n e r	Тэгснээр
tʰ i g ʧ ə tʰ ə ɮ	Тэгжээтэл
tʰ i w ʧʰ e r g ui	Тэвчээргүй
tʰ ʊ j ə ɮ ʦ ʊ r	Туялзуур
tʰ ʊ j a s ai χ ə ŋ	Туяасайхан
tʰ ʊ s ɮ ə χ	Туслах
tʰ ʊ s t a	Тусдаа
tʰ ʊ rʲ χ ə ŋ	Турьхан
tʰ ʊ r ʃ	Турш
tʰ ʊ r χ ə ŋ	Турхан
tʰ ʊ r ə ɴ χ ai	Туранхай
tʰ ʊ r ə ɢ ə n	Туракина
tʰ ʊ r a ɮ	Тураал
tʰ ʊ r a	Тура
tʰ ʊ ɔ	Туо
tʰ ʊ ɴ ɢ a	Тунгаа
tʰ ʊ ɮ ə ɮ t a n t	Тулалдаанд
tʰ ʊ g	Туг
tʰ ʊ w ə ʧʰ ʊ t ə g	Тувачуудыг
tʰ ʊ w ə gʲ i ŋ	Тувагийн
tʰ r ʊ tʲ i	Труди
tʰ r ɔ ɮ ɮʲ ə j p ə s	Троллейбус
tʰ rʲ i nʲ ə tʰʲ i	Тринити
tʰ r a n s nʲ ə s tʰ rʲ i ŋ	Транснистрийн
tʰ r a n s ɢ ə w ɢ ə ʦ ə ŋ	Транскавказын
tʰ r a ŋ	Тран
tʰ r a m w ai n	Трамвайны
tʰ r a m w ai	Трамвай
tʰ ɔ χ ɔi	Тохой
tʰ ɔ tʰʲ	Тоть
tʰ ɔ s ɢ ə n ə t	Тосканад
tʰ ɔ s ɢ ə n	Тосгоны
