A	ə
RESPECTFULLY	ɹ ɪ s p 'ɛ k t f ə l ij
RESPECTING	ɹ ij s p 'ɛ k t ɪ ŋ
RESPECTIVE	ɹ ɪ s p 'ɛ k t ɪ v
RESPECTIVE(1)	ɹ ij s p 'ɛ k t ɪ v
RESPECTIVELY	ɹ ɪ s p 'ɛ k t ɪ v l ij
RESPECTS	ɹ ɪ s p 'ɛ k t s
RESPECTS(1)	ɹ ij s p 'ɛ k t s
RESPECTS(2)	ɹ ə s p 'ɛ k s
RESPECTS(3)	ɹ ij s p 'ɛ k s
RESPESS	ɹ 'ej s p ɪ s
RESPIRATION	ɹ ˌɛ s p ə ɹ 'ej ʃ ə n
RESPIRATOR	ɹ 'ɛ s p ə ɹ ˌej t ə ɹ
RESPIRATORS	ɹ 'ɛ s p ə ɹ ˌej t ə ɹ z
RESPIRATORY	ɹ 'ɛ s p ə ɹ ə t ˌɔ ɹ ij
RESPIRONIC	ɹ ˌɛ s p ə ɹ 'ɑ n ɪ k
RESPIRONICS	ɹ ˌɛ s ə ɹ 'ɑ n ɪ k s
RESPITE	ɹ 'ɛ s p ɪ t
RESPLENDENT	ɹ ij s p l 'ɛ n d ə n t
RESPOND	ɹ ɪ s p 'ɑ n d
RESPOND(1)	ɹ ij s p 'ɑ n d
RESPONDED	ɹ ɪ s p 'ɑ n d ɪ d
RESPONDED(1)	ɹ ij s p 'ɑ n d ə d
RESPONDED(2)	ɹ ij s p 'ɑ n d ɪ d
RESPONDENT	ɹ ɪ s p 'ɑ n d ə n t
RESPONDENTS	ɹ ɪ s p 'ɑ n d ə n t s
RESPONDENTS'	ɹ ɪ s p 'ɑ n d ə n t s
RESPONDER	ɹ ɪ s p 'ɑ n d ə ɹ
RESPONDERS	ɹ ɪ s p 'ɑ n d ə ɹ z
RESPONDING	ɹ ɪ s p 'ɑ n d ɪ ŋ
RESPONDING(1)	ɹ ij s p 'ɑ n d ɪ ŋ
RESPONDS	ɹ ɪ s p 'ɑ n d z
RESPONDS(1)	ɹ ij s p 'ɑ n d z
RESPONSE	ɹ ɪ s p 'ɑ n s
RESPONSE(1)	ɹ ij s p 'ɑ n s
RESPONSES	ɹ ɪ s p 'ɑ n s ɪ z
RESPONSES(1)	ɹ ij s p 'ɑ n s ə z
RESPONSES(2)	ɹ ij s p 'ɑ n s ɪ z
RESPONSIBILITIES	ɹ ij s p ˌɑ n s ə b 'ɪ l ə t ij z
RESPONSIBILITY	ɹ ij s p ˌɑ n s ə b 'ɪ l ə t ij
RESPONSIBLE	ɹ ij s p 'ɑ n s ə b ə l
RESPONSIBLY	ɹ ɪ s p 'ɑ n s ə b l ij
RESPONSIVE	ɹ ɪ s p 'ɑ n s ɪ v
RESPONSIVENESS	ɹ ɪ s p 'ɑ n s ɪ v n ə s
RESPRESS	ɹ 'ɛ s p ɹ ɪ s
RESS	ɹ 'ɛ s
RESSA	ɹ 'ɛ s ə
RESSA'S	ɹ 'ɛ s ə z
RESSEGUIE	ɹ 'ɛ s ɪ g w ij
RESSEL	ɹ 'ɛ s ə l
RESSLER	ɹ 'ɛ s l ə ɹ
REST	ɹ 'ɛ s t
RESTAGE	ɹ ij s t 'ej ʤ
RESTAGED	ɹ ij s t 'ej ʤ d
RESTAINO	ɹ ɛ s t ɑ 'ij n ow
RESTART	ɹ ij s t 'ɑ ɹ t
RESTARTED	ɹ ij s t 'ɑ ɹ t ɪ d
RESTARTING	ɹ ij s t 'ɑ ɹ t ɪ ŋ
RESTATE	ɹ ij s t 'ej t
RESTATED	ɹ ij s t 'ej t ɪ d
RESTATEMENT	ɹ ij s t 'ej t m ə n t
RESTATEMENTS	ɹ ij s t 'ej t m ə n t s
RESTATES	ɹ ij s t 'ej t s
RESTATING	ɹ ij s t 'ej t ɪ ŋ
RESTAURANT	ɹ 'ɛ s t ə ɹ ˌɑ n t
RESTAURANT(1)	ɹ 'ɛ s t ɹ ˌɑ n t
RESTAURANT'S	ɹ 'ɛ s t ə ɹ ˌɑ n t s
RESTAURANT'S(1)	ɹ 'ɛ s t ɹ ˌɑ n t s
RESTAURANTEUR	ɹ ɛ s t ɹ ɑ n t 'ɛ ɹ
RESTAURANTEURS	ɹ ɛ s t ɹ ɑ n t 'ɛ ɹ z
RESTAURANTS	ɹ 'ɛ s t ə ɹ ˌɑ n t s
RESTAURANTS(1)	ɹ 'ɛ s t ɹ ˌɑ n t s
RESTAURANTS'	ɹ 'ɛ s t ə ɹ ˌɑ n t s
RESTAURANTS'(1)	ɹ 'ɛ s t ɹ ˌɑ n t s
RESTAURATEUR	ɹ ˌɛ s t ə ɹ ə t 'ɛ ɹ
RESTAURATEUR(1)	ɹ ˌɛ s t ɹ ə t 'ɛ ɹ
RESTAURATEURS	ɹ ˌɛ s t ə ɹ ə t 'ɛ ɹ z
RESTAURATEURS(1)	ɹ ˌɛ s t ɹ ə t 'ɛ ɹ z
RESTED	ɹ 'ɛ s t ə d
RESTED(1)	ɹ 'ɛ s t ɪ d
RESTER	ɹ 'ɛ s t ə ɹ
RESTFUL	ɹ 'ɛ s t f ə l
RESTING	ɹ 'ɛ s t ɪ ŋ
RESTITUTE	ɹ 'ɛ s t ɪ t ˌuw t
RESTITUTION	ɹ ˌɛ s t ɪ t 'uw ʃ ə n
RESTIVE	ɹ 'ɛ s t ɪ v
RESTIVENESS	ɹ 'ɛ s t ɪ v n ə s
RESTIVO	ɹ ɛ s t 'ij v ow
RESTLESS	ɹ 'ɛ s t l ə s
RESTLESSLY	ɹ 'ɛ s t l ə s l ij
RESTLESSNESS	ɹ 'ɛ s t l ə s n ə s
RESTO	ɹ 'ɛ s t ow
RESTOCK	ɹ ij s t 'ɑ k
RESTOCKED	ɹ ij s t 'ɑ k t
RESTOCKING	ɹ ij s t 'ɑ k ɪ ŋ
RESTON	ɹ 'ɛ s t ə n
RESTORATION	ɹ ˌɛ s t ə ɹ 'ej ʃ ə n
RESTORATIONS	ɹ ˌɛ s t ə ɹ 'ej ʃ ə n z
RESTORATIVE	ɹ ə s t 'ɔ ɹ ə t ɪ v
RESTORE	ɹ ɪ s t 'ɔ ɹ
RESTORED	ɹ ɪ s t 'ɔ ɹ d
RESTORER	ɹ ɪ s t 'ɔ ɹ ə ɹ
RESTORES	ɹ ɪ s t 'ɔ ɹ z
RESTORING	ɹ ɪ s t 'ɔ ɹ ɪ ŋ
RESTRAIN	ɹ ij s t ɹ 'ej n
RESTRAINED	ɹ ij s t ɹ 'ej n d
RESTRAINING	ɹ ij s t ɹ 'ej n ɪ ŋ
RESTRAINS	ɹ ij s t ɹ 'ej n z
RESTRAINT	ɹ ɪ s t ɹ 'ej n t
RESTRAINT(1)	ɹ ij s t ɹ 'ej n t
RESTRAINTS	ɹ ɪ s t ɹ 'ej n t s
RESTRAINTS(1)	ɹ ij s t ɹ 'ej n t s
RESTREPO	ɹ ɛ s t ɹ 'ɛ p ow
RESTRICT	ɹ ij s t ɹ 'ɪ k t
RESTRICTED	ɹ ij s t ɹ 'ɪ k t ə d
RESTRICTED(1)	ɹ ij s t ɹ 'ɪ k t ɪ d
RESTRICTING	ɹ ij s t ɹ 'ɪ k t ɪ ŋ
RESTRICTION	ɹ ij s t ɹ 'ɪ k ʃ ə n
RESTRICTIONS	ɹ ij s t ɹ 'ɪ k ʃ ə n z
RESTRICTIVE	ɹ ij s t ɹ 'ɪ k t ɪ v
RESTRICTIVENESS	ɹ ə s t ɹ 'ɪ k t ɪ v n ə s
RESTRICTS	ɹ ij s t ɹ 'ɪ k t s
RESTROOM	ɹ 'ɛ s t ɹ ˌuw m
RESTROOMS	ɹ 'ɛ s t ɹ ˌuw m z
RESTRUCTURE	ɹ ij s t ɹ 'ʌ k ʧ ə ɹ
RESTRUCTURED	ɹ ij s t ɹ 'ʌ k ʧ ə ɹ d
RESTRUCTURES	ɹ ij s t ɹ 'ʌ k ʧ ə ɹ z
RESTRUCTURING	ɹ ij s t ɹ 'ʌ k ʧ ə ɹ ɪ ŋ
RESTRUCTURINGS	ɹ ij s t ɹ 'ʌ k ʧ ə ɹ ɪ ŋ z
RESTS	ɹ 'ɛ s t s
RESTYLE	ɹ ij s t 'aj l
RESTYLED	ɹ ij s t 'aj l d
RESUBMIT	ɹ ˌij s ə b m 'ɪ t
RESUBMITTED	ɹ ˌij s ə b m 'ɪ t ɪ d
RESUBMITTING	ɹ ˌij s ə b m 'ɪ t ɪ ŋ
RESULT	ɹ ɪ z 'ʌ l t
RESULT(1)	ɹ ij z 'ʌ l t
RESULTANT	ɹ ij z 'ʌ l t ə n t
RESULTED	ɹ ɪ z 'ʌ l t ɪ d
RESULTED(1)	ɹ ij z 'ʌ l t ə d
RESULTED(2)	ɹ ij z 'ʌ l t ɪ d
RESULTING	ɹ ɪ z 'ʌ l t ɪ ŋ
RESULTING(1)	ɹ ij z 'ʌ l t ɪ ŋ
RESULTS	ɹ ɪ z 'ʌ l t s
RESULTS(1)	ɹ ij z 'ʌ l t s
RESUME	ɹ ɪ z 'uw m
RESUME(1)	ɹ ij z 'uw m
RESUME(2)	ɹ 'ɛ z ə m ˌej
RESUMED	ɹ ɪ z 'uw m d
RESUMED(1)	ɹ ij z 'uw m d
RESUMES	ɹ ɪ z 'uw m z
RESUMES(1)	ɹ ij z 'uw m z
RESUMES(2)	ɹ 'ɛ z ə m ˌej z
RESUMING	ɹ ɪ z 'uw m ɪ ŋ
RESUMING(1)	ɹ ij z 'uw m ɪ ŋ
RESUMPTION	ɹ ɪ z 'ʌ m p ʃ ə n
RESUMPTION(1)	ɹ ij z 'ʌ m p ʃ ə n
RESUMPTION(2)	ɹ ɪ z 'ʌ m ʃ ə n
RESUMPTION(3)	ɹ ij z 'ʌ m ʃ ə n
RESUPPLY	ɹ ij s ə p l 'aj
RESURFACE	ɹ ij s 'ɛ ɹ f ə s
RESURFACED	ɹ ij s 'ɛ ɹ f ə s t
RESURFACING	ɹ ij s 'ɛ ɹ f ə s ɪ ŋ
RESURGENCE	ɹ ij s 'ɛ ɹ ʤ ə n s
RESURGENCY	ɹ ɪ s 'ɛ ɹ ʤ ə n s ij
RESURGENCY(1)	ɹ ij s 'ɛ ɹ ʤ ə n s ij
RESURGENT	ɹ ɪ s 'ɛ ɹ ʤ ə n t
RESURGENT(1)	ɹ ij s 'ɛ ɹ ʤ ə n t
RESURGING	ɹ ij s 'ɛ ɹ ʤ ɪ ŋ
RESURRECT	ɹ ˌɛ z ə ɹ 'ɛ k t
RESURRECTED	ɹ ˌɛ z ə ɹ 'ɛ k t ɪ d
RESURRECTING	ɹ ˌɛ z ə ɹ 'ɛ k t ɪ ŋ
RESURRECTION	ɹ ˌɛ z ə ɹ 'ɛ k ʃ ə n
RESUSCITATE	ɹ ɪ s 'ʌ s ɪ t ˌej t
RESUSCITATE(1)	ɹ ij s 'ʌ s ɪ t ˌej t
RESUSCITATED	ɹ ɪ s 'ʌ s ɪ t ˌej t ɪ d
RESUSCITATING	ɹ ɪ s 'ʌ s ɪ t ˌej t ɪ ŋ
RESUSCITATION	ɹ ɪ s ˌʌ s ɪ t 'ej ʃ ə n
RESVERATROL	ɹ ɛ s v 'ɛ ɹ ə t ɹ ɔ l
RET	ɹ 'ɛ t
RETA	ɹ 'ɛ t ə
RETABLOS	ɹ ij t 'æ b l ow s
RETAIL	ɹ 'ij t ˌej l
RETAILED	ɹ 'ij t ˌej l d
RETAILER	ɹ 'ij t ˌej l ə ɹ
RETAILER'S	ɹ 'ij t ˌej l ə ɹ z
RETAILERS	ɹ 'ij t ˌej l ə ɹ z
RETAILERS'	ɹ 'ij t ˌej l ə ɹ z
RETAILING	ɹ 'ij t ˌej l ɪ ŋ
RETAILING'S	ɹ 'ij t ˌej l ɪ ŋ z
RETAILS	ɹ 'ij t ˌej l z
RETAIN	ɹ ɪ t 'ej n
RETAIN(1)	ɹ ij t 'ej n
RETAINED	ɹ ɪ t 'ej n d
RETAINED(1)	ɹ ij t 'ej n d
RETAINER	ɹ ɪ t 'ej n ə ɹ
RETAINER(1)	ɹ ij t 'ej n ə ɹ
RETAINERS	ɹ ɪ t 'ej n ə ɹ z
RETAINING	ɹ ɪ t 'ej n ɪ ŋ
RETAINING(1)	ɹ ij t 'ej n ɪ ŋ
RETAINS	ɹ ɪ t 'ej n z
RETAINS(1)	ɹ ij t 'ej n z
RETAKE	ɹ 'ij t 'ej k
RETAKE(1)	ɹ ij t 'ej k
RETAKEN	ɹ ij t 'ej k ə n
RETAKING	ɹ ij t 'ej k ɪ ŋ
RETALIATE	ɹ ɪ t 'æ l ij ˌej t
RETALIATE(1)	ɹ ij t 'æ l ij ˌej t
RETALIATED	ɹ ɪ t 'æ l ij ˌej t ɪ d
RETALIATED(1)	ɹ ij t 'æ l ij ˌej t ɪ d
RETALIATING	ɹ ɪ t 'æ l ij ˌej t ɪ ŋ
RETALIATION	ɹ ij t ˌæ l ij 'ej ʃ ə n
RETALIATORY	ɹ ij t 'æ l j ə t ˌɔ ɹ ij
RETANA	ɹ ɛ t 'æ n ə
RETARD	ɹ ɪ t 'ɑ ɹ d
RETARD(1)	ɹ ij t 'ɑ ɹ d
RETARDANT	ɹ ij t 'ɑ ɹ d ə n t
RETARDATION	ɹ ij t ɑ ɹ d 'ej ʃ ə n
RETARDED	ɹ ɪ t 'ɑ ɹ d ɪ d
RETARDED(1)	ɹ ij t 'ɑ ɹ d ə d
RETARDED(2)	ɹ ij t 'ɑ ɹ d ɪ d
RETARDING	ɹ ɪ t 'ɑ ɹ d ɪ ŋ
RETARDING(1)	ɹ ij t 'ɑ ɹ d ɪ ŋ
RETARDS	ɹ ɪ t 'ɑ ɹ d z
RETARDS(1)	ɹ ij t 'ɑ ɹ d z
RETELL	ɹ ij t 'ɛ l
RETELLING	ɹ ij t 'ɛ l ɪ ŋ
RETEMEYER	ɹ 'ɛ t ə m ˌaj ɹ
RETENTION	ɹ ij t 'ɛ n ʃ ə n
RETEST	ɹ 'ij t 'ɛ s t
RETESTED	ɹ ij t 'ɛ s t ɪ d
RETESTING	ɹ ij t 'ɛ s t ɪ ŋ
RETESTS	ɹ 'ij t 'ɛ s t s
RETHERFORD	ɹ ɪ θ 'ɛ ɹ f ə ɹ d
RETHINK	ɹ ij θ 'ɪ ŋ k
RETHINKING	ɹ ij θ 'ɪ ŋ k ɪ ŋ
RETHOUGHT	ɹ ij θ 'ɔ t
RETI	ɹ 'ɛ t ij
RETICENCE	ɹ 'ɛ t ɪ s ə n s
RETICENT	ɹ 'ɛ t ɪ s ə n t
RETIN	ɹ 'ɛ t ɪ n
RETINA	ɹ 'ɛ t ə n ə
RETINAL	ɹ 'ɛ t ə n ə l
RETINOBLASTOMA	ɹ ˌɛ t ɪ n ˌow b l ˌæ s t 'ow m ə
RETINOID	ɹ 'ɛ t ɪ n ɔj d
RETINOIDS	ɹ 'ɛ t ɪ n ɔj d z
RETINOL	ɹ 'ɛ t ɪ n ˌɔ l
RETINUE	ɹ 'ɛ t ə n ˌuw
RETINYL	ɹ 'ɛ t ɪ n ə l
RETIRE	ɹ ɪ t 'aj ɹ
RETIRE(1)	ɹ ij t 'aj ɹ
RETIRE(2)	ɹ ˌij t 'aj ə ɹ
RETIRED	ɹ ɪ t 'aj ɹ d
RETIRED(1)	ɹ ij t 'aj ə ɹ d
RETIRED(2)	ɹ ij t 'aj ɹ d
RETIREE	ɹ ij t 'aj ɹ 'ij
RETIREE'S	ɹ ɪ t ˌaj ɹ 'ij z
RETIREES	ɹ ij t 'aj ɹ 'ij z
RETIREES'	ɹ ɪ t ˌaj ɹ 'ij z
RETIREMENT	ɹ ij t 'aj ə ɹ m ə n t
RETIREMENT(1)	ɹ ɪ t 'aj ə ɹ m ə n t
RETIREMENT'S	ɹ ɪ t 'aj ɹ m ə n t s
RETIREMENT'S(1)	ɹ ij t 'aj ɹ m ə n t s
RETIREMENTS	ɹ ɪ t 'aj ɹ m ə n t s
RETIREMENTS(1)	ɹ ij t 'aj ɹ m ə n t s
RETIRES	ɹ ɪ t 'aj ɹ z
RETIRES(1)	ɹ ij t 'aj ə ɹ z
RETIRES(2)	ɹ ij t 'aj ɹ z
RETIRING	ɹ ɪ t 'aj ɹ ɪ ŋ
RETIRING(1)	ɹ ij t 'aj ə ɹ ɪ ŋ
RETIRING(2)	ɹ ij t 'aj ɹ ɪ ŋ
RETLIN	ɹ 'ɛ t l ɪ n
RETO	ɹ 'ij t 'uw
RETOOK	ɹ ij t 'ʊ k
RETOOL	ɹ ij t 'uw l
RETOOLED	ɹ ij t 'uw l d
RETOOLING	ɹ ij t 'uw l ɪ ŋ
RETORT	ɹ 'ij t ˌɔ ɹ t
RETORTED	ɹ ij t 'ɔ ɹ t ɪ d
RETORTS	ɹ ɪ t 'ɔ ɹ t s
RETORTS(1)	ɹ ij t 'ɔ ɹ t s
RETOUCHING	ɹ ij t 'ʌ ʧ ɪ ŋ
RETRACE	ɹ ij t ɹ 'ej s
RETRACED	ɹ ij t ɹ 'ej s t
RETRACEMENT	ɹ ij t ɹ 'ej s m ə n t
RETRACING	ɹ ij t ɹ 'ej s ɪ ŋ
RETRACT	ɹ ij t ɹ 'æ k t
RETRACTABLE	ɹ ij t ɹ 'æ k t ə b ə l
RETRACTED	ɹ ij t ɹ 'æ k t ə d
RETRACTING	ɹ ij t ɹ 'æ k t ɪ ŋ
RETRACTION	ɹ ij t ɹ 'æ k ʃ ə n
RETRACTS	ɹ ij t ɹ 'æ k t s
RETRAIN	ɹ ij t ɹ 'ej n
RETRAINED	ɹ ij t ɹ 'ej n d
RETRAINING	ɹ ij t ɹ 'ej n ɪ ŋ
RETRANSMISSION	ɹ ˌij t ɹ æ n z m 'ɪ ʃ ə n
RETREAD	ɹ ij t ɹ 'ɛ d
RETREADING	ɹ ij t ɹ 'ɛ d ɪ ŋ
RETREADS	ɹ ij t ɹ 'ɛ d z
RETREAT	ɹ ij t ɹ 'ij t
RETREATED	ɹ ij t ɹ 'ij t ə d
RETREATED(1)	ɹ ij t ɹ 'ij t ɪ d
RETREATING	ɹ ij t ɹ 'ij t ɪ ŋ
RETREATS	ɹ ij t ɹ 'ij t s
RETRENCH	ɹ ij t ɹ 'ɛ n ʧ
RETRENCHED	ɹ ij t ɹ 'ɛ n ʧ t
RETRENCHING	ɹ ij t ɹ 'ɛ n ʧ ɪ ŋ
RETRENCHMENT	ɹ ij t ɹ 'ɛ n ʧ m ə n t
RETRENCHMENTS	ɹ ij t ɹ 'ɛ n ʧ m ə n t s
RETRIAL	ɹ ij t ɹ 'aj ə l
RETRIBUTION	ɹ ˌɛ t ɹ ə b j 'uw ʃ ə n
RETRIED	ɹ ij t ɹ 'aj d
RETRIEVAL	ɹ ɪ t ɹ 'ij v ə l
RETRIEVAL(1)	ɹ ij t ɹ 'ij v ə l
RETRIEVE	ɹ ɪ t ɹ 'ij v
RETRIEVE(1)	ɹ ij t ɹ 'ij v
RETRIEVED	ɹ ij t ɹ 'ij v d
RETRIEVER	ɹ ij t ɹ 'ij v ə ɹ
RETRIEVERS	ɹ ij t ɹ 'ij v ə ɹ z
RETRIEVES	ɹ ɪ t ɹ 'ij v z
RETRIEVES(1)	ɹ ij t ɹ 'ij v z
RETRIEVING	ɹ ij t ɹ 'ij v ɪ ŋ
RETRO	ɹ 'ɛ t ɹ ow
RETROACTIVE	ɹ ˌɛ t ɹ ow 'æ k t ɪ v
RETROACTIVELY	ɹ ˌɛ t ɹ ow 'æ k t ɪ v l ij
RETROACTIVITY	ɹ ˌɛ t ɹ ow æ k t 'ɪ v ɪ t ij
RETROCESSION	ɹ ˌɛ t ɹ ow s 'ɛ ʃ ə n
RETROCESSIONARIES	ɹ ˌɛ t ɹ ow s 'ɛ ʃ ə n ɛ ɹ ij z
RETROCESSIONARY	ɹ ˌɛ t ɹ ow s 'ɛ ʃ ə n ɛ ɹ ij
RETROFIT	ɹ 'ɛ t ɹ ow f ˌɪ t
RETROFITS	ɹ 'ɛ t ɹ ow f ˌɪ t s
RETROFITTED	ɹ 'ɛ t ɹ ˌow f ˌɪ t ɪ d
RETROFITTER	ɹ 'ɛ t ɹ ˌow f ˌɪ t ə ɹ
RETROFITTING	ɹ 'ɛ t ɹ ow f ˌɪ t ɪ ŋ
RETROGRADE	ɹ 'ɛ t ɹ ə g ɹ ˌej d
RETROSPECT	ɹ 'ɛ t ɹ ə s p ˌɛ k t
RETROSPECTIVE	ɹ ˌɛ t ɹ ə s p 'ɛ k t ɪ v
RETROSPECTIVELY	ɹ ˌɛ t ɹ ow s p 'ɛ k t ɪ v l ij
RETROVIR	ɹ 'ɛ t ɹ ow v ˌɪ ɹ
RETROVIRUS	ɹ ˌɛ t ɹ ow v 'aj ɹ ə s
RETROVIRUSES	ɹ ˌɛ t ɹ ow v 'aj ɹ ə s ɪ z
RETRY	ɹ ij t ɹ 'aj
RETRYING	ɹ ij t ɹ 'aj ɪ ŋ
RETTBERG	ɹ 'ɛ t b ə ɹ g
RETTER	ɹ 'ɛ t ə ɹ
RETTEW	ɹ 'ɛ ʧ uw
RETTIG	ɹ 'ɛ t ɪ g
RETTINGER	ɹ 'ɛ t ɪ n ʤ ə ɹ
RETTINGER(1)	ɹ 'ɛ t ɪ ŋ ə ɹ
RETTKE	ɹ 'ɛ t k ij
RETTON	ɹ 'ɛ t ə n
RETURN	ɹ ɪ t 'ɛ ɹ n
RETURN(1)	ɹ ij t 'ɛ ɹ n
RETURNABLE	ɹ ij t 'ɛ ɹ n ə b ə l
RETURNED	ɹ ɪ t 'ɛ ɹ n d
RETURNED(1)	ɹ ij t 'ɛ ɹ n d
RETURNEE	ɹ ɪ t ə ɹ n 'ij
RETURNEES	ɹ ɪ t ə ɹ n 'ij z
RETURNING	ɹ ɪ t 'ɛ ɹ n ɪ ŋ
RETURNING(1)	ɹ ij t 'ɛ ɹ n ɪ ŋ
RETURNS	ɹ ɪ t 'ɛ ɹ n z
RETURNS(1)	ɹ ij t 'ɛ ɹ n z
RETURNS'	ɹ ə t 'ɛ ɹ n z
RETURNS'(1)	ɹ ij t 'ɛ ɹ n z
RETZ	ɹ 'ɛ t s
RETZER	ɹ 'ɛ t z ə ɹ
RETZLAFF	ɹ 'ɛ t z l ə f
RETZLOFF	ɹ 'ɛ t z l ɔ f
REUBEN	ɹ 'uw b ə n
REUBER	ɹ 'ɔj b ə ɹ
REUL	ɹ 'uw l
REULAND	ɹ 'ɔj l ə n d
REULE	ɹ 'uw l
REUM	ɹ 'ij ə m
REUNIFICATION	ɹ ij ˌuw n ə f ə k 'ej ʃ ə n
REUNIFIED	ɹ ij 'uw n ə f ˌaj d
REUNIFY	ɹ ij 'uw n ə f ˌaj
REUNION	ɹ ij 'uw n j ə n
REUNIONS	ɹ ij 'uw n j ə n z
REUNITE	ɹ ˌij uw n 'aj t
REUNITED	ɹ ˌij uw n 'aj t ɪ d
REUNITES	ɹ ˌij uw n 'aj t s
REUNITING	ɹ ˌij uw n 'aj t ɪ ŋ
REUSABLE	ɹ ij 'uw z ə b ə l
REUSCH	ɹ 'ɔj ʃ
REUSE	ɹ ij j 'uw s
REUSE(1)	ɹ ij j 'uw z
REUSED	ɹ ij 'uw z d
REUSING	ɹ ij j 'uw z ɪ ŋ
REUSS	ɹ 'uw s
REUSSER	ɹ 'ɔj s ə ɹ
REUST	ɹ 'uw s t
REUTER	ɹ 'ɔj t ə ɹ
REUTER'S	ɹ 'ɔj t ə ɹ z
REUTERS	ɹ 'ɔj t ə ɹ z
REUTERS'	ɹ 'ɔj t ə ɹ z
REUTERS'S	ɹ 'ɔj t ə ɹ z ɪ z
REUTERS'S(1)	ɹ 'ɔj t ə ɹ z
REUTGERS	ɹ 'ɔj t g ə ɹ z
REUTHER	ɹ 'ɔj ð ə ɹ
REUTTER	ɹ 'ɔj t ə ɹ
REUTZEL	ɹ 'ɔj t z ə l
REV	ɹ 'ɛ v
REVA	ɹ 'ej v ə
REVAK	ɹ 'ɛ v ə k
REVALUATION	ɹ ij v 'æ l j uw 'ej ʃ ə n
REVALUATIONS	ɹ ij ɪ v ˌæ l j uw 'ej ʃ ə n z
REVALUE	ɹ ij v 'æ l j ˌuw
REVALUED	ɹ ij v 'æ l j uw d
REVALUING	ɹ ij v 'æ l j uw ɪ ŋ
REVAMP	ɹ ij v 'æ m p
REVAMPED	ɹ ij v 'æ m p t
REVAMPING	ɹ ij v 'æ m p ɪ ŋ
REVAMPS	ɹ ij v 'æ m p s
REVARD	ɹ ɪ v 'ɑ ɹ d
REVCO	ɹ 'ɛ v k ow
REVCO'S	ɹ 'ɛ v k ow z
REVEAL	ɹ ɪ v 'ij l
REVEAL(1)	ɹ ij v 'ij l
REVEALED	ɹ ɪ v 'ij l d
REVEALED(1)	ɹ ij v 'ij l d
REVEALING	ɹ ɪ v 'ij l ɪ ŋ
REVEALING(1)	ɹ ij v 'ij l ɪ ŋ
REVEALS	ɹ ɪ v 'ij l z
REVEALS(1)	ɹ ij v 'ij l z
REVEL	ɹ 'ɛ v ə l
REVELATION	ɹ ˌɛ v ə l 'ej ʃ ə n
REVELATIONS	ɹ ˌɛ v ə l 'ej ʃ ə n z
REVELATORY	ɹ ɪ v 'ɛ l ə t ˌɔ ɹ ij
REVELED	ɹ 'ɛ v ə l d
REVELER	ɹ 'ɛ v ə l ə ɹ
REVELERS	ɹ 'ɛ v ə l ə ɹ z
REVELES	ɹ ej v 'ej l ɛ s
REVELING	ɹ 'ɛ v ə l ɪ ŋ
REVELL	ɹ ej v 'ej l
REVELLE	ɹ ɪ v 'ɛ l
REVELLER	ɹ 'ɛ v ə l ə ɹ
REVELLERS	ɹ 'ɛ v ə l ə ɹ z
REVELLO	ɹ ɛ v 'ɛ l ow
REVELRY	ɹ 'ɛ v ə l ɹ ij
REVELS	ɹ 'ɛ v ə l z
REVENGE	ɹ ij v 'ɛ n ʤ
REVENUE	ɹ 'ɛ v ə n ˌuw
REVENUE(1)	ɹ 'ɛ v ə n j ˌuw
REVENUER	ɹ 'ɛ v ə n ˌuw ə ɹ
REVENUER(1)	ɹ 'ɛ v ə n j ˌuw ə ɹ
REVENUERS	ɹ 'ɛ v ə n ˌuw ə ɹ z
REVENUERS(1)	ɹ 'ɛ v ə n j ˌuw ə ɹ z
REVENUES	ɹ 'ɛ v ə n ˌuw z
REVENUES(1)	ɹ 'ɛ v ə n j ˌuw z
REVERB	ɹ ij v 'ɛ ɹ b
REVERBED	ɹ ij v 'ɛ ɹ b d
REVERBERATE	ɹ ɪ v 'ɛ ɹ b ə ɹ ə t
REVERBERATE(1)	ɹ ɪ v 'ɛ ɹ b ə ɹ ej t
REVERBERATED	ɹ ɪ v 'ɛ ɹ b ə ɹ ˌej t ɪ d
REVERBERATED(1)	ɹ ij v 'ɛ ɹ b ə ɹ ˌej t ə d
REVERBERATED(2)	ɹ ij v 'ɛ ɹ b ə ɹ ˌej t ɪ d
REVERBERATES	ɹ ɪ v 'ɛ ɹ b ə ɹ ˌej t s
REVERBERATING	ɹ ɪ v 'ɛ ɹ b ə ɹ ˌej t ɪ ŋ
REVERBERATING(1)	ɹ ij v 'ɛ ɹ b ə ɹ ˌej t ɪ ŋ
REVERBERATION	ɹ ij v ˌɛ ɹ b ə ɹ 'ej ʃ ə n
REVERBERATIONS	ɹ ɪ v ˌɛ ɹ b ə ɹ 'ej ʃ ə n z
REVERCOMB	ɹ 'ɛ v ə ɹ k ə m
REVERE	ɹ ɪ v 'ɪ ɹ
REVERED	ɹ ɪ v 'ɪ ɹ d
REVERENCE	ɹ 'ɛ v ə ɹ ə n s
REVEREND	ɹ 'ɛ v ə ɹ ə n d
REVEREND(1)	ɹ 'ɛ v ɹ ə n d
REVERENT	ɹ 'ɛ v ə ɹ ə n t
REVERENTIAL	ɹ ˌɛ v ə ɹ 'ɛ n ʧ ə l
