word	prefix	stem	part of speech	french
thaˊnˊthaˊɲɛˋxaˋ		thaˊnˊthaˊɲɛˋxaˋ	v	jeter des étincelles.
thaˊnˊtshaˊ		thaˊnˊtshaˊ	v	réveiller, relever, remonter.
thaˊɲaˊ		thaˊɲaˊ	v	s'animer, s'éveiller, reprendre connaissance.
thaˊpaˊ		thaˊpaˊ	v	employer, occuper.
thaˋpɛˋlɔˋ		thaˋpɛˋlɔˋ	NA	prière, messe.
thaˋpʊˋ		thaˋpʊˋ	NA	corde, ficelle.
thaˊpɔˊ		thaˊpɔˊ	NA	embauche.
thaˊpɔˊ		thaˊpɔˊ	NA	noyau, pépin.
thaˊraˊaˊnɔˋ		thaˊraˊaˊnɔˋ	NA	complication.
thaˊraˊbʊˊlʊˋlɔˋ		thaˊraˊbʊˊlʊˋlɔˋ	NA	solution, règlement.
thaˋriˊ		thaˋriˊ	NA	porte-bébé traditionnel en peau.
thaˊtaˊ		thaˊtaˊ	ad	beaucoup, bien, très.
thaˊtaˊ		thaˊtaˊ	n	force, énergie, moyens, pouvoir, puissance. - nna thata : être dur, difficile, fort, résistant, robuste, solide.
thaˊtaˊɸaˊlaˋ		thaˊtaˊɸaˊlaˋ	v	se renforcer, se développer, durcir, se consolider.
thaˊtaˊɸaˊtsaˋ		thaˊtaˊɸaˊtsaˋ	v	consolider, développer, endurcir, renforcer.
thaˊtaˊnɔˊ		thaˊtaˊnɔˊ	NA	amour mutuel.
thaˊtaˋthaˊtaˊ		thaˊtaˋthaˊtaˊ	ad	extrèmement, notamment, particulièrement, surtout, terriblement.
thaˊthaˊmʊˊlʊˋxaˋ		thaˊthaˊmʊˊlʊˋxaˋ	v	se dérégler.
thaˋthaˋɲaˋnaˋ		thaˋthaˋɲaˋnaˋ	n	petit morceau.
thaˊthɛˊlɛˊlaˋ		thaˊthɛˊlɛˊlaˋ	v	enrouler, remonter.
thaˊthʊˊlʊˊxaˋ		thaˊthʊˊlʊˊxaˋ	v	se défaire, se dérouler.
thaˊthʊˊlʊˊlaˋ		thaˊthʊˊlʊˊlaˋ	v	défaire, dérouler.
thaˊtɔˊ		thaˊtɔˊ	NA	amour, désir, envie. - thato e kgolo : préférence.
thaˊthʊˊlʊˊlaˋ		thaˊthʊˊlʊˊlaˋ	v	défaire, dérouler
thaˊjaˊ		thaˊjaˊ	v	fonder, constituer, tendre (un piège).
thɛˊbɛˊ		thɛˊbɛˊ	NA	bouclier.
thɛˊbɛˊ		thɛˊbɛˊ	NA	un centième de pula.
theˊbʊˊlɔˊ		theˊbʊˊlɔˊ	NA	autorisation.
theˊeˊtsoˊ		theˊeˊtsoˊ	NA	écoute.
theˊiˋpiˊ		theˊiˋpiˊ	NA	bande.
theˊkeˊleˊtsaˋ		theˊkeˊleˊtsaˋ	v	entourer, enclôre.
theˋkɪˋniˊkiˊ		theˋkɪˋniˊkiˊ	NA	technique.
thɪˊkɪˋtɪˊ		thɪˊkɪˋtɪˊ	NA	billet, ticket.
theˊkiˊsɔˊ		theˊkiˊsɔˊ	NA	vente.
thɛˊkɔˊ		thɛˊkɔˊ	NA	achat, course.
thɛˋlaˋ		thɛˋlaˋ	v	verser se jeter, avoir la diarrhée, transmettre une maladie contagieuse.
thɪˋlɪˋ		thɪˋlɪˋ	NA	mamelle, pis.
theˋleˋdiˋ		theˋleˋdiˋ	NA	rotule.
theˊleˋɸiˊʃɪˋnɪˊ		theˊleˋɸiˊʃɪˋnɪˊ	NA	télévision.
theˊleˋɸoˊuˋnɪˊ		theˊleˋɸoˊuˋnɪˊ	NA	téléphone.
thɛˊlɛˊkɪˋraˊmaˊ		thɛˊlɛˊkɪˋraˊmaˊ	n	télégramme.
thɛˋlɛˋlɔˋ		thɛˋlɛˋlɔˋ	NA	glissement.
theˋleˋseˋtsoˋ		theˋleˋseˋtsoˋ	NA	hospitalité.
thɛˊmɔˊ		thɛˊmɔˊ	NA	abattage.
thɛˋmɔˊmɪˊtaˋraˊ		thɛˋmɔˊmɪˊtaˋraˊ	n	thermomètre.
thɛˊmˊpɪˋrɪˊtʃhaˋraˊ		thɛˊmˊpɪˋrɪˊtʃhaˋraˊ	n	température.
thɛˊɔˊ		thɛˊɔˊ	NA	fondation, constitution.
theˊʊˊxaˊ		theˊʊˊxaˊ	v	se renverser.
theˊʊˊxɛˊlaˋ		theˊʊˊxɛˊlaˋ	v	commencer de travailler.
thɛˊpɛˊ		thɛˊpɛˊ	NA	robinet.
thɪˊpɪˊ		thɪˊpɪˊ	NA	pl. bo- : légume sauvage (sp).
theˊriˊsaˊnɔˋ		theˊriˊsaˊnɔˋ	NA	interview.
thɛˊrɔˊ		thɛˊrɔˊ	NA	discussion, sermon.
thɪˋthaˋ		thɪˋthaˋ	v	se vanter.
thiˋbaˋ		thiˋbaˋ	v	conduire du bétail.
thiˊbaˊ		thiˊbaˊ	v	boucher, barrer, cacher, couvrir, empêcher.
thiˋbɛˋlɛˋlaˋ		thiˋbɛˋlɛˋlaˋ	v	camper, emménager, s'établir qq part.
thiˊbɛˊlɛˊlaˋ		thiˊbɛˊlɛˊlaˋ	v	empêcher de passer.
thiˋbɛˋlɛˋlɔˋ		thiˋbɛˋlɛˋlɔˋ	NA	établissement.
thiˋbʊˋxaˋ		thiˋbʊˋxaˋ	v	se déplacer.
thiˊbʊˊlʊˊxaˋ		thiˊbʊˊlʊˊxaˋ	v	se déboucher, se découvrir, se dégager.
thiˊbʊˊlʊˊlaˋ		thiˊbʊˊlʊˊlaˋ	v	déboucher, découvrir, dégager.
thiˋbʊˋsaˋ		thiˋbʊˋsaˋ	v	déplacer.
thiˊiˋbiˊiˋ		thiˊiˋbiˊiˋ	NA	tuberculose.
thiˊlɪˊ		thiˊlɪˊ	NA	caisse (d'un magasin).
thiˊniˊ		thiˊniˊ	NA	boite de conserve
thiˋpaˊ		thiˋpaˊ	n	couteau.
thiˊpʊˊlaˊ		thiˊpʊˊlaˊ	v	trancher.
thiˊriˊ		thiˊriˊ	NA	poil.
thiˋtiˋbaˋlɔˋ		thiˋtiˋbaˋlɔˋ	NA	tranquillité.
thiˋtɔˋ		thiˋtɔˋ	NA	tronc.
thiˊtʃhaˋraˊ		thiˊtʃhaˋraˊ	n	professeur.
thʊˋbaˋ		thʊˋbaˋ	n	bout du sein, tétine.
thɔˋbaˋ		thɔˋbaˋ	v	s'échapper.
thɔˋbaˋ		thɔˋbaˋ	v	masser, faire des compresses.
thɔˋbaˋlɔˋ		thɔˋbaˋlɔˋ	NA	le fait d'être couché.
thɔˋbaˊnɪˊ		thɔˋbaˊnɪˊ	NA	canne.
thɔˋbɛˋxɔˋ		thɔˋbɛˋxɔˋ	NA	cassure.
thɔˋbɔˋ		thɔˋbɔˋ	NA	moisson, récolte.
thɔˊɪˊ		thɔˊɪˊ	NA	jouet.
thʊˊxɔˊ		thʊˊxɔˊ	NA	injure, insulte.
thʊˋkxaˋmaˋ		thʊˋkxaˋmaˋ	v	avoir un caractère droit.
thʊˋkxaˋmɔˋ		thʊˋkxaˋmɔˋ	NA	caractère droit.
thʊˊkɔˊ		thʊˊkɔˊ	NA	alène, poinçon.
thʊˊkʊˊ		thʊˊkʊˊ	NA	côté. - fa thoko : á côté, á l'écart, á part. - nna fa thoko : être particulier.
thɔˋkɔˋlɔˋ		thɔˋkɔˋlɔˋ	NA	crotte, crottin.
thɔˋlɔˊ		thɔˋlɔˊ	NA	antilope (sp).
thʊˋlʊˋxaˋ		thʊˋlʊˋxaˋ	v	couler.
thʊˋlʊˋlaˋ		thʊˋlʊˋlaˋ	v	verser.
thʊˋlwaˊnaˊ		thʊˋlwaˊnaˊ	n	fruit (sp).
thʊˊmɛˊlɔˊ		thʊˊmɛˊlɔˊ	NA	envoi, commande, expédition.
thʊˊmɔˊ		thʊˊmɔˊ	NA	mission.
thʊˊpaˊ		thʊˊpaˊ	v	s'emparer.
thʊˊpɛˊlaˊ		thʊˊpɛˊlaˊ	v	priver.
thʊˊpɔˊ		thʊˊpɔˊ	NA	capture, prise.
thʊˋrʊˋmɔˋ		thʊˋrʊˋmɔˋ	NA	tremblement.
thʊˊtaˊ		thʊˊtaˊ	n	colline.
thoˋthiˊ		thoˋthiˊ	NA	goutte.
thɔˋthɔˋmɛˋlaˋ		thɔˋthɔˋmɛˋlaˋ	v	pénétrer profondément.
thʊˊtʊˊ		thʊˊtʊˊ	NA	marchandise, propriété, bagage.
thʊˋtʊˋbʊˊlʊˊ		thʊˋtʊˋbʊˊlʊˊ	NA	décharge d'ordures.
thɔˊtsɛˊ		thɔˊtsɛˊ	NA	pépin.
thuˊaˊɲɔˊ		thuˊaˊɲɔˊ	NA	réconciliation.
thuˋbaˋ		thuˋbaˋ	v	casser, abattre, démolir.
thuˋbaˋkaˋɲaˋ		thuˋbaˋkaˋɲaˋ	v	être violent, dévaster.
thuˋbaˋkaˋɲɔˋ		thuˋbaˋkaˋɲɔˋ	NA	violence.
thuˋbɛˋxaˋ		thuˋbɛˋxaˋ	v	être cassable, être fragile, se casser.
thuˋbɛˋxɔˋ		thuˋbɛˋxɔˋ	NA	cassure.
thuˋbɔˋ		thuˋbɔˋ	NA	abattage, démolition.
thuˊdiˊ		thuˊdiˊ	NA	corde.
thuˋxaˋ		thuˋxaˋ	v	écraser, piler.
thuˋxɔˋ		thuˋxɔˋ	NA	pilage.
thuˋkhuˋthaˋ		thuˋkhuˋthaˋ	v	prendre de force.
thuˊlaˊ		thuˊlaˊ	v	heurter, se cogner, forger.
thuˊlaˊxaˊɲɔˋ		thuˊlaˊxaˊɲɔˋ	NA	classement, arrangement, disposition, ordre, organisation, programme, système, tableau. - thulaganyo ya ntsifatso : table de multiplication.
thuˊlaˊkaˊnaˋ		thuˊlaˊkaˊnaˋ	v	se heurter violemment.
thuˊlaˊkaˊnɔˋ		thuˊlaˊkaˊnɔˋ	NA	collision violente.
thuˊlaˊmaˊ		thuˊlaˊmaˊ	v	être incliné, pencher.
thuˊlaˊmɛˊlaˋ		thuˊlaˊmɛˊlaˋ	v	s'endormir.
thuˊlaˊmeˊtsaˋ		thuˊlaˊmeˊtsaˋ	v	endormir.
thuˊlaˊmɔˊ		thuˊlaˊmɔˊ	NA	pente.
thuˊlaˊnaˊ		thuˊlaˊnaˊ	v	se heurter, entrer en collision.
thuˊlaˊnoˊ		thuˊlaˊnoˊ	NA	collision, accrochage.
thuˊlɛˊlɔˊ		thuˊlɛˊlɔˊ	NA	le fait de couvrir une maison.
thuˋmaˋ		thuˋmaˋ	v	se baigner, nager.
thuˊmʊˊlaˊnɔˋ		thuˊmʊˊlaˊnɔˋ	NA	provocation.
thuˊɲaˊ		thuˊɲaˊ	v	éclater, exploser, sauter, voler en éclats.
thuˊɲaˊ		thuˊɲaˊ	v	blanchir, déteindre, fleurir.
thuˊɲɔˊ		thuˊɲɔˊ	NA	éclatement, décharge (d'arme á feu), explosion.
thuˊnˊtshaˊ		thuˊnˊtshaˊ	v	faire exploser, souffler.
thuˊɔˊ		thuˊɔˊ	NA	élevage, possession, propriété.
thuˋpaˋ		thuˋpaˋ	n	bâton.
thuˋpiˋsɔˋ		thuˋpiˋsɔˋ	NA	circoncision, initiation.
thuˊruˊxɔˊ		thuˊruˊxɔˊ	NA	bosse, enflure.
thuˊsaˊ		thuˊsaˊ	v	aider, être utile, rendre service.
thuˊsaˊnaˊ		thuˊsaˊnaˊ	v	s'entraider.
thuˊsaˊnɔˊ		thuˊsaˊnɔˊ	NA	entraide.
thuˊsɛˊxaˊ		thuˊsɛˊxaˊ	v	recevoir de l'aide.
thuˊsɛˊxɔˊ		thuˊsɛˊxɔˊ	NA	le fait de recevoir de l'aide. - ka thusego ya : dans l'intérêt de
thuˊsɔˊ		thuˊsɔˊ	NA	aide, appui, assistance, profit, secours, service, soutien, utilité. - nna thuso : être utile, être intéressant.
thuˊtaˋɸaˊtshɪˊ		thuˊtaˋɸaˊtshɪˊ	NA	géographie.
thuˊtaˋpuˊɔˊ		thuˊtaˋpuˊɔˊ	NA	grammaire.
thuˊteˊxɔˊ		thuˊteˊxɔˊ	NA	instruction, culture, stage.
thuˋthaˋɸaˋlaˋ		thuˋthaˋɸaˋlaˋ	v	chauffer, se réchauffer.
thuˋthaˋɸaˋtsaˋ		thuˋthaˋɸaˋtsaˋ	v	chauffer.
thuˋtwaˋ		thuˋtwaˋ	n	girafe.
thuˊtɔˊ		thuˊtɔˊ	NA	étude, apprentissage, cours, éducation, enseignement, formation, initiation, leçon.
thwaˊlaˊ		thwaˊlaˊ	v	s'approprier un objet trouvé.
thwaˊlɔˊ		thwaˊlɔˊ	NA	transport.
thwaˊnɪˊ		thwaˊnɪˊ	NA	lynx
thwaˊnˊtshaˊ		thwaˊnˊtshaˊ	v	faire claquer.
thwaˊɲaˊ		thwaˊɲaˊ	v	claquer.
thweˊsoˊ		thweˊsoˊ	NA	chargement.
tiˊaˊ		tiˊaˊ	v	être costaud, être fort.
tiˋbaˋ		tiˋbaˋ	v	taper du pied.
tiˋbʊˋlaˋlʊˋthaˋ		tiˋbʊˋlaˋlʊˋthaˋ	v	pl. bo- : premier-né.
tiˋdiˋmaˋ		tiˋdiˋmaˋ	n	vallée.
tiˊdiˊmaˊlɔˋ		tiˊdiˊmaˊlɔˋ	NA	calme, silence.
tiˊdiˊsaˊ		tiˊdiˊsaˊ	v	faire éviter.
tiˊɛˊxɔˊ		tiˊɛˊxɔˊ	NA	retard.
tiˋxɛˋlɔˋ		tiˋxɛˋlɔˋ	NA	conclusion.
tiˋxɔˋ		tiˋxɔˋ	NA	abattage.
tiˊiˊsaˊ		tiˊiˊsaˊ	v	renforcer.
tiˊkaˊɲeˊtsoˋ		tiˊkaˊɲeˊtsoˋ	NA	entourage. - mo tikanyetsong : autour.
tiˊkaˊtiˊkɔˋ		tiˊkaˊtiˊkɔˋ	NA	hésitation.
tiˊkʊˊlʊˊxɔˋ		tiˊkʊˊlʊˊxɔˋ	NA	circuit, environs, roulement, tour. - mo tikologong : autour.
tiˊlaˊ		tiˊlaˊ	v	éviter.
tiˊlɛˊxaˊ		tiˊlɛˊxaˊ	v	être évitable.
tiˊlʊˊdiˊ		tiˊlʊˊdiˊ	NA	taché de noir et de blanc.
tiˊlʊˋtsaˊnaˊ		tiˊlʊˋtsaˊnaˊ	n	dim. de -tilodi.
tiˊmaˊ		tiˊmaˊ	v	éteindre, s'éteindre.
tiˊmaˊ		tiˊmaˊ	v	refuser de donner qc á qq'un.
tiˊmaˊnaˊ		tiˊmaˊnaˊ	v	être avare.
tiˊmaˊnɔˊ		tiˊmaˊnɔˊ	NA	avarice.
tiˊmɛˊlaˊ		tiˊmɛˊlaˊ	v	se perdre, errer.
tiˊmɛˊlɛˊlwaˋ		tiˊmɛˊlɛˊlwaˋ	v	éprouver la perte de.
tiˊmɛˊlɔˊ		tiˊmɛˊlɔˊ	NA	errance.
tiˊmeˊtsaˊ		tiˊmeˊtsaˊ	v	égarer, laisser errer.
tiˊmʊˊxaˊ		tiˊmʊˊxaˊ	v	se calmer.
tiˊmʊˊlaˊ		tiˊmʊˊlaˊ	v	calmer.
tiˋŋˊ		tiˋŋˊ	NA	bouillie fermentée.
tiˊpʊˊlaˊ		tiˊpʊˊlaˊ	v	trancher, frapper violemment dans le dos.
tiˋraˋxaˋlɔˋ		tiˋraˋxaˋlɔˋ	NA	événement.
tiˋraˋxaˋtsɔˋ		tiˋraˋxaˋtsɔˋ	NA	accomplissement, effet, réalisation.
tiˋraˋlɔˋ		tiˋraˋlɔˋ	NA	événement.
tiˋrɛˋlɔˋ		tiˋrɛˋlɔˋ	NA	service.
tiˋriˋsaˋnɔˋ		tiˋriˋsaˋnɔˋ	NA	coopération, rapport.
tiˋriˋsɔˋ		tiˋriˋsɔˋ	NA	utilisation, application, dépense, emploi, exploitation, fonctionnement, manoeuvre, pratique, usage.
tiˋrɔˋ		tiˋrɔˋ	NA	travail, acte, action, affaire, emploi, entreprise, fabrication, fait, fonction, métier, occupation, oeuvre, opération, profession, tâche.
tiˋrʊˋlʊˋlɔˋ		tiˋrʊˋlʊˋlɔˋ	NA	démontage.
tiˊsɔˊ		tiˊsɔˊ	NA	surveillance.
tiˊtaˊ		tiˊtaˊ	v	réserver son opinion, s'abstenir de prendre position.
tiˊtaˊtiˊtaˋ		tiˊtaˊtiˊtaˋ	v	hésiter.
tiˋtɛˋɔˋ		tiˋtɛˋɔˋ	NA	coups.
taˋ		taˋ	v	venir, arriver.
taˊbaˊtaˊbaˋ		taˊbaˊtaˊbaˋ	v	courir ça et lá, s'affairer.
taˋdiˊ		taˋdiˊ	NA	éclair, foudre, tonnerre.
taˊdiˊkaˊ		taˊdiˊkaˊ	v	salir, souiller, tacher.
taˋkaˋsɛˋlaˋ		taˋkaˋsɛˋlaˋ	v	trembler, frissonner.
taˋkaˋsɛˋlɔˋ		taˋkaˋsɛˋlɔˋ	NA	tremblement, frisson.
taˊlaˊ		taˊlaˊ	v	être plein, être complet, s'emplir, être parfait. - tlala boitumelo : être content. - tlala botshelo : être vivant.
taˋlaˋ		taˋlaˋ	n	faim.
taˊlaˊtaˊlaˋ		taˊlaˊtaˊlaˋ	v	être abondant.
taˊlɪˊaˊ		taˊlɪˊaˊ	v	rapporter sur qq'un.
taˊleˊdiˊwaˋ		taˊleˊdiˊwaˋ	v	recevoir un supplément, être rendu anxieux.
taˊlɛˊlaˊ		taˊlɛˊlaˊ	v	être trop pour, troubler, rendre anxieux.
taˊleˊleˊtsoˋ		taˊleˊleˊtsoˋ	NA	supplément.
taˊlɛˊlɔˊ		taˊlɛˊlɔˊ	NA	anxiété.
taˊlɛˊlwaˊ		taˊlɛˊlwaˊ	v	être anxieux.
taˊmaˊ		taˊmaˊ	v	attacher, ceindre.
taˊmɛˊxɔˊ		taˊmɛˊxɔˊ	NA	obligation.
taˋmɛˋlaˋ		taˋmɛˋlaˋ	v	fournir, se charger de, prendre soin de.
taˋmɛˋlɔˋ		taˋmɛˋlɔˋ	NA	fourniture, hospitalité, soin.
taˋmeˋtʊˊ		taˋmeˋtʊˊ	NA	crapaud.
taˊmˊpaˊrɛˋlaˋ		taˊmˊpaˊrɛˋlaˋ	v	empoigner, serrer.
taˋɲaˋ		taˋɲaˋ	v	s'enfoncer dans qc, tamponner, photographier, taper (á la machine).
taˊpeˊtaˊ		taˊpeˊtaˊ	v	aplatir.
taˊpiˊsaˊ		taˊpiˊsaˊ	v	appuyer sur qc, pincer.
taˊʊˊpaˊ		taˊʊˊpaˊ	v	se moquer.
taˋsɪˊ		taˋsɪˊ	NA	en bas, au dessous. - kwa tlase : au minimum. - -a kwa tlase : inférieur. - fa tlase ga : au pied de, sous.
taˋtaˋnaˋ		taˋtaˋnaˋ	n	panier en forme de cône aplati, corbeille.
taˊtsaˊ		taˊtsaˊ	v	emplir, compléter, remplir.
teˋ		teˋ	NA	souvent (aux.).
tɛˋlaˋ		tɛˋlaˋ	v	venir pour, apporter.
tɪˋlaˊɸʊˊ		tɪˋlaˊɸʊˊ	NA	gant.
tɪˋlaˊsɪˊ		tɪˋlaˊsɪˊ	NA	classe.
tɛˋtɛˋrɛˋxaˋnaˋ		tɛˋtɛˋrɛˋxaˋnaˋ	v	voler en éclats.
thaˋbaˋ		thaˋbaˋ	v	percer, abattre (un animal), être criard (couleur), germer, se lever (astre), être mordant, piquer, poignarder, saigner (un animal).
thaˋbaˋnaˋ		thaˋbaˋnaˋ	v	combattre.
thaˋbaˋnɔˋ		thaˋbaˋnɔˋ	NA	bataille, combat.
thaˋbeˋleˋtsaˋ		thaˋbeˋleˋtsaˋ	v	entamer une chanson, conduire le chant.
thaˋbiˋsaˋ		thaˋbiˋsaˋ	v	- tlhabisa ditlhong : être honteux, faire honte.
thaˋbɔˋ		thaˋbɔˋ	NA	abattage (d'un animal), lever (d'un astre).
thaˋbʊˋlʊˋxaˋ		thaˋbʊˋlʊˋxaˋ	v	se développer, se civiliser, se moderniser.
thaˋbʊˋlʊˋxɔˋ		thaˋbʊˋlʊˋxɔˋ	NA	développement, civilisation, modernisation.
thaˋbʊˋlʊˋlaˋ		thaˋbʊˋlʊˋlaˋ	v	développer, moderniser.
thaˋbʊˋlʊˋlɔˋ		thaˋbʊˋlʊˋlɔˋ	NA	développement, modernisation.
thaˊdiˊaˊ		thaˊdiˊaˊ	v	ajouter de l'eau.
thaˊɛˊlaˊ		thaˊɛˊlaˊ	v	être insuffisant, échouer.
thaˊeˊleˊtsaˋ		thaˊeˊleˊtsaˋ	v	appeler de loin, héler, téléphoner.
thaˊeˊleˊtsaˋnaˋ		thaˊeˊleˊtsaˋnaˋ	v	communiquer á distance, correspondre.
thaˊeˊleˊtsaˋnɔˋ		thaˊeˊleˊtsaˋnɔˋ	NA	communication, contact.
thaˊɛˊlɔˊ		thaˊɛˊlɔˊ	NA	défaut, échec, manquement, panne.
thaˋɸuˋ		thaˋɸuˋ	NA	mollet.
thaˊɸuˊnaˊ		thaˊɸuˊnaˊ	v	mâcher.
thaˊxaˊ		thaˊxaˊ	ad	- nna tlhaga : être actif, assidu, énergique, travailleur, vif.
thaˋxaˋ		thaˋxaˋ	v	apparaitre, se déclarer, éclater, jaillir.
thaˋxaˊ		thaˋxaˊ	n	herbe.
thaˊxaˊɸaˊlaˋ		thaˊxaˊɸaˊlaˋ	v	être/devenir actif, assidu, énergique, travailleur, vif.
thaˊxaˊɸaˊlɛˋlaˋ		thaˊxaˊɸaˊlɛˋlaˋ	v	être attentif á, mettre du zèle á.
thaˊxaˊɸaˊlɔˋ		thaˊxaˊɸaˊlɔˋ	NA	vivacité. - ka tlhagafalo : vivement.
thaˊxaˊɸaˊtsaˋ		thaˊxaˊɸaˊtsaˋ	v	rendre actif, assidu, énergique, travailleur, vif.
thaˋxaˋlaˋ		thaˋxaˋlaˋ	n	abcès
thaˋxiˋsaˋ		thaˋxiˋsaˋ	v	avertir, conseiller, prévenir, proposer, publier.
thaˋxiˋsɔˋ		thaˋxiˋsɔˋ	NA	avertissement, introduction, publication.
thaˋxɔˋ		thaˋxɔˋ	NA	instinct, propriété caractéristique.
thaˋxʊˋlaˋ		thaˋxʊˋlaˋ	v	sarcler.
thaˋdʒwaˋ		thaˋdʒwaˋ	v	passif de tlhaba. - tlhajwa ke ditlhong : être honteux, avoir honte.
thaˋkaˋ		thaˋkaˋ	n	grain.
thaˊkaˊ		thaˊkaˊ	n	lettre.
thaˋkaˋnaˋ		thaˋkaˋnaˋ	v	se mélanger.
thaˋkaˋnɛˋlaˋ		thaˋkaˋnɛˋlaˋ	v	se partager l'utilisation de qc.
thaˋkaˊnˋtsuˊkeˊ		thaˋkaˊnˋtsuˊkeˊ	NA	désordre.
thaˋkaˋɲaˋ		thaˋkaˋɲaˋ	v	mélanger, mêler.
thaˋkaˋɲɔˋ		thaˋkaˋɲɔˋ	NA	mélange.
thaˋkaˋthaˋkaˋnaˋ		thaˋkaˋthaˋkaˋnaˋ	v	se mélanger, s'entremêler, être confus, en désordre, agité.
thaˋkaˋthaˋkaˋnɔˋ		thaˋkaˋthaˋkaˋnɔˋ	v	confusion, agitation, désordre.
thaˋkaˋthaˋkaˋɲaˋ		thaˋkaˋthaˋkaˋɲaˋ	v	mélanger, déranger, embrouiller, emmêler, remuer.
thaˋkʊˊ		thaˋkʊˊ	NA	sabot (de vache).
thaˋkʊˋlaˋ		thaˋkʊˋlaˋ	v	essuyer le derrière.
thaˋkʊˋlɛˋ		thaˋkʊˋlɛˋ	NA	février.
thaˋlaˋ		thaˋlaˋ	v	répudier, divorcer.
thaˊlɪˊ		thaˊlɪˊ	NA	coton, fil.
thaˊlɪˊɸaˊ		thaˊlɪˊɸaˊ	v	être/devenir intelligent, habile, sage.
thaˋlɔˋ		thaˋlɔˋ	NA	répudiation, divorce.
thaˋlʊˋxaˋɲaˋ		thaˋlʊˋxaˋɲaˋ	v	comprendre.
thaˋlʊˋxaˋɲɛˋsɛˋxaˋ		thaˋlʊˋxaˋɲɛˋsɛˋxaˋ	v	être compréhensible.
thaˋlʊˋxaˋɲɔˋ		thaˋlʊˋxaˋɲɔˋ	NA	compréhension, esprit, bon sens.
thaˊlʊˊsaˊ		thaˊlʊˊsaˊ	v	expliquer, décrire.
thaˊlʊˊsɛˊxaˋ		thaˊlʊˊsɛˊxaˋ	v	être exprimable.
thaˊlʊˊsɔˊ		thaˊlʊˊsɔˊ	NA	explication, description, précision, sens, signification.
thaˊmaˊ		thaˊmaˊ	v	composer, inventer, créer.
thaˊmaˊlaˊlaˋ		thaˊmaˊlaˊlaˋ	v	être direct, droit, logique.
thaˊmaˊlaˊlɔˋ		thaˊmaˊlaˊlɔˋ	NA	logique.
thaˊmaˊlaˊtsaˋ		thaˊmaˊlaˊtsaˋ	v	redresser.
thaˊmaˋnɪˊ		thaˊmaˋnɪˊ	NA	légende.
thaˊmɔˊ		thaˊmɔˊ	NA	invention, oeuvre.
thaˋnaˋsɛˋlaˋ		thaˋnaˋsɛˋlaˋ	v	bouillonner.
thaˊnʊˊ		thaˊnʊˊ	NA	cinq.
thaˋnʊˋxaˋ		thaˋnʊˋxaˋ	v	se mettre á l'envers, changer d'avis.
thaˋnʊˋlaˋ		thaˋnʊˋlaˋ	v	retourner, mettre á l'envers.
thaˋnʊˋsaˋ		thaˋnʊˋsaˋ	v	retourner, mettre á l'envers.
thaˊɲaˊ		thaˊɲaˊ	v	cailler.
thaˋʊˋlaˋ		thaˋʊˋlaˋ	v	filtrer, trier, sélectionner.
thaˋʊˋlɛˋxaˋ		thaˋʊˋlɛˋxaˋ	v	être particulier, spécial.
thaˊʊˊlʊˊxaˋ		thaˊʊˊlʊˊxaˋ	v	se diluer.
thaˊʊˊlʊˊsaˋ		thaˊʊˊlʊˊsaˋ	v	diluer.
thaˋpaˋ		thaˋpaˋ	v	se baigner, se laver.
thaˊpaˊ		thaˊpaˊ	n	juron, injure, insulte, grossièreté.
thaˊpaˊtsaˊ		thaˊpaˊtsaˊ	v	insulter, jurer.
thaˊpaˊtsɔˊ		thaˊpaˊtsɔˊ	NA	insulte, injure.
thaˋpɛˋlaˋ		thaˋpɛˋlaˋ	v	enivrer.
thaˋpiˋ		thaˋpiˋ	NA	poisson.
thaˋpiˋsaˋ		thaˋpiˋsaˋ	v	baigner, laver.
thaˋpʊˋlʊˋxaˋ		thaˋpʊˋlʊˋxaˋ	v	uriner.
thaˊraˊlaˊlaˋ		thaˊraˊlaˊlaˋ	v	être/devenir rigide.
thaˊsɪˊ		thaˊsɪˊ	NA	étincelle.
thaˊsɛˊlaˊ		thaˊsɛˊlaˊ	v	attaquer, charger, prendre á partie, assaillir.
thaˊsɛˊlɛˊxaˋ		thaˊsɛˊlɛˊxaˋ	v	être attaquable.
thaˊsɛˊlɔˊ		thaˊsɛˊlɔˊ	NA	attaque, charge, assaut, crise.
thaˋtaˋxaˋnaˋ		thaˋtaˋxaˋnaˋ	v	s'empiler.
thaˋtaˋxaˋnɔˋ		thaˋtaˋxaˋnɔˋ	NA	pile, doublure (d'un vêtement).
thaˋtaˋxaˋɲaˋ		thaˋtaˋxaˋɲaˋ	v	empiler.
thaˋtaˋjaˋ		thaˋtaˋjaˋ	v	mettre sur le feu.
thaˋthaˋmaˋ		thaˋthaˋmaˋ	v	succéder.
thaˊthaˊmʊˊlʊˋxaˋ		thaˊthaˊmʊˊlʊˋxaˋ	v	se défaire.
thaˊthaˊmʊˊlʊˋlaˋ		thaˊthaˊmʊˊlʊˋlaˋ	v	défaire, démonter.
thaˊthaˊɲɛˊxaˋ		thaˊthaˊɲɛˊxaˋ	v	voler en éclats.
thaˋthɛˋlaˋ		thaˋthɛˋlaˋ	v	charger un fusil, faire entrer des animaux dans un parc.
thaˊthʊˊbaˊ		thaˊthʊˊbaˊ	v	contrôler, examiner, inspecter, interroger.
